Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557877184109, 936324, 279, 322, 309
1557877184122, 936336, 280, 322, 309
1557877184134, 936349, 279, 323, 308
1557877184148, 936363, 280, 323, 309
1557877184161, 936376, 280, 323, 309
1557877184174, 936388, 280, 322, 309
1557877184187, 936401, 280, 321, 308
1557877184201, 936415, 280, 322, 308
1557877184213, 936428, 280, 323, 309
1557877184226, 936440, 280, 323, 310
1557877184239, 936454, 280, 323, 310
1557877184253, 936467, 279, 322, 309
1557877184266, 936480, 279, 322, 308
1557877184278, 936493, 279, 322, 308
1557877184292, 936506, 279, 321, 307
1557877184305, 936519, 279, 321, 308
1557877184318, 936532, 279, 321, 309
1557877184332, 936545, 280, 322, 309
1557877184344, 936558, 280, 322, 309
1557877184357, 936571, 280, 322, 309
1557877184371, 936585, 280, 322, 309
1557877184384, 936597, 280, 322, 310
1557877184396, 936610, 280, 322, 309
1557877184410, 936624, 280, 322, 309
1557877184422, 936637, 279, 322, 308
1557877184436, 936650, 279, 322, 308
1557877184449, 936663, 279, 322, 309
1557877184462, 936676, 279, 322, 309
1557877184475, 936689, 280, 323, 309
1557877184487, 936702, 280, 323, 308
1557877184501, 936715, 280, 323, 309
1557877184514, 936728, 280, 323, 308
1557877184527, 936741, 280, 322, 308
1557877184539, 936755, 280, 322, 308
1557877184554, 936767, 279, 322, 309
1557877184567, 936780, 279, 322, 309
1557877184579, 936794, 280, 322, 309
1557877184592, 936807, 280, 322, 309
1557877184605, 936819, 280, 321, 309
1557877184618, 936833, 279, 321, 308
1557877184631, 936846, 279, 321, 309
1557877184645, 936859, 279, 322, 309
1557877184657, 936871, 280, 322, 309
1557877184672, 936885, 279, 323, 309
1557877184684, 936898, 280, 323, 309
1557877184697, 936911, 279, 322, 308
1557877184709, 936925, 280, 323, 309
1557877184723, 936937, 280, 323, 308
1557877184736, 936950, 280, 323, 308
1557877184750, 936964, 279, 323, 309
1557877184762, 936977, 280, 322, 309
1557877184775, 936989, 279, 323, 309
1557877184789, 937003, 280, 323, 309
1557877184801, 937016, 280, 322, 308
1557877184814, 937029, 279, 322, 309
1557877184828, 937041, 279, 322, 309
1557877184841, 937055, 279, 322, 308
1557877184854, 937068, 279, 322, 309
1557877184868, 937081, 280, 323, 310
1557877184880, 937094, 279, 322, 309
1557877184893, 937107, 279, 322, 309
1557877184906, 937120, 279, 322, 308
1557877184919, 937134, 279, 322, 308
1557877184931, 937146, 279, 321, 308
1557877184945, 937159, 279, 321, 308
1557877184958, 937172, 279, 322, 310
1557877184971, 937186, 280, 322, 311
1557877184984, 937198, 280, 322, 309
1557877184998, 937211, 280, 322, 309
1557877185010, 937225, 280, 323, 309
1557877185024, 937238, 280, 323, 308
1557877185036, 937251, 280, 323, 308
1557877185051, 937264, 279, 323, 308
1557877185063, 937277, 280, 323, 308
1557877185075, 937290, 279, 322, 308
1557877185089, 937304, 279, 322, 308
1557877185101, 937316, 279, 322, 310
1557877185115, 937329, 279, 322, 310
1557877185128, 937342, 280, 322, 310
1557877185141, 937356, 279, 322, 309
1557877185155, 937368, 279, 321, 308
1557877185167, 937381, 279, 321, 308
1557877185180, 937395, 280, 322, 308
1557877185193, 937408, 279, 322, 308
1557877185207, 937420, 280, 323, 309
1557877185221, 937434, 280, 323, 309
1557877185233, 937447, 280, 323, 309
1557877185246, 937460, 280, 322, 309
1557877185258, 937473, 280, 322, 310
1557877185272, 937486, 280, 322, 310
1557877185285, 937499, 280, 322, 309
1557877185298, 937512, 280, 322, 308
1557877185311, 937525, 279, 321, 307
1557877185324, 937538, 279, 322, 308
1557877185337, 937551, 279, 322, 308
1557877185350, 937565, 279, 322, 308
1557877185364, 937578, 280, 322, 308
1557877185376, 937590, 280, 322, 309
1557877185389, 937604, 280, 322, 309
1557877185403, 937617, 280, 322, 309
1557877185417, 937630, 279, 322, 308
1557877185430, 937643, 279, 322, 309
1557877185442, 937656, 280, 322, 309
1557877185455, 937669, 280, 322, 309
1557877185468, 937682, 280, 322, 308
1557877185482, 937695, 280, 323, 308
1557877185494, 937708, 280, 324, 309
1557877185507, 937721, 280, 323, 309
1557877185520, 937735, 280, 322, 309
1557877185534, 937747, 279, 322, 309
1557877185547, 937760, 279, 322, 308
1557877185559, 937774, 279, 322, 307
1557877185573, 937787, 279, 322, 307
1557877185586, 937799, 279, 321, 309
1557877185600, 937812, 280, 322, 310
1557877185612, 937826, 280, 322, 309
1557877185625, 937839, 280, 322, 309
1557877185637, 937852, 280, 322, 309
1557877185652, 937865, 280, 322, 309
1557877185664, 937878, 280, 322, 309
1557877185676, 937891, 280, 323, 308
1557877185690, 937905, 280, 323, 308
1557877185705, 937917, 280, 323, 308
1557877185716, 937930, 280, 322, 308
1557877185729, 937944, 280, 323, 309
1557877185742, 937957, 280, 322, 309
1557877185756, 937969, 280, 321, 310
1557877185769, 937982, 280, 321, 310
1557877185781, 937996, 279, 321, 309
1557877185794, 938009, 279, 321, 309
1557877185808, 938021, 279, 322, 308
1557877185821, 938035, 279, 322, 309
1557877185835, 938048, 279, 322, 308
1557877185846, 938061, 280, 322, 307
1557877185860, 938074, 279, 323, 307
1557877185872, 938087, 280, 322, 308
1557877185886, 938100, 280, 322, 309
