Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557876998297, 750513, 291, 303, 303
1557876998309, 750526, 291, 303, 303
1557876998322, 750539, 291, 303, 304
1557876998334, 750552, 291, 303, 304
1557876998347, 750565, 291, 303, 304
1557876998361, 750578, 291, 303, 304
1557876998373, 750592, 291, 303, 303
1557876998388, 750605, 291, 303, 303
1557876998400, 750617, 291, 303, 302
1557876998412, 750630, 291, 303, 301
1557876998426, 750644, 290, 303, 302
1557876998440, 750657, 290, 303, 302
1557876998453, 750669, 291, 303, 302
1557876998465, 750683, 291, 303, 303
1557876998478, 750696, 291, 303, 303
1557876998493, 750709, 291, 303, 304
1557876998504, 750722, 291, 303, 304
1557876998517, 750735, 291, 303, 304
1557876998531, 750748, 291, 303, 303
1557876998545, 750761, 291, 304, 302
1557876998558, 750774, 291, 304, 301
1557876998570, 750787, 291, 305, 302
1557876998584, 750800, 291, 306, 303
1557876998596, 750814, 291, 308, 304
1557876998610, 750826, 291, 311, 304
1557876998623, 750839, 290, 312, 301
1557876998635, 750853, 289, 314, 302
1557876998648, 750866, 290, 315, 305
1557876998661, 750879, 291, 315, 308
1557876998676, 750892, 292, 316, 310
1557876998687, 750905, 294, 317, 311
1557876998700, 750918, 294, 319, 310
1557876998713, 750931, 295, 319, 311
1557876998727, 750944, 296, 317, 314
1557876998740, 750957, 297, 315, 318
1557876998753, 750970, 300, 317, 321
1557876998766, 750984, 301, 320, 320
1557876998779, 750996, 302, 323, 317
1557876998792, 751009, 304, 327, 314
1557876998804, 751023, 305, 332, 312
1557876998818, 751036, 306, 336, 312
1557876998832, 751048, 309, 342, 316
1557876998845, 751062, 312, 344, 320
1557876998858, 751075, 316, 345, 320
1557876998870, 751088, 321, 345, 316
1557876998883, 751101, 326, 344, 304
1557876998897, 751114, 330, 342, 283
1557876998909, 751127, 331, 327, 264
1557876998923, 751140, 330, 309, 260
1557876998935, 751154, 334, 307, 270
1557876998949, 751166, 338, 302, 274
1557876998962, 751179, 340, 284, 246
1557876998974, 751193, 337, 255, 211
1557876998989, 751206, 332, 226, 190
1557876999002, 751218, 336, 208, 197
1557876999015, 751232, 342, 196, 208
1557876999027, 751245, 347, 199, 215
1557876999040, 751258, 354, 211, 220
1557876999055, 751270, 358, 212, 224
1557876999067, 751284, 365, 216, 237
1557876999080, 751297, 376, 218, 259
1557876999092, 751310, 382, 217, 272
1557876999106, 751323, 385, 217, 291
1557876999120, 751336, 384, 218, 305
1557876999132, 751349, 379, 223, 314
1557876999145, 751363, 376, 226, 320
1557876999159, 751376, 373, 226, 327
1557876999171, 751388, 369, 219, 335
1557876999184, 751401, 362, 215, 343
1557876999197, 751415, 356, 219, 355
1557876999211, 751428, 351, 234, 357
1557876999224, 751440, 345, 248, 352
1557876999237, 751454, 341, 264, 343
1557876999249, 751467, 351, 276, 339
1557876999264, 751480, 343, 268, 338
1557876999276, 751493, 342, 266, 315
1557876999288, 751506, 339, 283, 291
1557876999301, 751519, 344, 304, 296
1557876999314, 751533, 346, 301, 338
1557876999328, 751545, 358, 297, 344
1557876999341, 751558, 357, 286, 325
1557876999355, 751571, 353, 289, 329
1557876999366, 751585, 357, 301, 344
1557876999381, 751597, 359, 327, 368
1557876999393, 751610, 356, 356, 388
1557876999406, 751624, 368, 378, 403
1557876999419, 751637, 371, 366, 448
1557876999432, 751649, 367, 309, 452
1557876999447, 751663, 353, 289, 419
1557876999459, 751676, 358, 291, 414
1557876999472, 751689, 355, 308, 371
1557876999484, 751703, 345, 330, 370
1557876999498, 751715, 343, 328, 371
1557876999511, 751728, 345, 294, 375
1557876999524, 751741, 351, 268, 370
1557876999537, 751755, 352, 259, 366
1557876999550, 751767, 359, 245, 363
1557876999563, 751780, 368, 262, 352
1557876999576, 751794, 390, 254, 399
1557876999589, 751807, 396, 220, 388
1557876999603, 751819, 402, 206, 391
1557876999616, 751833, 413, 174, 384
1557876999629, 751846, 425, 126, 376
1557876999641, 751859, 439, 75, 356
1557876999656, 751872, 447, 46, 326
1557876999668, 751885, 439, 37, 287
1557876999681, 751898, 424, 48, 257
1557876999693, 751911, 406, 60, 243
1557876999707, 751924, 389, 65, 239
1557876999719, 751937, 386, 57, 253
1557876999733, 751950, 389, 68, 275
1557876999745, 751963, 390, 87, 294
1557876999759, 751976, 394, 111, 308
1557876999772, 751989, 403, 127, 315
1557876999784, 752003, 426, 126, 291
1557876999797, 752015, 440, 181, 290
1557876999811, 752028, 418, 191, 251
1557876999826, 752041, 422, 238, 240
1557876999837, 752055, 439, 229, 264
1557876999850, 752067, 460, 221, 267
1557876999862, 752080, 462, 280, 238
1557876999878, 752094, 449, 348, 216
1557876999890, 752107, 416, 380, 186
1557876999903, 752119, 381, 374, 169
1557876999916, 752133, 359, 344, 178
1557876999929, 752146, 337, 314, 192
1557876999941, 752159, 318, 295, 214
1557876999955, 752173, 306, 278, 245
1557876999968, 752185, 306, 286, 289
1557876999981, 752198, 313, 312, 339
1557876999994, 752211, 318, 338, 372
1557877000007, 752225, 316, 352, 382
1557877000020, 752237, 308, 348, 375
1557877000033, 752250, 303, 331, 357
1557877000046, 752264, 299, 317, 343
1557877000060, 752277, 295, 311, 345
1557877000073, 752289, 294, 311, 352
1557877000086, 752303, 294, 310, 353
1557877000098, 752316, 294, 311, 351
1557877000112, 752329, 292, 310, 345
1557877000126, 752342, 292, 308, 341
1557877000138, 752355, 292, 307, 335
1557877000150, 752368, 294, 307, 335
1557877000164, 752381, 297, 311, 341
1557877000178, 752394, 299, 308, 344
1557877000189, 752407, 302, 296, 344
1557877000203, 752420, 307, 291, 336
1557877000217, 752434, 305, 289, 333
1557877000230, 752447, 304, 286, 321
1557877000241, 752459, 297, 278, 310
1557877000255, 752473, 292, 268, 307
1557877000269, 752486, 288, 259, 312
1557877000282, 752499, 294, 257, 333
1557877000294, 752512, 300, 253, 350
1557877000307, 752525, 302, 253, 359
1557877000320, 752538, 299, 263, 356
1557877000333, 752551, 287, 274, 342
1557877000346, 752564, 280, 271, 334
1557877000360, 752577, 274, 263, 332
1557877000373, 752590, 272, 252, 328
1557877000386, 752604, 272, 250, 330
1557877000399, 752616, 270, 254, 335
1557877000412, 752629, 271, 259, 348
1557877000425, 752643, 271, 255, 357
1557877000438, 752656, 266, 249, 355
1557877000451, 752668, 261, 250, 352
