Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557877102386, 854602, 281, 316, 311
1557877102402, 854616, 281, 316, 311
1557877102413, 854628, 281, 315, 311
1557877102425, 854641, 281, 316, 310
1557877102438, 854654, 281, 315, 308
1557877102452, 854668, 280, 316, 307
1557877102465, 854680, 280, 316, 308
1557877102478, 854693, 280, 316, 310
1557877102492, 854707, 281, 315, 310
1557877102504, 854720, 281, 313, 310
1557877102518, 854733, 282, 314, 310
1557877102530, 854746, 282, 315, 310
1557877102543, 854759, 283, 317, 311
1557877102556, 854772, 282, 316, 311
1557877102571, 854786, 281, 316, 311
1557877102583, 854798, 282, 315, 310
1557877102596, 854811, 282, 315, 310
1557877102608, 854824, 283, 314, 310
1557877102622, 854838, 282, 312, 310
1557877102634, 854850, 282, 311, 311
1557877102648, 854863, 281, 307, 308
1557877102660, 854877, 279, 306, 306
1557877102674, 854890, 278, 299, 304
1557877102687, 854902, 276, 293, 301
1557877102700, 854916, 275, 285, 298
1557877102713, 854929, 274, 276, 294
1557877102726, 854942, 271, 266, 293
1557877102739, 854955, 270, 258, 294
1557877102753, 854968, 268, 249, 295
1557877102765, 854981, 267, 244, 299
1557877102780, 854994, 266, 240, 297
1557877102793, 855008, 262, 232, 291
1557877102805, 855020, 258, 228, 286
1557877102818, 855033, 256, 232, 287
1557877102831, 855047, 257, 239, 288
1557877102844, 855060, 260, 251, 286
1557877102856, 855072, 255, 268, 292
1557877102870, 855086, 260, 284, 293
1557877102883, 855099, 267, 305, 284
1557877102897, 855112, 272, 310, 278
1557877102909, 855124, 273, 309, 276
1557877102922, 855138, 273, 312, 281
1557877102936, 855151, 278, 319, 295
1557877102948, 855164, 281, 324, 307
1557877102962, 855177, 285, 331, 309
1557877102974, 855190, 292, 335, 313
1557877102988, 855203, 299, 336, 317
1557877103001, 855217, 304, 344, 320
1557877103014, 855229, 310, 355, 325
1557877103026, 855242, 314, 359, 328
