Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557877329556, 1081767, 307, 304, 287
1557877329570, 1081781, 307, 304, 286
1557877329582, 1081794, 307, 302, 287
1557877329596, 1081807, 307, 302, 287
1557877329608, 1081820, 307, 302, 287
1557877329621, 1081833, 307, 303, 289
1557877329635, 1081846, 308, 304, 290
1557877329647, 1081860, 308, 304, 292
1557877329661, 1081873, 308, 304, 293
1557877329674, 1081885, 308, 305, 293
1557877329688, 1081899, 308, 304, 294
1557877329701, 1081912, 308, 303, 293
1557877329713, 1081925, 308, 302, 291
1557877329726, 1081938, 308, 301, 290
1557877329740, 1081951, 308, 302, 290
1557877329753, 1081964, 308, 303, 290
1557877329766, 1081977, 308, 303, 290
1557877329778, 1081991, 308, 303, 290
1557877329792, 1082004, 308, 303, 291
1557877329806, 1082016, 308, 302, 292
1557877329817, 1082030, 308, 303, 293
1557877329831, 1082043, 308, 304, 294
1557877329844, 1082056, 308, 304, 295
1557877329858, 1082070, 309, 305, 297
1557877329870, 1082082, 309, 305, 298
1557877329884, 1082095, 310, 305, 300
1557877329896, 1082108, 310, 304, 303
1557877329910, 1082122, 312, 303, 310
1557877329923, 1082135, 312, 299, 310
1557877329936, 1082147, 311, 295, 301
1557877329949, 1082161, 308, 298, 287
1557877329962, 1082174, 307, 307, 282
1557877329977, 1082187, 309, 308, 285
1557877329989, 1082201, 307, 299, 285
1557877330002, 1082213, 304, 285, 278
1557877330014, 1082226, 301, 265, 268
1557877330028, 1082240, 295, 243, 256
1557877330043, 1082253, 292, 231, 256
1557877330053, 1082266, 289, 229, 261
1557877330067, 1082278, 287, 225, 264
1557877330080, 1082292, 288, 222, 265
1557877330093, 1082305, 288, 219, 265
1557877330106, 1082318, 289, 213, 267
1557877330120, 1082331, 292, 212, 273
1557877330133, 1082344, 296, 220, 282
1557877330147, 1082357, 300, 234, 292
1557877330159, 1082371, 303, 244, 302
1557877330171, 1082384, 306, 249, 309
1557877330185, 1082396, 309, 250, 320
1557877330198, 1082409, 313, 249, 329
1557877330211, 1082423, 316, 253, 336
1557877330224, 1082436, 319, 260, 338
1557877330237, 1082449, 319, 265, 341
1557877330251, 1082462, 322, 268, 351
1557877330264, 1082475, 324, 271, 359
1557877330277, 1082488, 326, 274, 364
1557877330290, 1082502, 327, 278, 364
1557877330303, 1082515, 330, 285, 367
1557877330317, 1082527, 335, 292, 372
1557877330329, 1082541, 336, 301, 374
1557877330344, 1082554, 336, 309, 369
1557877330355, 1082567, 335, 315, 362
1557877330369, 1082580, 334, 318, 357
1557877330381, 1082593, 335, 322, 353
1557877330395, 1082606, 333, 324, 351
1557877330409, 1082619, 332, 330, 349
1557877330422, 1082633, 328, 337, 348
1557877330434, 1082646, 325, 343, 347
1557877330447, 1082658, 322, 346, 346
1557877330460, 1082672, 318, 343, 346
1557877330473, 1082685, 316, 341, 345
1557877330487, 1082698, 314, 342, 345
1557877330500, 1082712, 312, 342, 347
1557877330512, 1082724, 311, 344, 345
1557877330526, 1082737, 311, 345, 343
1557877330539, 1082750, 309, 342, 338
1557877330552, 1082764, 308, 333, 328
1557877330565, 1082777, 310, 331, 325
1557877330578, 1082789, 310, 332, 319
1557877330591, 1082803, 310, 328, 316
1557877330605, 1082816, 309, 326, 313
1557877330617, 1082829, 313, 329, 316
1557877330630, 1082843, 313, 320, 309
1557877330644, 1082855, 311, 312, 302
1557877330657, 1082868, 313, 309, 305
1557877330670, 1082882, 314, 307, 303
1557877330683, 1082895, 313, 302, 293
1557877330696, 1082908, 313, 294, 287
1557877330710, 1082920, 315, 291, 284
1557877330723, 1082934, 314, 288, 278
1557877330736, 1082947, 314, 278, 275
1557877330748, 1082960, 315, 265, 270
1557877330762, 1082974, 316, 256, 259
1557877330774, 1082986, 318, 251, 246
1557877330788, 1082999, 321, 244, 239
1557877330801, 1083013, 323, 228, 245
1557877330815, 1083026, 321, 214, 247
1557877330827, 1083039, 316, 200, 240
1557877330840, 1083052, 313, 191, 241
1557877330855, 1083065, 314, 182, 264
1557877330867, 1083078, 315, 174, 296
1557877330879, 1083091, 312, 169, 313
1557877330892, 1083105, 307, 165, 321
1557877330907, 1083117, 303, 162, 328
1557877330920, 1083130, 301, 164, 337
1557877330933, 1083144, 299, 169, 340
1557877330945, 1083157, 299, 177, 341
1557877330958, 1083170, 301, 183, 334
1557877330972, 1083183, 304, 191, 328
1557877330985, 1083196, 306, 205, 321
1557877330997, 1083209, 308, 216, 316
1557877331010, 1083223, 312, 223, 314
1557877331024, 1083236, 315, 232, 316
1557877331038, 1083248, 319, 246, 318
1557877331051, 1083261, 320, 260, 318
1557877331064, 1083275, 321, 272, 318
1557877331076, 1083288, 318, 280, 316
1557877331089, 1083301, 317, 286, 312
1557877331103, 1083314, 315, 288, 307
1557877331115, 1083327, 316, 286, 306
1557877331128, 1083340, 319, 286, 304
1557877331142, 1083354, 320, 290, 300
1557877331154, 1083367, 322, 298, 294
1557877331169, 1083379, 324, 308, 292
1557877331181, 1083393, 326, 316, 292
1557877331194, 1083406, 329, 322, 296
1557877331207, 1083419, 333, 320, 304
1557877331221, 1083432, 337, 316, 315
1557877331234, 1083445, 341, 316, 325
1557877331246, 1083458, 342, 318, 334
1557877331260, 1083471, 345, 319, 344
1557877331273, 1083485, 346, 320, 349
1557877331287, 1083498, 347, 320, 354
1557877331299, 1083510, 346, 318, 362
1557877331313, 1083524, 343, 313, 372
1557877331325, 1083537, 343, 309, 386
1557877331338, 1083550, 341, 304, 393
