Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557877218674, 970887, 296, 323, 293
1557877218687, 970900, 296, 322, 293
1557877218699, 970912, 296, 322, 293
1557877218712, 970926, 295, 321, 292
1557877218726, 970939, 295, 321, 291
1557877218738, 970952, 296, 322, 292
1557877218751, 970964, 296, 322, 292
1557877218764, 970978, 296, 322, 292
1557877218777, 970991, 296, 322, 291
1557877218792, 971004, 296, 321, 292
1557877218804, 971017, 296, 322, 292
1557877218818, 971030, 295, 322, 292
1557877218830, 971043, 296, 321, 292
1557877218843, 971057, 296, 322, 293
1557877218855, 971070, 296, 322, 294
1557877218869, 971082, 296, 323, 293
1557877218882, 971096, 296, 323, 292
1557877218895, 971109, 296, 324, 293
1557877218908, 971122, 296, 323, 293
1557877218923, 971134, 295, 323, 291
1557877218934, 971148, 295, 323, 290
1557877218948, 971161, 295, 323, 290
1557877218960, 971174, 294, 323, 290
1557877218974, 971187, 293, 322, 290
1557877218988, 971200, 293, 322, 289
1557877219001, 971213, 291, 319, 288
1557877219013, 971227, 288, 315, 287
1557877219026, 971239, 287, 311, 287
1557877219039, 971252, 284, 309, 285
1557877219053, 971266, 281, 309, 281
1557877219065, 971279, 281, 308, 278
1557877219079, 971291, 281, 308, 277
1557877219091, 971304, 280, 311, 277
1557877219103, 971318, 281, 317, 281
1557877219118, 971331, 281, 320, 283
1557877219130, 971344, 280, 322, 284
1557877219143, 971357, 278, 321, 282
1557877219156, 971370, 277, 318, 282
1557877219169, 971383, 277, 317, 285
1557877219182, 971397, 275, 313, 288
1557877219195, 971409, 274, 309, 291
1557877219209, 971422, 272, 306, 290
1557877219221, 971436, 271, 305, 288
1557877219235, 971449, 271, 305, 284
1557877219248, 971461, 273, 306, 280
1557877219261, 971474, 271, 303, 281
1557877219273, 971488, 272, 300, 284
1557877219288, 971501, 272, 297, 289
1557877219301, 971513, 271, 297, 292
1557877219313, 971527, 272, 300, 295
1557877219326, 971540, 274, 304, 297
1557877219340, 971553, 275, 309, 299
1557877219352, 971566, 275, 312, 300
1557877219366, 971579, 276, 313, 300
1557877219378, 971592, 278, 315, 304
1557877219392, 971606, 279, 313, 308
1557877219407, 971619, 280, 309, 310
1557877219418, 971631, 281, 305, 312
1557877219431, 971644, 283, 300, 314
1557877219444, 971658, 286, 298, 315
1557877219456, 971671, 290, 303, 319
1557877219470, 971683, 293, 308, 323
1557877219483, 971697, 294, 311, 325
1557877219497, 971710, 297, 312, 328
1557877219509, 971723, 300, 312, 333
1557877219522, 971736, 303, 312, 337
1557877219536, 971749, 304, 316, 339
1557877219548, 971762, 303, 323, 334
1557877219562, 971776, 301, 334, 329
1557877219574, 971788, 297, 345, 326
1557877219588, 971801, 292, 351, 324
1557877219601, 971814, 290, 351, 322
1557877219615, 971828, 293, 352, 325
1557877219626, 971840, 291, 350, 328
1557877219640, 971853, 290, 354, 326
1557877219653, 971867, 290, 354, 322
1557877219666, 971880, 289, 356, 318
1557877219680, 971893, 290, 356, 319
1557877219693, 971906, 292, 350, 321
1557877219706, 971919, 293, 337, 326
1557877219718, 971932, 293, 324, 328
1557877219731, 971945, 293, 312, 328
1557877219745, 971958, 294, 308, 329
1557877219757, 971971, 295, 309, 333
1557877219770, 971984, 299, 311, 340
1557877219786, 971998, 302, 312, 345
1557877219797, 972010, 304, 311, 346
1557877219810, 972023, 304, 306, 344
1557877219823, 972037, 304, 299, 342
1557877219835, 972050, 304, 293, 340
1557877219849, 972062, 304, 290, 339
1557877219862, 972076, 305, 290, 338
1557877219874, 972089, 306, 292, 338
1557877219888, 972102, 307, 289, 339
1557877219902, 972114, 310, 290, 342
1557877219914, 972128, 313, 293, 344
1557877219928, 972141, 313, 292, 340
1557877219940, 972154, 314, 293, 332
1557877219955, 972167, 314, 290, 325
1557877219968, 972180, 315, 285, 326
1557877219980, 972193, 317, 282, 332
1557877219993, 972207, 318, 278, 335
1557877220006, 972220, 319, 277, 330
1557877220020, 972232, 319, 280, 321
1557877220032, 972246, 320, 279, 317
1557877220045, 972259, 322, 274, 315
1557877220058, 972272, 322, 267, 322
1557877220072, 972284, 322, 260, 319
1557877220085, 972298, 323, 263, 313
1557877220097, 972311, 325, 268, 308
1557877220111, 972324, 327, 268, 303
1557877220123, 972337, 331, 268, 305
1557877220138, 972350, 330, 266, 315
1557877220149, 972363, 330, 266, 317
1557877220163, 972377, 333, 271, 311
1557877220176, 972389, 338, 275, 302
1557877220188, 972402, 344, 277, 293
1557877220203, 972416, 347, 273, 286
1557877220215, 972429, 345, 265, 282
1557877220228, 972442, 342, 258, 278
1557877220241, 972454, 345, 258, 278
1557877220253, 972468, 350, 266, 276
1557877220267, 972481, 353, 277, 274
1557877220281, 972494, 354, 284, 274
1557877220293, 972507, 357, 287, 282
1557877220307, 972520, 362, 291, 284
1557877220320, 972533, 362, 289, 273
1557877220333, 972547, 360, 281, 263
1557877220345, 972559, 359, 272, 261
1557877220359, 972572, 359, 272, 266
1557877220372, 972585, 364, 280, 277
1557877220385, 972599, 367, 285, 283
1557877220398, 972611, 369, 288, 274
1557877220411, 972624, 366, 295, 262
1557877220423, 972638, 363, 298, 262
1557877220437, 972651, 362, 297, 268
1557877220449, 972663, 362, 294, 270
1557877220463, 972677, 361, 289, 267
1557877220477, 972690, 359, 284, 260
1557877220491, 972703, 358, 286, 257
1557877220502, 972717, 355, 284, 255
1557877220515, 972729, 353, 279, 257
1557877220529, 972742, 354, 277, 261
1557877220542, 972755, 353, 277, 262
1557877220555, 972769, 353, 281, 261
1557877220568, 972781, 352, 283, 260
1557877220581, 972794, 351, 281, 260
1557877220595, 972808, 349, 280, 258
1557877220607, 972821, 349, 277, 257
1557877220620, 972833, 349, 278, 256
