Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557877241214, 993427, 288, 281, 291
1557877241227, 993440, 288, 274, 296
1557877241241, 993454, 291, 277, 310
1557877241253, 993467, 297, 290, 328
1557877241267, 993479, 297, 301, 342
1557877241280, 993492, 295, 310, 352
1557877241292, 993506, 293, 320, 357
1557877241305, 993519, 292, 324, 359
1557877241319, 993531, 291, 313, 359
1557877241331, 993545, 287, 299, 360
1557877241345, 993558, 284, 298, 360
1557877241358, 993571, 280, 298, 351
1557877241371, 993584, 280, 304, 349
1557877241385, 993597, 279, 313, 352
1557877241397, 993610, 276, 334, 357
1557877241410, 993624, 279, 355, 374
1557877241423, 993636, 282, 369, 386
1557877241436, 993649, 289, 371, 385
1557877241450, 993662, 289, 364, 364
1557877241462, 993676, 290, 352, 350
1557877241475, 993689, 297, 327, 357
1557877241489, 993701, 314, 315, 381
1557877241502, 993715, 328, 309, 397
1557877241515, 993728, 342, 293, 398
1557877241528, 993741, 350, 286, 380
1557877241540, 993754, 353, 277, 359
1557877241555, 993767, 350, 276, 337
1557877241567, 993780, 350, 275, 326
1557877241580, 993794, 348, 272, 322
1557877241593, 993806, 344, 266, 325
1557877241605, 993819, 341, 268, 332
1557877241620, 993832, 335, 274, 342
1557877241632, 993846, 325, 278, 350
1557877241645, 993858, 315, 277, 359
1557877241658, 993871, 309, 271, 373
1557877241671, 993885, 304, 269, 386
1557877241685, 993898, 298, 269, 395
1557877241698, 993910, 298, 267, 402
1557877241710, 993924, 293, 266, 396
1557877241724, 993937, 288, 267, 390
1557877241737, 993950, 284, 266, 391
1557877241750, 993963, 286, 259, 399
1557877241764, 993976, 293, 252, 401
1557877241776, 993989, 298, 250, 395
1557877241788, 994002, 300, 254, 378
1557877241802, 994016, 298, 262, 361
1557877241815, 994028, 293, 267, 355
1557877241828, 994041, 294, 260, 367
1557877241841, 994055, 295, 252, 379
1557877241856, 994068, 296, 235, 377
1557877241868, 994080, 297, 226, 369
1557877241880, 994094, 299, 234, 351
1557877241893, 994107, 303, 249, 332
1557877241907, 994120, 305, 265, 317
1557877241920, 994132, 300, 275, 304
1557877241933, 994146, 298, 275, 307
1557877241946, 994159, 301, 277, 313
1557877241959, 994172, 303, 288, 311
1557877241971, 994185, 306, 302, 302
1557877241984, 994198, 310, 309, 288
1557877241998, 994211, 308, 312, 271
1557877242011, 994225, 303, 320, 264
1557877242024, 994237, 299, 337, 259
1557877242038, 994250, 304, 364, 270
1557877242050, 994264, 315, 392, 282
1557877242063, 994277, 320, 412, 275
1557877242077, 994290, 318, 429, 258
1557877242090, 994302, 314, 439, 239
1557877242102, 994316, 308, 440, 223
1557877242115, 994329, 308, 429, 225
1557877242129, 994342, 312, 410, 237
1557877242143, 994355, 316, 399, 247
1557877242155, 994368, 318, 395, 248
1557877242168, 994381, 316, 393, 239
1557877242180, 994395, 317, 389, 229
1557877242196, 994407, 320, 377, 228
1557877242207, 994420, 324, 366, 237
1557877242220, 994434, 328, 361, 248
1557877242233, 994447, 330, 362, 261
1557877242247, 994459, 329, 363, 266
1557877242259, 994472, 333, 370, 281
1557877242273, 994486, 336, 378, 295
1557877242285, 994499, 343, 375, 311
1557877242298, 994511, 346, 370, 324
1557877242312, 994525, 346, 363, 327
1557877242325, 994538, 344, 357, 329
1557877242338, 994551, 347, 345, 338
1557877242350, 994564, 348, 328, 350
1557877242364, 994577, 346, 308, 363
1557877242377, 994590, 343, 284, 347
1557877242391, 994604, 331, 266, 328
1557877242403, 994617, 328, 239, 338
1557877242416, 994629, 332, 218, 351
1557877242430, 994642, 347, 201, 337
1557877242442, 994656, 342, 190, 287
1557877242455, 994669, 330, 191, 248
1557877242469, 994681, 333, 204, 246
1557877242481, 994695, 350, 220, 259
1557877242495, 994708, 355, 241, 251
1557877242509, 994721, 358, 244, 249
1557877242522, 994734, 367, 238, 257
1557877242534, 994747, 368, 238, 251
1557877242547, 994760, 366, 237, 247
1557877242561, 994774, 366, 234, 255
1557877242574, 994786, 364, 239, 261
1557877242586, 994799, 363, 243, 270
1557877242599, 994812, 362, 249, 282
1557877242612, 994826, 361, 258, 295
1557877242626, 994838, 360, 260, 304
1557877242639, 994851, 360, 254, 312
1557877242651, 994865, 359, 245, 313
1557877242664, 994878, 359, 240, 313
1557877242678, 994890, 360, 237, 316
1557877242691, 994904, 364, 240, 325
1557877242705, 994917, 376, 247, 343
1557877242716, 994930, 386, 256, 354
1557877242730, 994944, 391, 263, 353
1557877242743, 994956, 398, 267, 351
1557877242756, 994969, 409, 266, 354
1557877242768, 994982, 421, 269, 360
1557877242782, 994996, 437, 279, 368
1557877242795, 995008, 449, 292, 366
1557877242808, 995021, 462, 307, 358
1557877242821, 995035, 479, 322, 330
1557877242834, 995048, 485, 342, 287
1557877242848, 995060, 484, 359, 253
1557877242860, 995074, 477, 365, 226
1557877242873, 995087, 463, 372, 224
1557877242886, 995100, 450, 380, 239
1557877242900, 995112, 443, 398, 222
1557877242913, 995126, 428, 415, 174
1557877242926, 995139, 409, 419, 132
1557877242939, 995152, 390, 418, 132
1557877242952, 995166, 381, 415, 162
1557877242964, 995178, 373, 413, 192
1557877242980, 995191, 364, 403, 204
1557877242992, 995205, 355, 384, 203
1557877243004, 995218, 350, 362, 211
1557877243017, 995230, 350, 342, 228
1557877243031, 995244, 353, 326, 249
1557877243044, 995257, 357, 317, 268
1557877243056, 995270, 359, 313, 280
1557877243070, 995282, 363, 310, 286
1557877243082, 995296, 367, 307, 291
1557877243096, 995309, 369, 302, 293
1557877243109, 995322, 370, 297, 292
1557877243122, 995335, 369, 295, 294
1557877243135, 995348, 371, 293, 298
1557877243147, 995361, 372, 291, 302
1557877243161, 995375, 371, 292, 304
1557877243175, 995387, 369, 293, 305
1557877243187, 995400, 366, 294, 306
1557877243200, 995414, 364, 294, 305
1557877243213, 995427, 362, 295, 306
1557877243227, 995439, 361, 297, 304
1557877243240, 995452, 360, 301, 303
1557877243252, 995466, 359, 304, 301
1557877243265, 995479, 357, 307, 299
1557877243280, 995492, 358, 309, 299
1557877243293, 995505, 357, 312, 297
1557877243305, 995518, 356, 313, 291
1557877243317, 995531, 355, 314, 284
1557877243331, 995545, 353, 315, 276
1557877243344, 995557, 352, 315, 275
1557877243356, 995570, 354, 313, 281
1557877243370, 995584, 354, 312, 286
1557877243383, 995597, 355, 311, 289
1557877243397, 995609, 354, 312, 290
1557877243409, 995622, 353, 312, 285
1557877243423, 995636, 351, 313, 279
1557877243435, 995649, 350, 315, 277
1557877243449, 995661, 350, 315, 278
1557877243461, 995675, 350, 315, 281
1557877243475, 995688, 350, 315, 283
1557877243488, 995701, 349, 314, 281
1557877243501, 995714, 348, 314, 279
