Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557877278547, 1030758, 304, 300, 253
1557877278560, 1030771, 308, 308, 262
1557877278572, 1030785, 311, 314, 269
1557877278584, 1030798, 312, 316, 273
1557877278597, 1030811, 314, 318, 276
1557877278612, 1030823, 316, 324, 281
1557877278625, 1030837, 318, 335, 293
1557877278638, 1030850, 318, 343, 303
1557877278650, 1030863, 315, 343, 309
1557877278663, 1030877, 310, 339, 311
1557877278677, 1030889, 306, 335, 311
1557877278691, 1030902, 305, 335, 317
1557877278703, 1030916, 303, 333, 324
1557877278715, 1030929, 300, 328, 326
1557877278729, 1030942, 296, 325, 324
1557877278742, 1030955, 295, 326, 323
1557877278755, 1030968, 292, 330, 328
1557877278769, 1030981, 288, 331, 334
1557877278781, 1030994, 284, 327, 343
1557877278796, 1031007, 284, 328, 360
1557877278809, 1031020, 285, 330, 374
1557877278820, 1031033, 285, 333, 376
1557877278834, 1031047, 281, 340, 366
1557877278846, 1031060, 279, 348, 361
1557877278861, 1031072, 278, 352, 361
1557877278873, 1031086, 281, 352, 358
1557877278886, 1031099, 285, 358, 352
1557877278899, 1031112, 290, 363, 344
1557877278913, 1031126, 295, 371, 333
1557877278925, 1031138, 299, 387, 321
1557877278939, 1031151, 299, 396, 309
1557877278952, 1031164, 299, 399, 293
1557877278966, 1031178, 301, 401, 280
1557877278979, 1031191, 308, 402, 271
1557877278992, 1031203, 318, 403, 268
1557877279005, 1031217, 322, 402, 262
1557877279018, 1031230, 324, 394, 255
1557877279031, 1031243, 324, 383, 250
1557877279044, 1031257, 326, 369, 250
1557877279057, 1031269, 329, 357, 258
1557877279071, 1031282, 332, 349, 269
1557877279082, 1031296, 333, 341, 280
1557877279096, 1031309, 335, 335, 295
1557877279109, 1031322, 338, 322, 307
1557877279123, 1031334, 341, 311, 311
1557877279135, 1031348, 336, 309, 315
1557877279148, 1031361, 333, 291, 326
1557877279162, 1031374, 335, 270, 344
1557877279175, 1031388, 338, 262, 359
1557877279189, 1031400, 338, 264, 361
1557877279202, 1031413, 329, 259, 352
1557877279215, 1031427, 323, 240, 355
1557877279227, 1031440, 323, 228, 376
1557877279240, 1031453, 323, 224, 385
1557877279253, 1031465, 317, 227, 382
1557877279266, 1031479, 312, 226, 380
1557877279279, 1031492, 310, 223, 382
1557877279293, 1031505, 309, 220, 387
1557877279307, 1031519, 303, 214, 394
1557877279319, 1031531, 297, 210, 398
1557877279332, 1031544, 293, 206, 402
1557877279346, 1031558, 288, 204, 405
1557877279358, 1031571, 288, 203, 409
1557877279372, 1031584, 288, 207, 408
1557877279385, 1031597, 290, 215, 408
1557877279398, 1031610, 290, 226, 403
1557877279410, 1031623, 291, 239, 398
1557877279424, 1031636, 295, 248, 391
1557877279438, 1031650, 298, 254, 383
1557877279450, 1031662, 302, 258, 374
1557877279462, 1031675, 306, 264, 375
1557877279477, 1031689, 310, 270, 370
1557877279489, 1031702, 312, 279, 358
1557877279504, 1031715, 312, 287, 345
1557877279515, 1031728, 315, 293, 339
1557877279528, 1031741, 318, 292, 339
1557877279542, 1031754, 317, 281, 331
1557877279555, 1031768, 313, 277, 319
1557877279569, 1031781, 309, 283, 303
1557877279581, 1031793, 311, 293, 302
1557877279595, 1031806, 315, 299, 310
1557877279607, 1031820, 317, 305, 317
1557877279621, 1031833, 316, 306, 320
1557877279634, 1031846, 313, 305, 314
1557877279647, 1031859, 312, 305, 304
1557877279660, 1031872, 312, 309, 298
1557877279673, 1031885, 314, 318, 299
1557877279687, 1031899, 317, 328, 298
1557877279699, 1031912, 319, 336, 296
1557877279712, 1031924, 319, 338, 292
1557877279724, 1031938, 320, 333, 291
1557877279738, 1031951, 321, 331, 287
1557877279752, 1031964, 317, 337, 270
1557877279765, 1031977, 314, 345, 256
1557877279777, 1031990, 313, 350, 254
1557877279791, 1032003, 316, 353, 259
1557877279804, 1032016, 318, 350, 261
1557877279817, 1032030, 314, 346, 247
1557877279831, 1032043, 311, 339, 239
1557877279844, 1032055, 312, 333, 241
1557877279856, 1032069, 312, 327, 245
1557877279869, 1032082, 310, 321, 237
1557877279882, 1032095, 307, 317, 224
1557877279896, 1032108, 304, 309, 215
1557877279908, 1032121, 305, 299, 212
1557877279922, 1032134, 307, 295, 211
1557877279936, 1032147, 310, 292, 209
1557877279949, 1032161, 313, 290, 209
1557877279962, 1032173, 318, 287, 213
1557877279975, 1032186, 326, 273, 226
1557877279988, 1032200, 331, 259, 236
1557877280000, 1032213, 334, 247, 245
1557877280013, 1032226, 337, 245, 260
1557877280027, 1032239, 341, 243, 276
1557877280040, 1032252, 344, 240, 291
1557877280053, 1032265, 343, 230, 299
1557877280065, 1032279, 339, 219, 298
1557877280080, 1032292, 338, 214, 296
1557877280092, 1032304, 336, 220, 305
1557877280105, 1032317, 336, 229, 317
1557877280117, 1032331, 337, 236, 328
1557877280131, 1032344, 335, 244, 327
1557877280144, 1032357, 333, 256, 327
1557877280158, 1032370, 329, 261, 323
1557877280170, 1032383, 328, 266, 322
1557877280185, 1032396, 326, 273, 322
1557877280197, 1032410, 324, 279, 322
1557877280210, 1032423, 322, 286, 323
1557877280223, 1032435, 321, 291, 324
1557877280236, 1032449, 320, 296, 322
1557877280250, 1032462, 317, 298, 312
1557877280262, 1032475, 314, 299, 303
1557877280275, 1032488, 313, 301, 299
1557877280289, 1032501, 312, 303, 297
1557877280301, 1032514, 310, 303, 294
1557877280316, 1032527, 309, 305, 291
1557877280328, 1032541, 308, 308, 286
1557877280340, 1032554, 306, 311, 278
1557877280355, 1032566, 305, 315, 274
1557877280368, 1032580, 305, 317, 273
1557877280380, 1032593, 304, 318, 273
1557877280394, 1032606, 302, 316, 273
1557877280406, 1032620, 302, 314, 275
1557877280420, 1032632, 301, 314, 276
1557877280433, 1032645, 302, 315, 279
1557877280446, 1032658, 302, 318, 280
1557877280459, 1032672, 303, 320, 279
1557877280472, 1032685, 303, 320, 278
1557877280485, 1032697, 303, 319, 280
