Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557877059322, 811537, 368, 295, 296
1557877059334, 811550, 372, 288, 292
1557877059347, 811564, 377, 289, 292
1557877059361, 811577, 382, 291, 292
1557877059373, 811589, 388, 291, 289
1557877059386, 811602, 391, 288, 282
1557877059399, 811616, 396, 287, 276
1557877059413, 811629, 402, 281, 272
1557877059425, 811641, 404, 272, 269
1557877059439, 811655, 406, 269, 265
1557877059453, 811668, 410, 274, 266
1557877059465, 811681, 412, 286, 265
1557877059478, 811695, 411, 301, 264
1557877059490, 811707, 396, 310, 281
1557877059504, 811720, 409, 297, 264
1557877059517, 811734, 413, 285, 265
1557877059529, 811747, 408, 276, 272
1557877059543, 811759, 407, 280, 281
1557877059557, 811772, 408, 304, 289
1557877059570, 811786, 407, 332, 305
1557877059583, 811799, 407, 343, 303
1557877059595, 811811, 402, 334, 295
1557877059609, 811825, 395, 321, 287
1557877059623, 811838, 386, 308, 288
1557877059635, 811851, 383, 310, 296
1557877059647, 811864, 380, 316, 305
1557877059661, 811877, 378, 325, 317
1557877059673, 811890, 377, 328, 329
1557877059687, 811904, 377, 326, 336
1557877059700, 811916, 376, 321, 340
1557877059713, 811929, 375, 310, 340
1557877059726, 811942, 373, 304, 342
1557877059739, 811956, 373, 302, 343
1557877059753, 811968, 373, 304, 343
1557877059765, 811981, 373, 307, 344
1557877059778, 811995, 375, 309, 346
1557877059791, 812008, 378, 307, 350
1557877059804, 812021, 383, 305, 349
1557877059817, 812034, 386, 304, 343
1557877059831, 812047, 387, 304, 332
1557877059844, 812060, 388, 307, 325
1557877059857, 812073, 388, 308, 321
1557877059870, 812086, 388, 310, 317
1557877059882, 812099, 388, 312, 318
1557877059896, 812112, 388, 316, 324
1557877059909, 812126, 393, 318, 331
1557877059922, 812138, 393, 318, 326
1557877059935, 812151, 390, 321, 319
1557877059949, 812165, 385, 323, 312
1557877059962, 812178, 381, 324, 312
1557877059974, 812190, 378, 323, 317
1557877059987, 812204, 373, 320, 325
1557877060000, 812217, 364, 318, 331
1557877060013, 812230, 360, 317, 337
1557877060026, 812242, 357, 314, 337
1557877060040, 812256, 353, 314, 333
1557877060052, 812269, 349, 320, 330
1557877060065, 812282, 349, 329, 328
1557877060079, 812296, 353, 332, 335
1557877060093, 812308, 363, 319, 350
1557877060105, 812321, 368, 304, 342
1557877060118, 812335, 369, 295, 322
1557877060132, 812348, 379, 300, 307
1557877060144, 812360, 395, 315, 304
1557877060157, 812374, 423, 328, 303
1557877060170, 812387, 450, 324, 290
1557877060184, 812400, 474, 314, 272
1557877060197, 812412, 488, 300, 243
1557877060210, 812426, 493, 286, 221
1557877060223, 812439, 501, 283, 222
1557877060236, 812452, 510, 294, 231
1557877060248, 812465, 515, 307, 236
1557877060261, 812478, 517, 319, 246
1557877060274, 812491, 518, 316, 256
1557877060287, 812505, 520, 298, 258
1557877060301, 812517, 525, 265, 262
1557877060314, 812530, 533, 234, 266
1557877060328, 812544, 542, 211, 275
1557877060341, 812557, 551, 207, 286
1557877060354, 812570, 555, 214, 296
1557877060366, 812582, 552, 224, 303
1557877060380, 812596, 559, 227, 329
1557877060393, 812609, 556, 213, 348
1557877060406, 812622, 554, 202, 384
1557877060419, 812635, 544, 214, 414
1557877060431, 812648, 536, 235, 462
1557877060445, 812661, 525, 255, 505
1557877060457, 812675, 500, 279, 514
1557877060471, 812687, 469, 291, 491
1557877060483, 812700, 442, 298, 456
1557877060497, 812713, 416, 308, 420
1557877060510, 812727, 396, 314, 386
1557877060523, 812739, 382, 310, 348
1557877060536, 812752, 369, 301, 314
1557877060549, 812766, 356, 298, 303
1557877060565, 812779, 348, 307, 320
1557877060576, 812791, 348, 310, 350
1557877060589, 812805, 347, 307, 359
1557877060601, 812818, 343, 309, 341
1557877060614, 812831, 338, 316, 310
1557877060629, 812845, 336, 325, 285
1557877060641, 812857, 335, 338, 267
1557877060654, 812870, 335, 349, 258
1557877060666, 812883, 335, 352, 259
1557877060680, 812897, 336, 342, 272
1557877060693, 812909, 338, 334, 282
1557877060706, 812922, 339, 330, 281
1557877060719, 812936, 339, 332, 275
1557877060732, 812949, 340, 333, 272
1557877060745, 812961, 342, 335, 273
1557877060759, 812975, 344, 339, 276
1557877060772, 812988, 347, 342, 280
1557877060785, 813001, 348, 343, 281
1557877060797, 813014, 349, 343, 282
1557877060812, 813027, 350, 341, 285
1557877060825, 813040, 350, 340, 288
1557877060836, 813053, 351, 341, 291
1557877060850, 813066, 352, 339, 293
1557877060863, 813079, 351, 337, 293
1557877060876, 813092, 350, 335, 291
1557877060889, 813106, 351, 337, 289
1557877060902, 813118, 353, 339, 284
1557877060915, 813131, 354, 344, 278
1557877060928, 813145, 353, 349, 275
1557877060941, 813158, 353, 353, 275
1557877060955, 813171, 353, 353, 280
1557877060968, 813184, 353, 349, 282
1557877060980, 813197, 352, 343, 282
1557877060995, 813210, 352, 339, 283
1557877061007, 813223, 352, 339, 282
1557877061020, 813236, 352, 340, 280
1557877061033, 813249, 353, 339, 274
1557877061045, 813262, 352, 338, 269
1557877061059, 813276, 352, 337, 268
1557877061072, 813288, 353, 335, 270
