Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557937013371, 294062, 337, 321, 275
1557937013384, 294075, 338, 321, 275
1557937013397, 294088, 338, 321, 275
1557937013410, 294102, 338, 322, 275
1557937013424, 294114, 338, 322, 275
1557937013436, 294127, 338, 322, 275
1557937013450, 294140, 338, 322, 275
1557937013462, 294154, 338, 322, 275
1557937013476, 294166, 338, 322, 275
1557937013488, 294179, 339, 322, 275
1557937013501, 294193, 338, 322, 276
1557937013514, 294206, 338, 321, 276
1557937013528, 294219, 338, 321, 276
1557937013541, 294232, 338, 321, 277
1557937013555, 294245, 338, 321, 276
1557937013567, 294258, 338, 321, 275
1557937013581, 294272, 338, 322, 275
1557937013594, 294284, 338, 321, 275
1557937013606, 294297, 338, 321, 275
1557937013620, 294310, 338, 321, 275
1557937013632, 294324, 338, 321, 275
1557937013645, 294336, 338, 321, 274
1557937013659, 294349, 338, 321, 274
1557937013672, 294363, 338, 321, 274
1557937013685, 294376, 338, 321, 275
1557937013698, 294388, 338, 321, 275
1557937013712, 294402, 338, 321, 276
1557937013724, 294415, 338, 321, 276
1557937013737, 294428, 338, 321, 276
1557937013750, 294440, 338, 321, 276
1557937013763, 294454, 338, 321, 276
1557937013776, 294467, 338, 322, 275
1557937013790, 294480, 338, 322, 275
1557937013802, 294493, 338, 322, 275
1557937013815, 294506, 338, 322, 276
1557937013829, 294519, 338, 322, 275
1557937013841, 294533, 338, 322, 276
1557937013854, 294546, 338, 322, 276
1557937013868, 294558, 338, 322, 275
1557937013881, 294572, 338, 322, 275
1557937013894, 294585, 338, 322, 275
1557937013906, 294598, 338, 322, 275
1557937013919, 294610, 338, 322, 275
1557937013933, 294624, 338, 321, 276
1557937013946, 294637, 338, 321, 275
1557937013959, 294650, 338, 321, 275
1557937013973, 294663, 338, 321, 275
1557937013986, 294676, 337, 320, 275
1557937014001, 294689, 338, 321, 275
1557937014011, 294703, 338, 321, 275
1557937014024, 294715, 338, 320, 275
1557937014037, 294728, 338, 321, 274
1557937014052, 294742, 338, 321, 274
1557937014063, 294755, 338, 321, 275
1557937014078, 294767, 338, 321, 275
1557937014090, 294780, 338, 321, 276
1557937014103, 294794, 338, 321, 276
1557937014115, 294807, 338, 321, 276
1557937014128, 294819, 338, 321, 276
