Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557937279269, 559954, 330, 332, 277
1557937279281, 559968, 330, 333, 277
1557937279295, 559980, 330, 333, 277
1557937279308, 559993, 330, 333, 277
1557937279320, 560007, 329, 333, 277
1557937279334, 560020, 329, 334, 277
1557937279347, 560032, 329, 334, 277
1557937279360, 560046, 330, 334, 277
1557937279373, 560059, 329, 334, 276
1557937279385, 560072, 329, 333, 277
1557937279399, 560084, 329, 333, 276
1557937279413, 560098, 329, 333, 277
1557937279425, 560111, 328, 333, 278
1557937279438, 560124, 328, 333, 279
1557937279451, 560137, 327, 333, 281
1557937279464, 560150, 327, 332, 282
1557937279479, 560163, 327, 331, 282
1557937279491, 560177, 327, 330, 283
1557937279504, 560189, 329, 329, 284
1557937279517, 560202, 331, 330, 287
1557937279530, 560216, 337, 329, 293
1557937279543, 560229, 338, 326, 301
1557937279556, 560241, 339, 316, 309
1557937279570, 560254, 333, 300, 310
1557937279582, 560268, 323, 285, 292
1557937279595, 560281, 318, 265, 272
1557937279608, 560294, 313, 251, 264
1557937279621, 560307, 320, 246, 265
1557937279634, 560320, 327, 252, 265
1557937279648, 560333, 337, 260, 251
1557937279662, 560347, 342, 281, 220
1557937279673, 560359, 356, 315, 175
1557937279687, 560372, 390, 364, 132
1557937279700, 560386, 421, 422, 95
1557937279713, 560399, 436, 470, 84
1557937279727, 560411, 441, 492, 111
1557937279739, 560424, 433, 489, 161
1557937279753, 560438, 423, 472, 221
1557937279765, 560451, 413, 449, 270
1557937279778, 560463, 405, 428, 297
1557937279791, 560477, 402, 407, 321
1557937279805, 560490, 397, 383, 338
1557937279817, 560503, 387, 359, 352
1557937279831, 560516, 379, 340, 364
1557937279844, 560529, 370, 328, 373
1557937279857, 560542, 362, 316, 379
1557937279870, 560556, 353, 310, 380
1557937279882, 560568, 343, 306, 382
1557937279896, 560581, 334, 302, 383
1557937279909, 560594, 329, 298, 384
1557937279923, 560608, 325, 298, 378
1557937279934, 560620, 322, 300, 370
1557937279947, 560633, 323, 302, 364
1557937279962, 560647, 322, 301, 357
1557937279974, 560660, 320, 300, 348
1557937279987, 560672, 321, 300, 335
1557937280000, 560686, 329, 302, 338
1557937280013, 560699, 333, 304, 326
1557937280026, 560712, 332, 306, 310
1557937280039, 560726, 336, 310, 300
1557937280053, 560738, 341, 316, 289
1557937280066, 560751, 345, 317, 275
1557937280079, 560764, 342, 304, 257
1557937280091, 560778, 337, 274, 242
1557937280104, 560790, 341, 264, 221
1557937280118, 560803, 348, 290, 210
1557937280131, 560817, 362, 318, 196
1557937280144, 560830, 362, 339, 193
1557937280157, 560842, 353, 345, 199
1557937280171, 560856, 348, 338, 210
1557937280183, 560869, 342, 325, 223
1557937280197, 560882, 338, 317, 223
1557937280209, 560894, 340, 328, 215
1557937280222, 560908, 348, 350, 219
1557937280235, 560921, 352, 359, 219
1557937280248, 560934, 347, 360, 215
1557937280262, 560947, 342, 360, 213
1557937280274, 560960, 344, 358, 211
1557937280288, 560973, 346, 360, 209
1557937280302, 560987, 354, 363, 206
1557937280313, 560999, 361, 367, 195
1557937280327, 561012, 371, 381, 202
1557937280340, 561026, 391, 394, 214
1557937280353, 561039, 397, 403, 230
1557937280366, 561051, 399, 397, 241
1557937280379, 561064, 396, 384, 252
1557937280393, 561078, 395, 372, 262
1557937280406, 561091, 391, 366, 273
1557937280419, 561104, 386, 361, 288
1557937280431, 561117, 382, 358, 305
1557937280445, 561130, 382, 359, 319
