Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557936855897, 136603, 336, 307, 277
1557936855910, 136616, 336, 307, 277
1557936855922, 136629, 336, 307, 276
1557936855936, 136642, 336, 307, 276
1557936855949, 136655, 335, 308, 278
1557936855962, 136669, 335, 309, 279
1557936855975, 136681, 335, 309, 279
1557936855989, 136694, 336, 308, 279
1557936856001, 136708, 336, 308, 278
1557936856015, 136721, 336, 308, 278
1557936856027, 136733, 336, 308, 278
1557936856040, 136747, 337, 307, 277
1557936856053, 136760, 337, 307, 277
1557936856066, 136773, 338, 307, 277
1557936856079, 136785, 338, 308, 277
1557936856091, 136799, 338, 307, 277
1557936856106, 136812, 338, 307, 277
1557936856118, 136825, 338, 307, 277
1557936856132, 136838, 337, 306, 278
1557936856145, 136851, 336, 309, 278
1557936856158, 136864, 335, 309, 277
1557936856171, 136878, 334, 309, 278
1557936856184, 136891, 334, 310, 278
1557936856197, 136903, 334, 310, 277
1557936856210, 136916, 334, 310, 276
1557936856223, 136930, 333, 311, 276
1557936856236, 136943, 332, 315, 275
1557936856248, 136955, 331, 316, 275
1557936856263, 136969, 331, 315, 275
1557936856275, 136982, 332, 313, 276
1557936856287, 136995, 332, 314, 278
1557936856302, 137008, 332, 324, 275
1557936856314, 137021, 326, 335, 273
1557936856327, 137034, 327, 334, 272
1557936856340, 137048, 328, 337, 272
1557936856354, 137060, 334, 329, 277
1557936856367, 137073, 345, 335, 278
1557936856380, 137086, 364, 334, 282
1557936856393, 137100, 398, 305, 288
1557936856407, 137112, 437, 267, 292
1557936856419, 137125, 493, 211, 302
1557936856431, 137139, 544, 150, 328
1557936856444, 137152, 587, 115, 358
1557936856459, 137164, 618, 126, 379
1557936856471, 137178, 625, 151, 385
1557936856484, 137191, 620, 194, 368
1557936856497, 137204, 606, 253, 349
1557936856511, 137217, 617, 311, 326
1557936856524, 137230, 655, 381, 289
1557936856536, 137243, 660, 442, 231
1557936856549, 137256, 661, 499, 141
1557936856562, 137270, 641, 530, 105
1557936856575, 137282, 538, 528, 174
1557936856589, 137295, 461, 505, 250
1557936856602, 137309, 423, 468, 271
1557936856615, 137322, 390, 458, 261
1557936856628, 137334, 367, 460, 262
1557936856642, 137348, 363, 459, 261
1557936856654, 137361, 368, 454, 266
1557936856667, 137374, 370, 446, 273
1557936856681, 137387, 369, 423, 271
1557936856693, 137400, 364, 397, 258
1557936856706, 137413, 360, 378, 264
1557936856720, 137426, 361, 366, 276
1557936856732, 137439, 355, 356, 276
1557936856746, 137452, 353, 349, 273
1557936856759, 137465, 356, 342, 259
1557936856771, 137479, 362, 340, 266
1557936856785, 137491, 348, 347, 271
1557936856799, 137504, 340, 340, 262
1557936856811, 137518, 342, 321, 258
1557936856824, 137531, 355, 319, 295
1557936856837, 137543, 330, 334, 283
1557936856851, 137556, 322, 343, 275
1557936856864, 137570, 323, 339, 275
1557936856877, 137583, 326, 329, 269
1557936856890, 137596, 331, 319, 263
1557936856902, 137609, 338, 311, 262
1557936856915, 137622, 348, 303, 274
1557936856929, 137635, 350, 301, 281
1557936856942, 137649, 343, 302, 278
1557936856955, 137661, 338, 301, 278
1557936856968, 137674, 339, 303, 276
1557936856981, 137688, 339, 302, 271
1557936856993, 137701, 340, 303, 270
1557936857007, 137713, 340, 307, 267
1557936857020, 137726, 339, 305, 262
1557936857033, 137740, 343, 305, 280
1557936857046, 137753, 344, 304, 278
1557936857060, 137765, 341, 310, 273
1557936857072, 137779, 334, 318, 268
1557936857085, 137792, 327, 322, 268
1557936857099, 137805, 328, 317, 271
1557936857112, 137818, 329, 309, 275
1557936857125, 137831, 333, 304, 278
1557936857138, 137844, 335, 300, 279
1557936857151, 137858, 337, 301, 282
1557936857165, 137870, 336, 307, 279
1557936857177, 137883, 333, 314, 272
1557936857190, 137896, 330, 316, 268
1557936857204, 137910, 330, 315, 268
1557936857218, 137923, 331, 311, 270
1557936857229, 137935, 335, 305, 273
1557936857243, 137949, 341, 301, 273
1557936857256, 137962, 341, 302, 272
1557936857268, 137975, 339, 306, 271
1557936857281, 137988, 334, 312, 272
1557936857294, 138001, 330, 314, 277
1557936857307, 138014, 330, 311, 281
1557936857321, 138028, 330, 307, 282
1557936857334, 138040, 334, 303, 282
1557936857348, 138053, 335, 304, 282
1557936857361, 138066, 335, 308, 277
1557936857373, 138080, 332, 311, 273
1557936857386, 138092, 331, 313, 275
1557936857400, 138105, 332, 310, 278
1557936857412, 138119, 334, 306, 282
1557936857425, 138132, 337, 302, 286
1557936857438, 138144, 339, 304, 285
1557936857452, 138158, 339, 308, 279
1557936857464, 138171, 336, 310, 276
1557936857478, 138184, 336, 309, 276
1557936857490, 138196, 337, 306, 279
1557936857504, 138210, 339, 302, 281
1557936857517, 138223, 341, 302, 281
1557936857530, 138236, 339, 304, 277
1557936857543, 138249, 338, 308, 274
1557936857556, 138262, 336, 312, 273
1557936857569, 138275, 333, 314, 275
1557936857582, 138289, 333, 314, 277
1557936857595, 138302, 334, 312, 279
1557936857608, 138314, 335, 310, 279
1557936857621, 138328, 335, 309, 278
1557936857634, 138341, 334, 309, 278
1557936857646, 138354, 335, 309, 279
1557936857661, 138366, 335, 310, 277
1557936857674, 138380, 334, 311, 275
1557936857687, 138393, 332, 315, 274
1557936857700, 138406, 330, 318, 272
1557936857713, 138419, 328, 320, 273
1557936857725, 138432, 329, 318, 275
1557936857739, 138445, 330, 316, 276
1557936857752, 138459, 331, 314, 277
1557936857764, 138471, 332, 312, 279
1557936857777, 138484, 333, 311, 279
