Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557936963264, 243957, 345, 327, 277
1557936963276, 243971, 345, 328, 278
1557936963291, 243984, 344, 328, 278
1557936963304, 243996, 345, 328, 278
1557936963316, 244009, 344, 327, 278
1557936963331, 244023, 345, 326, 278
1557936963343, 244036, 344, 326, 278
1557936963356, 244048, 345, 326, 278
1557936963370, 244062, 345, 327, 277
1557936963381, 244075, 345, 327, 277
1557936963395, 244088, 345, 327, 277
1557936963408, 244102, 345, 327, 277
1557936963422, 244114, 344, 327, 276
1557936963434, 244127, 344, 326, 277
1557936963448, 244141, 344, 326, 277
1557936963461, 244154, 344, 325, 277
1557936963473, 244166, 344, 326, 277
1557936963486, 244179, 345, 327, 278
1557936963499, 244193, 345, 328, 279
1557936963513, 244206, 346, 328, 279
1557936963526, 244218, 346, 329, 278
1557936963538, 244232, 346, 330, 278
1557936963552, 244245, 346, 332, 279
1557936963565, 244258, 345, 334, 279
1557936963578, 244271, 345, 336, 280
1557936963591, 244284, 344, 338, 281
1557936963604, 244297, 344, 341, 280
1557936963618, 244311, 344, 343, 281
1557936963630, 244323, 344, 344, 281
1557936963643, 244336, 344, 348, 281
1557936963657, 244349, 344, 352, 281
1557936963669, 244363, 344, 356, 279
1557936963682, 244375, 343, 356, 276
1557936963695, 244388, 342, 355, 271
1557936963708, 244402, 341, 350, 265
1557936963721, 244415, 340, 342, 258
1557936963735, 244427, 340, 332, 249
1557936963748, 244441, 340, 321, 240
1557936963760, 244454, 340, 311, 231
1557936963774, 244467, 344, 305, 223
1557936963787, 244480, 349, 304, 217
1557936963800, 244493, 355, 305, 212
1557936963814, 244506, 361, 307, 210
1557936963826, 244519, 367, 310, 213
1557936963839, 244533, 369, 308, 219
1557936963852, 244545, 371, 304, 227
1557936963864, 244558, 371, 302, 233
1557936963880, 244572, 372, 299, 240
1557936963891, 244585, 370, 293, 244
1557936963904, 244597, 367, 287, 249
1557936963917, 244611, 366, 284, 256
1557936963931, 244624, 363, 283, 266
1557936963944, 244637, 360, 282, 278
1557936963957, 244649, 356, 282, 289
1557936963970, 244663, 353, 285, 297
1557936963982, 244676, 351, 289, 299
1557936963996, 244689, 349, 289, 298
1557936964010, 244702, 349, 285, 297
1557936964021, 244715, 347, 277, 301
1557936964036, 244728, 344, 269, 308
