Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557937181486, 462174, 325, 338, 275
1557937181499, 462187, 325, 339, 275
1557937181513, 462199, 325, 339, 275
1557937181526, 462213, 325, 338, 275
1557937181538, 462226, 325, 338, 275
1557937181551, 462239, 325, 339, 276
1557937181564, 462252, 326, 340, 276
1557937181578, 462265, 326, 340, 276
1557937181591, 462278, 326, 340, 276
1557937181604, 462291, 325, 340, 276
1557937181616, 462305, 325, 339, 276
1557937181630, 462317, 325, 339, 276
1557937181643, 462330, 325, 339, 277
1557937181656, 462344, 325, 339, 276
1557937181669, 462357, 325, 338, 275
1557937181683, 462369, 325, 338, 276
1557937181696, 462383, 325, 337, 276
1557937181708, 462396, 324, 337, 276
1557937181721, 462409, 324, 336, 275
1557937181734, 462422, 325, 335, 276
1557937181748, 462435, 324, 334, 276
1557937181761, 462448, 324, 332, 274
1557937181773, 462461, 323, 329, 271
1557937181788, 462474, 322, 325, 269
1557937181800, 462487, 321, 322, 266
1557937181812, 462500, 320, 321, 266
1557937181826, 462514, 319, 322, 265
1557937181838, 462526, 319, 326, 265
1557937181852, 462539, 319, 332, 264
1557937181866, 462553, 318, 338, 262
1557937181878, 462566, 316, 343, 259
1557937181891, 462578, 314, 348, 255
1557937181904, 462592, 315, 358, 251
1557937181917, 462605, 321, 368, 249
1557937181930, 462618, 326, 379, 247
1557937181943, 462630, 329, 387, 247
1557937181956, 462644, 329, 393, 250
1557937181970, 462657, 327, 394, 257
1557937181982, 462670, 326, 392, 269
1557937181996, 462683, 327, 393, 278
1557937182009, 462696, 329, 395, 286
1557937182022, 462709, 333, 398, 292
1557937182035, 462723, 339, 400, 299
1557937182047, 462736, 344, 400, 308
1557937182061, 462748, 348, 400, 314
1557937182074, 462761, 353, 398, 321
1557937182087, 462775, 359, 392, 327
1557937182100, 462788, 363, 380, 328
1557937182113, 462800, 364, 366, 325
1557937182127, 462814, 363, 346, 318
1557937182139, 462827, 359, 323, 312
1557937182153, 462840, 352, 306, 312
1557937182166, 462853, 347, 288, 317
1557937182179, 462866, 347, 274, 320
1557937182192, 462879, 346, 263, 323
1557937182205, 462893, 341, 250, 322
1557937182218, 462905, 338, 240, 319
1557937182231, 462918, 334, 233, 316
1557937182244, 462931, 335, 228, 316
1557937182257, 462945, 331, 218, 319
1557937182270, 462957, 323, 207, 318
1557937182283, 462970, 317, 206, 318
1557937182297, 462984, 318, 216, 322
