Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557936878004, 158710, 319, 313, 277
1557936878017, 158723, 319, 314, 277
1557936878029, 158736, 319, 314, 276
1557936878043, 158749, 319, 314, 276
1557936878057, 158763, 318, 314, 276
1557936878069, 158775, 319, 314, 276
1557936878083, 158788, 319, 314, 276
1557936878095, 158801, 319, 314, 276
1557936878108, 158815, 319, 314, 276
1557936878121, 158827, 319, 313, 275
1557936878134, 158840, 319, 313, 275
1557936878147, 158854, 319, 313, 276
1557936878163, 158867, 319, 312, 276
1557936878173, 158879, 319, 312, 277
1557936878187, 158893, 319, 313, 277
1557936878200, 158906, 319, 313, 276
1557936878212, 158919, 320, 314, 277
1557936878226, 158931, 320, 315, 277
1557936878239, 158945, 322, 316, 277
1557936878252, 158958, 323, 316, 278
1557936878265, 158971, 325, 318, 280
1557936878279, 158984, 326, 320, 281
1557936878291, 158997, 327, 321, 283
1557936878305, 159010, 327, 323, 286
1557936878317, 159024, 329, 323, 289
1557936878330, 159037, 333, 322, 291
1557936878343, 159049, 338, 323, 293
1557936878357, 159063, 340, 324, 295
1557936878369, 159076, 343, 327, 300
1557936878382, 159089, 339, 332, 301
1557936878396, 159101, 337, 335, 305
1557936878409, 159115, 336, 337, 308
1557936878421, 159128, 335, 337, 310
1557936878435, 159141, 336, 335, 310
1557936878447, 159154, 335, 333, 312
1557936878461, 159167, 338, 330, 314
1557936878474, 159180, 338, 329, 314
1557936878488, 159194, 337, 329, 314
1557936878500, 159206, 337, 328, 313
1557936878513, 159219, 336, 325, 304
1557936878526, 159233, 334, 315, 292
1557936878539, 159246, 335, 305, 286
1557936878554, 159258, 336, 298, 289
1557936878565, 159271, 339, 293, 292
1557936878578, 159285, 339, 295, 302
1557936878592, 159298, 337, 304, 301
1557936878605, 159310, 343, 309, 298
1557936878618, 159324, 351, 310, 275
1557936878631, 159337, 359, 304, 253
1557936878643, 159350, 357, 297, 245
1557936878658, 159364, 359, 295, 259
1557936878670, 159376, 360, 294, 290
1557936878684, 159389, 357, 304, 306
1557936878697, 159403, 363, 316, 291
1557936878709, 159416, 377, 319, 261
1557936878722, 159428, 388, 312, 227
1557936878736, 159441, 393, 304, 219
1557936878749, 159455, 391, 309, 249
1557936878761, 159468, 387, 329, 280
1557936878775, 159480, 384, 354, 300
1557936878789, 159494, 392, 376, 304
1557936878800, 159507, 408, 384, 290
1557936878814, 159520, 430, 380, 286
1557936878827, 159533, 458, 370, 297
1557936878840, 159546, 471, 355, 295
1557936878852, 159559, 476, 331, 272
1557936878866, 159572, 479, 305, 238
1557936878880, 159585, 478, 285, 207
1557936878892, 159598, 475, 276, 184
1557936878905, 159611, 463, 287, 190
1557936878919, 159625, 483, 318, 261
1557936878931, 159637, 498, 348, 315
1557936878944, 159650, 513, 365, 302
1557936878958, 159664, 513, 360, 265
1557936878970, 159677, 520, 349, 247
1557936878984, 159689, 532, 335, 231
1557936878996, 159703, 564, 333, 242
1557936879010, 159716, 622, 336, 312
1557936879022, 159729, 594, 377, 329
1557936879036, 159742, 536, 446, 434
1557936879050, 159755, 423, 375, 313
1557936879062, 159768, 464, 424, 511
1557936879075, 159781, 389, 404, 493
1557936879088, 159795, 351, 393, 452
1557936879101, 159807, 352, 371, 428
1557936879114, 159820, 350, 346, 373
1557936879127, 159834, 359, 357, 350
1557936879140, 159847, 344, 360, 333
1557936879154, 159859, 347, 353, 324
1557936879167, 159873, 347, 337, 315
1557936879179, 159886, 345, 327, 293
1557936879193, 159899, 343, 328, 277
1557936879206, 159911, 335, 324, 263
1557936879218, 159925, 335, 317, 256
1557936879232, 159938, 334, 311, 262
1557936879244, 159951, 340, 306, 277
1557936879258, 159964, 345, 302, 282
1557936879272, 159977, 345, 308, 307
1557936879284, 159990, 328, 306, 290
1557936879298, 160004, 324, 311, 282
1557936879310, 160017, 321, 313, 274
1557936879323, 160029, 325, 316, 264
1557936879337, 160043, 325, 317, 260
1557936879350, 160056, 327, 320, 265
1557936879363, 160069, 328, 322, 271
1557936879375, 160081, 327, 324, 279
1557936879389, 160095, 323, 326, 286
1557936879402, 160108, 319, 327, 288
1557936879415, 160121, 319, 326, 286
1557936879427, 160134, 320, 320, 282
1557936879441, 160147, 323, 314, 278
1557936879454, 160160, 323, 312, 271
1557936879468, 160174, 324, 309, 267
1557936879480, 160186, 330, 305, 267
1557936879493, 160199, 334, 305, 267
1557936879506, 160212, 333, 307, 269
1557936879520, 160226, 330, 309, 269
1557936879532, 160238, 328, 311, 269
1557936879546, 160251, 327, 312, 270
1557936879559, 160265, 325, 312, 272
1557936879572, 160278, 325, 313, 276
1557936879584, 160290, 326, 315, 278
1557936879598, 160304, 325, 318, 278
1557936879610, 160317, 324, 320, 277
1557936879624, 160330, 325, 319, 279
1557936879636, 160343, 325, 318, 278
1557936879650, 160356, 324, 318, 274
1557936879663, 160369, 325, 312, 275
1557936879676, 160382, 329, 308, 277
1557936879689, 160395, 333, 307, 282
1557936879702, 160408, 332, 313, 284
1557936879715, 160421, 324, 323, 283
1557936879728, 160435, 317, 330, 284
1557936879742, 160448, 313, 332, 283
1557936879755, 160460, 311, 331, 280
1557936879768, 160474, 311, 326, 279
1557936879780, 160487, 314, 320, 280
1557936879794, 160500, 317, 314, 280
1557936879807, 160513, 321, 308, 280
1557936879819, 160526, 323, 306, 279
1557936879832, 160539, 323, 308, 278
1557936879846, 160552, 321, 312, 276
1557936879859, 160565, 320, 317, 274
1557936879872, 160578, 319, 322, 272
1557936879885, 160591, 318, 323, 270
1557936879899, 160605, 320, 322, 269
1557936879911, 160617, 322, 320, 270
1557936879924, 160630, 324, 317, 271
1557936879937, 160644, 326, 314, 272
1557936879950, 160657, 328, 311, 272
1557936879964, 160669, 330, 309, 273
1557936879976, 160683, 332, 309, 274
1557936879990, 160696, 332, 311, 274
1557936880003, 160709, 331, 314, 274
1557936880016, 160721, 329, 317, 273
1557936880029, 160735, 327, 319, 273
1557936880041, 160748, 325, 319, 276
1557936880055, 160761, 326, 316, 278
1557936880068, 160774, 327, 314, 279
1557936880081, 160787, 327, 313, 280
1557936880094, 160800, 326, 313, 281
1557936880107, 160814, 325, 314, 280
1557936880121, 160827, 325, 315, 279
1557936880133, 160839, 324, 315, 277
1557936880147, 160852, 324, 315, 276
1557936880160, 160866, 324, 315, 278
