Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1558223106919, 795269, 548, 513, 425
1558223106932, 795282, 548, 513, 426
1558223106944, 795295, 548, 513, 425
1558223106957, 795309, 548, 513, 426
1558223106973, 795321, 549, 512, 426
1558223106984, 795334, 549, 512, 426
1558223106997, 795347, 549, 511, 426
1558223107009, 795361, 548, 511, 425
1558223107024, 795373, 549, 512, 426
1558223107036, 795386, 549, 512, 426
1558223107049, 795400, 548, 513, 425
1558223107062, 795413, 547, 513, 425
1558223107075, 795426, 547, 513, 426
1558223107088, 795439, 547, 512, 426
1558223107102, 795452, 548, 512, 425
1558223107114, 795465, 548, 512, 425
1558223107128, 795479, 547, 512, 425
1558223107140, 795491, 547, 513, 426
1558223107154, 795504, 547, 514, 425
1558223107167, 795517, 547, 513, 425
1558223107180, 795531, 547, 512, 425
1558223107193, 795543, 548, 511, 425
1558223107206, 795556, 548, 512, 426
1558223107219, 795570, 547, 513, 426
1558223107232, 795583, 548, 513, 425
1558223107245, 795595, 548, 512, 426
1558223107257, 795609, 548, 511, 425
1558223107271, 795622, 549, 511, 426
1558223107284, 795635, 550, 512, 426
1558223107298, 795649, 549, 513, 426
1558223107311, 795661, 549, 512, 426
1558223107323, 795674, 548, 511, 425
1558223107336, 795687, 548, 511, 425
1558223107349, 795701, 547, 512, 425
1558223107362, 795713, 547, 512, 425
1558223107376, 795726, 547, 513, 425
1558223107389, 795740, 548, 513, 426
1558223107402, 795753, 548, 513, 426
1558223107416, 795765, 548, 512, 426
1558223107429, 795779, 549, 512, 425
1558223107441, 795792, 548, 512, 426
1558223107455, 795805, 549, 512, 426
1558223107467, 795817, 548, 513, 425
1558223107481, 795831, 547, 512, 425
1558223107494, 795844, 547, 512, 425
1558223107506, 795857, 547, 512, 426
1558223107519, 795871, 547, 512, 426
1558223107533, 795883, 548, 512, 425
1558223107546, 795896, 548, 513, 426
1558223107558, 795910, 548, 513, 426
1558223107578, 795923, 547, 513, 426
1558223107585, 795935, 548, 512, 425
1558223107598, 795949, 547, 512, 425
1558223107612, 795962, 547, 513, 425
1558223107624, 795975, 547, 513, 425
1558223107638, 795987, 547, 513, 425
1558223107651, 796001, 547, 512, 425
1558223107664, 796014, 547, 512, 425
1558223107676, 796027, 548, 512, 425
1558223107689, 796040, 547, 512, 425
1558223107702, 796053, 548, 513, 425
1558223107715, 796066, 548, 512, 426
1558223107729, 796080, 548, 513, 425
1558223107741, 796093, 548, 513, 426
1558223107755, 796105, 548, 513, 426
1558223107769, 796119, 548, 513, 425
1558223107782, 796132, 548, 512, 425
1558223107794, 796145, 548, 512, 425
1558223107807, 796157, 547, 512, 425
1558223107820, 796171, 548, 512, 425
1558223107833, 796184, 548, 513, 425
1558223107846, 796197, 548, 513, 426
1558223107860, 796210, 548, 513, 425
1558223107872, 796223, 548, 513, 426
1558223107886, 796236, 548, 513, 426
1558223107898, 796250, 549, 513, 426
1558223107912, 796262, 548, 513, 426
1558223107924, 796275, 549, 513, 426
1558223107938, 796289, 548, 513, 426
1558223107951, 796302, 548, 513, 426
1558223107963, 796315, 548, 512, 425
1558223107977, 796327, 548, 512, 425
1558223107991, 796341, 548, 512, 425
1558223108003, 796354, 548, 512, 425
1558223108016, 796367, 548, 513, 426
1558223108029, 796380, 548, 513, 426
1558223108042, 796393, 549, 513, 425
1558223108056, 796406, 549, 513, 426
1558223108068, 796420, 548, 512, 425
1558223108082, 796432, 548, 513, 425
1558223108094, 796445, 547, 513, 425
1558223108108, 796459, 547, 513, 425
1558223108122, 796472, 547, 513, 425
1558223108134, 796484, 547, 513, 425
1558223108146, 796497, 548, 513, 426
1558223108160, 796511, 548, 512, 425
1558223108173, 796524, 548, 513, 426
1558223108187, 796537, 549, 513, 426
1558223108199, 796550, 549, 512, 426
1558223108213, 796563, 548, 513, 426
1558223108226, 796576, 548, 513, 425
1558223108239, 796590, 548, 513, 425
1558223108251, 796602, 548, 513, 426
1558223108266, 796615, 548, 512, 426
1558223108277, 796628, 549, 512, 425
1558223108290, 796642, 548, 513, 426
1558223108304, 796654, 549, 513, 426
1558223108317, 796667, 549, 513, 426
1558223108330, 796681, 549, 513, 425
1558223108344, 796694, 549, 513, 426
