Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1558223017631, 705985, 591, 430, 498
1558223017645, 705997, 591, 430, 498
1558223017656, 706011, 590, 429, 498
1558223017670, 706024, 590, 430, 498
1558223017683, 706037, 590, 429, 498
1558223017696, 706051, 589, 429, 498
1558223017709, 706063, 589, 428, 498
1558223017723, 706076, 589, 428, 498
1558223017736, 706089, 590, 428, 498
1558223017748, 706103, 590, 428, 498
1558223017761, 706115, 590, 428, 498
1558223017776, 706128, 591, 429, 499
1558223017788, 706142, 590, 430, 499
1558223017800, 706155, 591, 431, 499
1558223017814, 706167, 591, 431, 499
1558223017826, 706181, 592, 430, 499
1558223017840, 706194, 592, 429, 500
1558223017853, 706207, 592, 428, 499
1558223017866, 706220, 592, 427, 499
1558223017879, 706233, 592, 427, 498
1558223017892, 706246, 592, 428, 498
1558223017905, 706259, 592, 428, 499
1558223017919, 706273, 592, 428, 499
1558223017932, 706285, 593, 428, 499
1558223017944, 706298, 592, 428, 501
1558223017959, 706312, 592, 427, 500
1558223017971, 706325, 592, 427, 501
1558223017983, 706337, 591, 428, 501
1558223017996, 706351, 591, 427, 501
1558223018011, 706364, 591, 426, 499
1558223018023, 706377, 591, 424, 496
1558223018036, 706390, 592, 422, 494
1558223018049, 706403, 593, 422, 489
1558223018062, 706416, 594, 427, 485
1558223018076, 706429, 594, 435, 483
1558223018088, 706442, 593, 439, 478
1558223018103, 706455, 593, 437, 475
1558223018115, 706468, 592, 432, 469
1558223018128, 706482, 594, 426, 464
1558223018140, 706495, 595, 422, 459
1558223018154, 706507, 594, 420, 452
1558223018166, 706521, 598, 427, 444
1558223018179, 706534, 600, 430, 436
1558223018193, 706547, 605, 441, 433
1558223018206, 706560, 603, 436, 430
1558223018220, 706573, 601, 443, 434
1558223018232, 706586, 600, 445, 432
1558223018244, 706599, 602, 447, 431
1558223018260, 706612, 601, 452, 432
1558223018271, 706625, 599, 456, 432
1558223018285, 706638, 597, 459, 434
1558223018297, 706652, 598, 456, 432
1558223018311, 706664, 599, 450, 430
