Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1558223354133, 1042475, 510, 394, 529
1558223354146, 1042488, 510, 395, 529
1558223354158, 1042501, 511, 395, 529
1558223354172, 1042513, 511, 396, 529
1558223354184, 1042527, 511, 396, 529
1558223354197, 1042540, 511, 396, 529
1558223354212, 1042553, 511, 396, 529
1558223354224, 1042567, 511, 396, 529
1558223354237, 1042579, 511, 396, 529
1558223354250, 1042592, 510, 396, 530
1558223354264, 1042606, 510, 396, 529
1558223354277, 1042619, 510, 396, 530
1558223354290, 1042632, 511, 396, 530
1558223354303, 1042644, 511, 396, 530
1558223354316, 1042658, 511, 395, 529
1558223354330, 1042671, 511, 395, 530
1558223354342, 1042684, 510, 395, 530
1558223354356, 1042698, 511, 396, 529
1558223354369, 1042710, 511, 396, 529
1558223354382, 1042723, 511, 396, 529
1558223354395, 1042737, 511, 395, 529
1558223354409, 1042750, 511, 394, 529
1558223354421, 1042763, 511, 395, 529
1558223354434, 1042776, 511, 395, 530
1558223354448, 1042789, 510, 395, 530
1558223354461, 1042802, 510, 394, 529
1558223354473, 1042816, 510, 394, 529
1558223354487, 1042829, 510, 394, 529
1558223354499, 1042841, 510, 395, 529
1558223354513, 1042854, 511, 395, 528
1558223354526, 1042868, 512, 396, 528
1558223354538, 1042881, 512, 397, 528
1558223354552, 1042894, 512, 397, 529
1558223354566, 1042907, 512, 397, 529
1558223354578, 1042920, 511, 397, 529
1558223354591, 1042933, 511, 396, 529
1558223354605, 1042947, 510, 395, 529
1558223354617, 1042960, 510, 395, 529
1558223354630, 1042972, 510, 394, 529
1558223354644, 1042985, 510, 394, 529
1558223354657, 1042999, 511, 395, 529
1558223354670, 1043012, 512, 395, 528
1558223354683, 1043025, 512, 396, 528
1558223354696, 1043038, 512, 396, 528
1558223354710, 1043051, 512, 396, 528
1558223354722, 1043064, 512, 396, 528
1558223354736, 1043078, 511, 396, 528
1558223354749, 1043091, 511, 394, 528
1558223354763, 1043103, 511, 395, 528
1558223354774, 1043117, 511, 396, 529
1558223354788, 1043130, 511, 396, 529
1558223354801, 1043143, 511, 396, 528
1558223354814, 1043156, 512, 396, 529
1558223354827, 1043169, 511, 397, 529
1558223354840, 1043182, 511, 397, 529
1558223354854, 1043195, 511, 396, 529
1558223354867, 1043209, 511, 396, 529
1558223354880, 1043222, 511, 396, 529
1558223354893, 1043234, 510, 397, 529
1558223354905, 1043248, 510, 396, 529
1558223354920, 1043261, 511, 396, 529
1558223354933, 1043274, 511, 396, 528
1558223354945, 1043288, 511, 397, 528
1558223354958, 1043300, 511, 398, 529
1558223354972, 1043313, 510, 398, 530
1558223354985, 1043326, 509, 398, 530
1558223354998, 1043340, 508, 398, 530
1558223355010, 1043353, 508, 398, 530
1558223355023, 1043365, 507, 398, 531
1558223355037, 1043379, 506, 398, 532
1558223355050, 1043392, 506, 398, 533
1558223355063, 1043405, 505, 399, 533
1558223355076, 1043419, 505, 399, 534
1558223355090, 1043431, 504, 400, 536
1558223355103, 1043444, 502, 400, 537
1558223355117, 1043458, 500, 399, 539
1558223355128, 1043471, 498, 398, 540
1558223355142, 1043484, 497, 398, 543
1558223355154, 1043496, 495, 399, 543
1558223355168, 1043510, 494, 399, 544
1558223355181, 1043523, 493, 397, 544
1558223355194, 1043536, 490, 395, 544
1558223355207, 1043550, 488, 390, 542
1558223355221, 1043562, 488, 384, 541
1558223355234, 1043575, 491, 383, 539
1558223355246, 1043589, 494, 383, 538
1558223355259, 1043602, 497, 383, 536
1558223355273, 1043615, 500, 384, 534
1558223355286, 1043628, 502, 387, 532
1558223355299, 1043641, 505, 387, 531
1558223355313, 1043654, 505, 386, 529
1558223355325, 1043667, 505, 383, 529
1558223355338, 1043681, 503, 380, 529
1558223355351, 1043693, 502, 378, 530
1558223355365, 1043706, 502, 377, 528
1558223355377, 1043720, 504, 375, 526
1558223355391, 1043733, 507, 375, 525
1558223355404, 1043746, 508, 375, 524
1558223355418, 1043759, 509, 375, 524
1558223355430, 1043772, 510, 375, 524
1558223355443, 1043785, 511, 376, 525
1558223355456, 1043799, 513, 379, 526
1558223355470, 1043812, 514, 381, 526
1558223355483, 1043824, 515, 382, 525
1558223355495, 1043837, 516, 382, 525
1558223355509, 1043851, 517, 382, 525
1558223355524, 1043864, 518, 382, 525
1558223355535, 1043877, 520, 384, 525
1558223355548, 1043890, 522, 385, 523
1558223355562, 1043903, 524, 385, 522
1558223355575, 1043916, 526, 385, 522
1558223355588, 1043930, 528, 387, 523
1558223355601, 1043943, 530, 388, 523
1558223355614, 1043955, 533, 389, 523
1558223355626, 1043969, 534, 389, 521
1558223355640, 1043982, 537, 388, 520
1558223355653, 1043995, 540, 387, 520
1558223355666, 1044008, 542, 389, 520
1558223355679, 1044021, 544, 392, 520
1558223355692, 1044034, 546, 391, 520
1558223355707, 1044047, 547, 391, 522
1558223355718, 1044061, 548, 393, 523
1558223355732, 1044074, 550, 397, 524
1558223355747, 1044086, 552, 398, 522
1558223355758, 1044100, 555, 399, 521
1558223355771, 1044113, 558, 402, 519
1558223355784, 1044126, 561, 406, 518
1558223355798, 1044140, 564, 410, 518
1558223355811, 1044152, 564, 412, 518
