Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1558222895497, 583855, 526, 404, 552
1558222895510, 583868, 526, 404, 551
1558222895522, 583881, 525, 403, 552
1558222895536, 583894, 526, 401, 551
1558222895549, 583907, 526, 402, 550
1558222895562, 583920, 526, 403, 552
1558222895575, 583933, 525, 404, 553
1558222895588, 583946, 524, 404, 553
1558222895601, 583959, 524, 403, 552
1558222895613, 583972, 525, 403, 552
1558222895627, 583986, 525, 403, 552
1558222895640, 583998, 525, 403, 551
1558222895654, 584011, 524, 402, 552
1558222895667, 584025, 524, 402, 553
1558222895679, 584038, 525, 402, 552
1558222895693, 584051, 525, 402, 552
1558222895705, 584064, 524, 401, 553
1558222895720, 584077, 525, 401, 552
1558222895732, 584090, 525, 401, 551
1558222895744, 584103, 525, 401, 551
1558222895758, 584116, 525, 401, 551
1558222895771, 584129, 525, 401, 552
1558222895784, 584142, 524, 400, 553
1558222895797, 584156, 523, 398, 553
1558222895809, 584168, 522, 398, 553
1558222895823, 584181, 522, 398, 552
1558222895837, 584195, 524, 399, 551
1558222895849, 584208, 525, 401, 549
1558222895862, 584220, 527, 404, 549
1558222895876, 584233, 528, 406, 550
1558222895889, 584247, 528, 406, 550
1558222895901, 584260, 529, 406, 550
1558222895914, 584273, 528, 405, 550
1558222895927, 584286, 527, 405, 552
1558222895942, 584299, 526, 406, 553
1558222895954, 584312, 525, 405, 554
1558222895967, 584326, 525, 402, 554
1558222895980, 584338, 525, 401, 554
1558222895994, 584351, 525, 401, 554
1558222896006, 584365, 524, 402, 555
1558222896019, 584378, 525, 400, 553
1558222896032, 584390, 525, 400, 554
1558222896045, 584403, 525, 400, 554
1558222896059, 584417, 525, 401, 553
1558222896071, 584430, 525, 401, 552
1558222896084, 584442, 525, 399, 549
1558222896097, 584456, 526, 397, 547
1558222896110, 584469, 527, 392, 545
1558222896123, 584482, 528, 390, 542
1558222896137, 584495, 531, 390, 539
1558222896150, 584508, 534, 391, 535
1558222896163, 584521, 537, 391, 531
1558222896176, 584535, 540, 390, 526
1558222896188, 584548, 541, 390, 522
1558222896204, 584560, 545, 388, 517
1558222896215, 584573, 545, 385, 513
1558222896228, 584587, 544, 384, 511
1558222896242, 584600, 543, 384, 512
1558222896254, 584612, 543, 387, 513
1558222896268, 584626, 540, 388, 516
1558222896281, 584639, 539, 387, 516
1558222896294, 584652, 539, 385, 512
1558222896307, 584665, 541, 386, 507
1558222896319, 584678, 542, 388, 504
1558222896333, 584691, 541, 392, 503
1558222896346, 584705, 539, 393, 503
1558222896359, 584718, 538, 393, 502
1558222896373, 584730, 537, 391, 499
1558222896385, 584743, 535, 392, 497
1558222896399, 584757, 531, 390, 497
1558222896411, 584770, 527, 387, 496
1558222896424, 584782, 525, 385, 494
1558222896437, 584796, 522, 385, 496
1558222896450, 584809, 520, 384, 497
1558222896463, 584822, 519, 384, 496
1558222896476, 584835, 520, 386, 493
1558222896490, 584848, 518, 388, 494
1558222896503, 584861, 516, 390, 496
1558222896516, 584875, 513, 387, 495
1558222896528, 584887, 512, 384, 493
1558222896541, 584900, 510, 383, 492
1558222896556, 584913, 507, 384, 495
1558222896568, 584927, 505, 387, 498
1558222896582, 584940, 502, 392, 500
1558222896594, 584952, 501, 394, 499
1558222896608, 584966, 499, 396, 499
1558222896621, 584979, 493, 395, 503
1558222896633, 584992, 491, 388, 505
1558222896647, 585005, 492, 382, 506
1558222896659, 585018, 495, 381, 504
1558222896673, 585031, 499, 385, 502
1558222896687, 585044, 499, 391, 500
1558222896699, 585057, 499, 393, 501
1558222896712, 585070, 497, 393, 502
1558222896726, 585083, 492, 394, 504
1558222896738, 585097, 488, 395, 512
1558222896751, 585109, 483, 397, 522
1558222896764, 585122, 481, 396, 529
1558222896777, 585136, 478, 394, 533
1558222896791, 585149, 478, 393, 535
1558222896803, 585162, 478, 392, 536
1558222896817, 585175, 482, 392, 538
1558222896830, 585188, 488, 390, 537
1558222896843, 585201, 492, 390, 532
1558222896856, 585214, 498, 392, 526
1558222896870, 585227, 501, 396, 523
1558222896882, 585240, 504, 401, 525
1558222896895, 585253, 506, 403, 528
1558222896908, 585267, 507, 401, 529
1558222896922, 585279, 506, 396, 528
1558222896933, 585292, 506, 393, 527
1558222896947, 585306, 505, 391, 527
1558222896961, 585319, 509, 389, 529
1558222896975, 585331, 511, 391, 529
1558222896986, 585345, 512, 395, 530
1558222897000, 585358, 512, 399, 528
1558222897012, 585371, 512, 402, 527
1558222897026, 585384, 512, 404, 525
1558222897039, 585397, 513, 402, 525
1558222897051, 585410, 513, 398, 524
1558222897065, 585423, 517, 393, 523
1558222897078, 585437, 522, 389, 518
1558222897091, 585449, 523, 390, 514
1558222897105, 585462, 522, 394, 513
1558222897117, 585476, 519, 398, 515
1558222897130, 585489, 514, 398, 521
1558222897144, 585501, 510, 398, 525
1558222897156, 585515, 510, 399, 530
1558222897169, 585528, 512, 398, 530
1558222897182, 585541, 518, 394, 523
1558222897195, 585553, 525, 390, 515
1558222897209, 585567, 526, 390, 514
1558222897223, 585580, 522, 394, 519
1558222897235, 585593, 516, 393, 528
1558222897249, 585607, 513, 389, 535
1558222897262, 585619, 512, 386, 538
1558222897274, 585632, 511, 384, 537
1558222897287, 585646, 510, 380, 538
1558222897300, 585659, 506, 379, 540
1558222897313, 585671, 506, 379, 543
1558222897326, 585684, 508, 379, 539
1558222897339, 585698, 511, 379, 532
1558222897353, 585711, 512, 383, 530
1558222897366, 585723, 515, 385, 531
1558222897378, 585737, 518, 384, 529
1558222897392, 585750, 517, 383, 530
1558222897405, 585763, 515, 385, 536
1558222897418, 585776, 512, 387, 540
1558222897431, 585789, 508, 387, 542
1558222897444, 585802, 506, 384, 543
1558222897458, 585816, 502, 381, 547
1558222897470, 585829, 497, 378, 554
1558222897483, 585841, 494, 375, 562
1558222897495, 585854, 490, 375, 570
1558222897510, 585868, 487, 376, 573
1558222897522, 585881, 484, 374, 571
1558222897536, 585893, 481, 368, 568
1558222897548, 585907, 479, 360, 563
1558222897562, 585920, 476, 357, 565
1558222897574, 585933, 473, 359, 572
1558222897588, 585946, 466, 360, 575
1558222897601, 585959, 458, 356, 574
1558222897614, 585972, 453, 355, 568
1558222897627, 585986, 446, 353, 562
1558222897642, 585998, 437, 347, 559
1558222897654, 586011, 427, 331, 551
1558222897667, 586024, 417, 318, 544
1558222897679, 586038, 409, 313, 541
