Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1558223037368, 725722, 578, 414, 513
1558223037382, 725735, 578, 414, 512
1558223037394, 725747, 578, 415, 511
1558223037408, 725761, 578, 414, 511
1558223037421, 725774, 578, 414, 512
1558223037433, 725787, 577, 414, 511
1558223037446, 725799, 577, 413, 511
1558223037460, 725813, 577, 414, 512
1558223037473, 725826, 577, 414, 512
1558223037487, 725839, 577, 415, 512
1558223037499, 725852, 578, 415, 512
1558223037511, 725865, 578, 416, 512
1558223037525, 725878, 577, 415, 512
1558223037538, 725892, 576, 414, 513
1558223037551, 725904, 576, 413, 514
1558223037564, 725917, 575, 412, 515
1558223037576, 725931, 575, 413, 514
1558223037591, 725944, 575, 412, 513
1558223037603, 725957, 576, 413, 513
1558223037616, 725969, 576, 413, 512
1558223037630, 725983, 577, 415, 512
1558223037642, 725996, 578, 416, 510
1558223037656, 726009, 578, 416, 511
1558223037670, 726022, 577, 416, 511
1558223037681, 726035, 577, 415, 511
1558223037694, 726048, 578, 415, 510
1558223037708, 726062, 578, 415, 510
1558223037722, 726074, 578, 415, 510
1558223037734, 726087, 579, 415, 511
1558223037747, 726100, 578, 415, 512
1558223037760, 726114, 577, 416, 514
1558223037775, 726126, 577, 416, 514
1558223037787, 726139, 577, 417, 514
1558223037799, 726153, 577, 416, 514
1558223037813, 726166, 576, 414, 514
1558223037827, 726179, 576, 412, 513
1558223037839, 726192, 576, 412, 513
1558223037852, 726205, 576, 410, 512
1558223037865, 726218, 576, 410, 511
1558223037878, 726232, 577, 411, 511
1558223037891, 726244, 576, 412, 512
1558223037905, 726257, 577, 413, 512
1558223037917, 726270, 576, 414, 513
1558223037930, 726284, 577, 415, 513
1558223037943, 726296, 577, 416, 513
1558223037958, 726309, 576, 416, 513
1558223037969, 726323, 577, 415, 512
1558223037982, 726336, 577, 414, 512
1558223037996, 726348, 577, 412, 511
1558223038009, 726362, 577, 411, 511
1558223038022, 726375, 577, 412, 511
1558223038034, 726388, 578, 412, 509
1558223038047, 726401, 578, 412, 509
1558223038062, 726414, 578, 415, 510
1558223038074, 726427, 577, 416, 512
1558223038087, 726440, 577, 416, 512
1558223038099, 726454, 576, 416, 512
1558223038114, 726466, 576, 416, 512
1558223038126, 726479, 576, 416, 512
1558223038138, 726493, 577, 416, 511
1558223038152, 726506, 576, 415, 512
1558223038166, 726518, 576, 414, 512
1558223038178, 726532, 576, 414, 512
1558223038191, 726545, 576, 414, 513
1558223038206, 726558, 575, 414, 514
1558223038218, 726571, 576, 413, 513
1558223038232, 726584, 576, 414, 513
1558223038244, 726597, 576, 415, 513
1558223038257, 726610, 576, 415, 513
1558223038270, 726623, 576, 415, 513
1558223038283, 726636, 576, 416, 513
1558223038296, 726649, 576, 417, 514
1558223038309, 726663, 575, 417, 514
1558223038322, 726676, 575, 417, 514
1558223038336, 726688, 575, 416, 514
1558223038348, 726702, 574, 417, 514
1558223038362, 726715, 574, 417, 515
1558223038374, 726728, 574, 418, 516
1558223038388, 726740, 573, 418, 516
1558223038400, 726754, 573, 419, 517
1558223038414, 726767, 573, 420, 518
1558223038427, 726780, 573, 422, 520
1558223038440, 726793, 572, 424, 521
1558223038452, 726806, 572, 425, 523
1558223038466, 726819, 571, 426, 527
1558223038478, 726833, 570, 428, 529
1558223038492, 726845, 569, 427, 531
1558223038505, 726858, 569, 425, 534
1558223038518, 726872, 568, 422, 539
1558223038531, 726885, 565, 418, 544
1558223038545, 726897, 564, 413, 546
1558223038557, 726910, 564, 411, 545
1558223038571, 726924, 566, 403, 542
1558223038584, 726937, 570, 395, 537
1558223038597, 726950, 573, 388, 536
1558223038609, 726963, 572, 384, 537
1558223038623, 726976, 567, 379, 538
1558223038636, 726989, 561, 377, 536
1558223038650, 727003, 561, 375, 531
1558223038662, 727015, 560, 372, 527
1558223038675, 727028, 562, 367, 520
1558223038689, 727042, 566, 356, 507
1558223038701, 727055, 571, 348, 496
1558223038715, 727067, 575, 347, 485
1558223038727, 727080, 577, 352, 482
1558223038740, 727094, 574, 353, 475
1558223038753, 727107, 575, 357, 471
1558223038766, 727119, 574, 360, 466
1558223038780, 727133, 569, 363, 457
1558223038793, 727146, 566, 364, 444
1558223038805, 727159, 571, 364, 424
1558223038820, 727173, 582, 369, 405
1558223038831, 727185, 589, 383, 389
1558223038844, 727198, 596, 398, 386
1558223038857, 727212, 590, 409, 394
1558223038871, 727225, 577, 413, 408
1558223038885, 727237, 561, 414, 415
1558223038898, 727250, 554, 416, 416
1558223038910, 727264, 552, 424, 413
1558223038924, 727277, 552, 436, 413
1558223038938, 727289, 552, 445, 412
1558223038950, 727303, 550, 453, 409
1558223038962, 727316, 550, 460, 410
1558223038977, 727329, 546, 462, 411
1558223038989, 727342, 543, 463, 409
1558223039002, 727355, 547, 467, 411
1558223039015, 727368, 544, 475, 415
1558223039029, 727382, 543, 477, 419
1558223039041, 727395, 546, 478, 424
1558223039053, 727407, 543, 478, 426
1558223039067, 727420, 545, 478, 430
1558223039080, 727434, 549, 480, 432
1558223039093, 727447, 550, 485, 435
1558223039106, 727459, 555, 486, 437
1558223039120, 727473, 558, 486, 444
1558223039133, 727486, 558, 485, 452
1558223039145, 727499, 559, 480, 457
1558223039159, 727512, 558, 472, 457
1558223039172, 727525, 559, 466, 453
1558223039186, 727538, 564, 463, 447
1558223039198, 727552, 569, 470, 445
1558223039211, 727564, 571, 475, 450
1558223039226, 727577, 572, 479, 458
1558223039237, 727590, 572, 481, 465
1558223039250, 727604, 570, 481, 469
1558223039264, 727616, 567, 484, 470
1558223039277, 727629, 570, 492, 474
1558223039289, 727643, 573, 494, 474
1558223039303, 727656, 574, 490, 477
1558223039315, 727669, 574, 490, 480
1558223039329, 727682, 575, 493, 484
1558223039342, 727695, 576, 493, 485
1558223039355, 727708, 576, 492, 488
1558223039369, 727721, 577, 492, 489
1558223039381, 727734, 577, 495, 489
1558223039394, 727747, 577, 492, 489
1558223039407, 727760, 578, 490, 490
1558223039421, 727774, 578, 486, 492
1558223039434, 727786, 577, 491, 494
1558223039447, 727799, 576, 499, 495
1558223039460, 727813, 576, 506, 493
1558223039472, 727826, 575, 508, 492
1558223039486, 727838, 575, 511, 496
1558223039498, 727852, 571, 513, 500
1558223039512, 727865, 566, 513, 506
1558223039524, 727878, 565, 515, 518
1558223039538, 727891, 565, 513, 530
1558223039551, 727904, 563, 517, 540
1558223039564, 727917, 563, 520, 546
1558223039577, 727930, 561, 524, 549
1558223039590, 727944, 558, 527, 551
1558223039604, 727956, 556, 524, 555
1558223039616, 727969, 555, 512, 564
1558223039628, 727983, 554, 501, 577
1558223039642, 727996, 550, 499, 592
1558223039656, 728008, 541, 502, 602
1558223039669, 728022, 530, 497, 600
1558223039682, 728035, 530, 483, 590
1558223039695, 728048, 536, 467, 576
1558223039708, 728060, 546, 453, 571
1558223039721, 728074, 547, 444, 574
1558223039734, 728087, 538, 440, 587
1558223039748, 728100, 528, 436, 595
