Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1558223221734, 910081, 572, 434, 459
1558223221748, 910094, 571, 434, 459
1558223221760, 910107, 571, 433, 460
1558223221775, 910119, 570, 434, 462
1558223221786, 910133, 570, 434, 462
1558223221799, 910146, 570, 433, 462
1558223221812, 910159, 570, 434, 462
1558223221826, 910172, 571, 434, 461
1558223221839, 910185, 572, 434, 461
1558223221851, 910198, 571, 434, 462
1558223221865, 910212, 570, 434, 462
1558223221880, 910224, 570, 434, 463
1558223221891, 910237, 570, 434, 462
1558223221903, 910251, 571, 434, 462
1558223221917, 910264, 571, 435, 462
1558223221930, 910277, 570, 436, 462
1558223221943, 910289, 571, 436, 463
1558223221957, 910303, 571, 436, 462
1558223221968, 910316, 571, 438, 463
1558223221982, 910329, 571, 439, 463
1558223221995, 910342, 571, 438, 462
1558223222008, 910355, 571, 437, 461
1558223222021, 910368, 571, 437, 461
1558223222034, 910382, 571, 437, 461
1558223222047, 910394, 571, 437, 461
1558223222060, 910407, 571, 438, 461
1558223222074, 910420, 571, 438, 460
1558223222087, 910434, 571, 435, 458
1558223222100, 910446, 571, 434, 458
1558223222112, 910459, 570, 433, 458
1558223222126, 910473, 570, 434, 458
1558223222138, 910486, 570, 434, 458
1558223222152, 910498, 569, 434, 458
1558223222166, 910512, 569, 432, 458
1558223222178, 910525, 569, 433, 458
1558223222192, 910538, 570, 434, 458
1558223222204, 910552, 571, 434, 457
1558223222217, 910564, 571, 434, 458
1558223222231, 910577, 570, 433, 459
1558223222243, 910590, 569, 433, 460
1558223222257, 910604, 569, 434, 461
1558223222269, 910616, 569, 434, 462
1558223222283, 910629, 569, 433, 462
1558223222296, 910643, 569, 434, 462
1558223222308, 910656, 569, 435, 461
1558223222322, 910668, 570, 436, 460
1558223222335, 910682, 571, 437, 460
1558223222349, 910695, 570, 438, 460
1558223222362, 910708, 570, 440, 460
1558223222374, 910721, 570, 440, 458
1558223222388, 910734, 572, 441, 453
1558223222400, 910747, 575, 441, 447
