Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1558223267155, 955500, 606, 438, 510
1558223267168, 955513, 605, 438, 510
1558223267181, 955527, 605, 438, 510
1558223267194, 955539, 605, 439, 510
1558223267207, 955552, 604, 439, 511
1558223267220, 955566, 604, 439, 511
1558223267234, 955579, 605, 439, 510
1558223267246, 955591, 606, 440, 509
1558223267259, 955604, 606, 441, 510
1558223267273, 955618, 606, 441, 510
1558223267287, 955631, 605, 441, 511
1558223267299, 955644, 604, 442, 511
1558223267311, 955657, 604, 441, 511
1558223267325, 955670, 604, 441, 511
1558223267338, 955683, 604, 440, 510
1558223267351, 955697, 604, 439, 509
1558223267364, 955709, 605, 439, 509
1558223267377, 955722, 605, 440, 509
1558223267390, 955736, 605, 441, 510
1558223267403, 955749, 605, 442, 510
1558223267416, 955761, 605, 443, 511
1558223267429, 955774, 605, 443, 512
1558223267443, 955788, 604, 442, 512
1558223267455, 955801, 604, 441, 511
1558223267469, 955813, 604, 442, 511
1558223267481, 955827, 604, 441, 510
1558223267494, 955840, 605, 441, 510
1558223267508, 955853, 605, 442, 510
1558223267521, 955867, 605, 443, 510
1558223267534, 955879, 605, 443, 511
1558223267547, 955892, 604, 442, 511
1558223267560, 955906, 604, 442, 511
1558223267573, 955919, 604, 442, 511
1558223267587, 955931, 604, 441, 510
1558223267600, 955944, 604, 440, 509
1558223267612, 955958, 605, 440, 509
1558223267626, 955971, 605, 439, 509
1558223267640, 955983, 605, 439, 509
1558223267652, 955997, 605, 439, 510
1558223267664, 956010, 604, 439, 511
1558223267677, 956023, 603, 438, 511
1558223267691, 956036, 603, 438, 511
1558223267704, 956049, 603, 438, 511
1558223267716, 956062, 604, 437, 511
1558223267731, 956076, 603, 437, 510
1558223267743, 956089, 604, 437, 510
1558223267757, 956101, 604, 437, 509
1558223267769, 956114, 605, 437, 508
1558223267782, 956128, 605, 436, 508
1558223267795, 956141, 606, 437, 508
1558223267810, 956153, 605, 438, 509
1558223267822, 956167, 605, 439, 509
1558223267835, 956180, 604, 439, 510
1558223267847, 956193, 604, 441, 511
1558223267862, 956206, 604, 441, 512
1558223267873, 956219, 603, 441, 512
1558223267887, 956232, 603, 441, 512
1558223267899, 956246, 602, 441, 512
1558223267913, 956258, 603, 442, 512
1558223267926, 956271, 604, 442, 512
1558223267939, 956284, 604, 443, 513
1558223267952, 956298, 604, 442, 514
1558223267966, 956311, 603, 442, 515
1558223267978, 956323, 604, 441, 515
1558223267992, 956337, 604, 443, 516
1558223268005, 956350, 604, 442, 516
1558223268018, 956363, 605, 443, 518
1558223268030, 956376, 605, 443, 518
1558223268044, 956389, 605, 440, 521
1558223268057, 956402, 604, 437, 523
1558223268069, 956416, 605, 435, 525
1558223268083, 956428, 604, 433, 526
1558223268096, 956441, 604, 431, 529
1558223268109, 956454, 603, 429, 531
1558223268123, 956468, 600, 425, 534
1558223268135, 956480, 599, 426, 538
1558223268149, 956493, 596, 426, 542
1558223268161, 956507, 595, 423, 545
1558223268175, 956520, 593, 420, 547
1558223268188, 956533, 590, 417, 549
1558223268201, 956546, 587, 412, 548
1558223268214, 956559, 581, 408, 550
1558223268227, 956572, 576, 404, 551
1558223268240, 956585, 570, 403, 553
1558223268253, 956598, 566, 402, 554
1558223268266, 956611, 563, 404, 555
1558223268280, 956624, 559, 406, 556
1558223268292, 956638, 552, 406, 557
1558223268306, 956650, 545, 405, 560
1558223268319, 956663, 539, 405, 561
1558223268332, 956677, 533, 407, 562
1558223268344, 956690, 529, 409, 561
1558223268358, 956703, 527, 414, 560
1558223268371, 956716, 524, 422, 556
1558223268384, 956729, 524, 431, 551
1558223268396, 956742, 522, 436, 545
1558223268409, 956755, 521, 439, 538
