Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1558223320076, 1008418, 514, 398, 544
1558223320087, 1008432, 514, 398, 544
1558223320101, 1008444, 514, 399, 544
1558223320114, 1008457, 512, 399, 546
1558223320127, 1008471, 510, 400, 547
1558223320141, 1008484, 508, 398, 548
1558223320153, 1008497, 506, 397, 550
1558223320167, 1008509, 505, 399, 551
1558223320180, 1008523, 505, 400, 552
1558223320193, 1008536, 505, 401, 552
1558223320206, 1008549, 505, 403, 552
1558223320219, 1008563, 506, 404, 552
1558223320232, 1008575, 506, 405, 552
1558223320245, 1008588, 506, 405, 552
1558223320259, 1008602, 507, 405, 551
1558223320271, 1008615, 507, 405, 551
1558223320285, 1008628, 508, 404, 550
1558223320297, 1008641, 509, 403, 549
1558223320311, 1008654, 509, 402, 548
1558223320324, 1008667, 510, 401, 547
1558223320336, 1008680, 511, 400, 547
1558223320350, 1008694, 512, 396, 546
1558223320363, 1008706, 513, 388, 545
1558223320376, 1008719, 512, 377, 545
1558223320390, 1008733, 511, 364, 547
1558223320403, 1008746, 512, 352, 547
1558223320416, 1008759, 509, 335, 545
1558223320429, 1008772, 509, 320, 549
1558223320441, 1008785, 506, 309, 551
1558223320455, 1008798, 505, 308, 550
1558223320467, 1008812, 508, 326, 547
1558223320481, 1008825, 514, 356, 545
1558223320495, 1008837, 530, 406, 546
1558223320508, 1008850, 543, 465, 543
1558223320520, 1008864, 542, 536, 531
1558223320534, 1008877, 548, 607, 513
1558223320547, 1008890, 579, 626, 511
1558223320559, 1008903, 592, 623, 519
1558223320573, 1008916, 572, 615, 533
1558223320585, 1008929, 541, 578, 542
1558223320599, 1008943, 498, 491, 535
1558223320613, 1008956, 439, 345, 511
1558223320625, 1008968, 405, 142, 486
1558223320638, 1008982, 408, 12, 498
1558223320652, 1008995, 395, 55, 536
1558223320665, 1009008, 421, 195, 563
1558223320678, 1009021, 463, 311, 566
1558223320691, 1009034, 501, 402, 556
1558223320704, 1009047, 535, 496, 551
1558223320717, 1009060, 560, 599, 543
1558223320731, 1009074, 593, 675, 535
1558223320743, 1009087, 615, 714, 532
1558223320757, 1009099, 610, 702, 540
1558223320769, 1009113, 585, 633, 542
1558223320782, 1009126, 527, 528, 531
1558223320796, 1009139, 448, 297, 467
1558223320809, 1009153, 439, 38, 414
1558223320821, 1009165, 458, 5, 459
1558223320835, 1009178, 398, 6, 543
1558223320848, 1009191, 396, 160, 592
1558223320861, 1009205, 446, 308, 585
1558223320874, 1009217, 486, 446, 562
1558223320887, 1009230, 520, 597, 542
1558223320901, 1009244, 573, 758, 506
1558223320914, 1009257, 637, 866, 498
1558223320926, 1009270, 641, 812, 502
1558223320940, 1009283, 578, 690, 518
1558223320952, 1009296, 486, 546, 507
1558223320967, 1009309, 384, 268, 445
1558223320979, 1009323, 388, 23, 428
1558223320992, 1009336, 400, 5, 539
1558223321004, 1009348, 336, 33, 622
1558223321019, 1009361, 392, 226, 643
1558223321031, 1009375, 482, 417, 606
1558223321044, 1009388, 552, 612, 557
1558223321057, 1009400, 626, 769, 491
1558223321071, 1009414, 661, 769, 470
1558223321084, 1009427, 620, 655, 474
1558223321097, 1009440, 549, 566, 485
1558223321110, 1009454, 471, 390, 454
1558223321123, 1009466, 435, 187, 435
1558223321136, 1009479, 443, 67, 497
1558223321150, 1009492, 424, 112, 566
1558223321162, 1009506, 445, 257, 595
1558223321176, 1009519, 494, 399, 577
1558223321188, 1009531, 538, 527, 533
1558223321202, 1009545, 586, 609, 492
1558223321215, 1009558, 611, 610, 469
1558223321227, 1009571, 586, 564, 468
1558223321241, 1009585, 538, 506, 483
1558223321254, 1009597, 488, 394, 489
1558223321268, 1009610, 461, 269, 512
1558223321280, 1009624, 449, 166, 550
1558223321294, 1009637, 435, 131, 582
1558223321306, 1009650, 448, 201, 602
1558223321321, 1009662, 482, 328, 597
1558223321334, 1009676, 509, 458, 574
1558223321346, 1009689, 552, 565, 558
1558223321359, 1009702, 592, 641, 529
1558223321372, 1009716, 595, 633, 515
1558223321386, 1009729, 548, 523, 512
1558223321399, 1009741, 494, 373, 497
1558223321411, 1009755, 459, 238, 495
1558223321424, 1009768, 447, 152, 528
1558223321437, 1009781, 431, 170, 570
1558223321452, 1009795, 439, 264, 592
1558223321464, 1009807, 477, 369, 595
1558223321476, 1009820, 506, 480, 576
1558223321490, 1009833, 552, 608, 547
1558223321503, 1009847, 615, 718, 510
1558223321517, 1009860, 619, 681, 480
1558223321530, 1009872, 564, 513, 477
1558223321542, 1009886, 493, 348, 450
1558223321556, 1009899, 459, 182, 443
1558223321570, 1009912, 465, 80, 507
1558223321581, 1009926, 421, 111, 578
1558223321595, 1009938, 401, 237, 605
1558223321607, 1009951, 454, 349, 601
1558223321622, 1009965, 495, 478, 578
1558223321635, 1009978, 541, 630, 535
1558223321648, 1009991, 615, 751, 495
1558223321660, 1010003, 618, 678, 473
1558223321673, 1010017, 557, 524, 480
1558223321688, 1010030, 480, 395, 468
1558223321700, 1010043, 444, 258, 472
1558223321712, 1010057, 456, 143, 506
1558223321726, 1010069, 443, 145, 560
1558223321739, 1010082, 419, 236, 590
1558223321753, 1010096, 456, 329, 599
1558223321765, 1010109, 497, 427, 580
1558223321779, 1010122, 530, 542, 540
1558223321792, 1010135, 592, 659, 498
1558223321806, 1010148, 623, 687, 475
1558223321818, 1010161, 566, 539, 467
1558223321831, 1010174, 504, 351, 447
1558223321844, 1010188, 474, 209, 452
1558223321857, 1010200, 458, 106, 499
1558223321870, 1010213, 415, 99, 572
1558223321883, 1010227, 389, 185, 616
1558223321897, 1010240, 443, 292, 623
1558223321910, 1010253, 494, 430, 588
1558223321924, 1010266, 550, 600, 527
1558223321937, 1010279, 641, 789, 462
1558223321949, 1010292, 679, 806, 430
1558223321961, 1010306, 616, 641, 428
1558223321975, 1010319, 510, 459, 438
1558223321988, 1010331, 448, 300, 457
1558223322002, 1010344, 411, 158, 523
1558223322015, 1010358, 368, 74, 597
1558223322028, 1010371, 340, 108, 642
1558223322041, 1010384, 393, 239, 634
1558223322053, 1010397, 466, 373, 609
1558223322067, 1010410, 514, 521, 573
1558223322079, 1010423, 562, 670, 542
1558223322093, 1010437, 583, 739, 540
1558223322107, 1010450, 543, 664, 550
1558223322119, 1010462, 519, 556, 540
1558223322133, 1010476, 508, 437, 509
1558223322145, 1010489, 519, 296, 461
1558223322159, 1010502, 556, 160, 406
1558223322172, 1010515, 576, 139, 419
1558223322185, 1010528, 544, 227, 479
1558223322198, 1010541, 510, 329, 544
1558223322210, 1010554, 483, 420, 602
1558223322225, 1010568, 457, 501, 639
1558223322238, 1010581, 451, 558, 662
1558223322250, 1010593, 464, 568, 640
1558223322264, 1010607, 467, 515, 574
1558223322277, 1010620, 491, 402, 468
1558223322290, 1010633, 574, 254, 359
1558223322302, 1010647, 648, 172, 337
1558223322316, 1010659, 616, 223, 397
1558223322329, 1010672, 558, 317, 478
1558223322342, 1010685, 512, 390, 553
1558223322355, 1010699, 468, 473, 619
1558223322368, 1010712, 422, 557, 681
1558223322381, 1010724, 401, 613, 723
1558223322395, 1010738, 409, 611, 709
1558223322409, 1010751, 430, 556, 631
1558223322421, 1010764, 439, 470, 528
1558223322434, 1010778, 492, 288, 382
1558223322447, 1010790, 635, 137, 306
1558223322460, 1010803, 665, 173, 365
1558223322475, 1010817, 581, 284, 439
1558223322486, 1010830, 529, 361, 512
1558223322500, 1010843, 492, 437, 568
1558223322513, 1010855, 461, 529, 631
1558223322526, 1010869, 444, 598, 684
1558223322540, 1010882, 451, 615, 680
1558223322552, 1010895, 451, 541, 605
1558223322565, 1010909, 444, 446, 541
1558223322579, 1010921, 443, 274, 436
1558223322591, 1010934, 562, 109, 365
1558223322604, 1010948, 594, 133, 428
1558223322617, 1010961, 517, 242, 478
1558223322631, 1010974, 505, 334, 530
1558223322644, 1010987, 506, 435, 546
1558223322659, 1011000, 516, 564, 582
1558223322670, 1011013, 506, 648, 620
1558223322683, 1011026, 505, 647, 635
1558223322696, 1011040, 496, 588, 605
