Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1558222926148, 614505, 578, 427, 564
1558222926161, 614518, 577, 427, 563
1558222926175, 614532, 577, 427, 563
1558222926187, 614544, 577, 426, 562
1558222926200, 614557, 578, 428, 561
1558222926213, 614571, 579, 430, 560
1558222926226, 614584, 579, 431, 559
1558222926240, 614597, 580, 431, 559
1558222926253, 614609, 580, 430, 559
1558222926266, 614623, 579, 430, 559
1558222926278, 614636, 579, 430, 560
1558222926292, 614649, 580, 431, 560
1558222926304, 614662, 581, 433, 561
1558222926317, 614675, 580, 433, 561
1558222926331, 614688, 580, 430, 561
1558222926344, 614702, 581, 428, 560
1558222926357, 614714, 581, 429, 562
1558222926371, 614727, 581, 430, 563
1558222926383, 614740, 581, 430, 563
1558222926396, 614754, 581, 429, 564
1558222926410, 614766, 581, 429, 565
1558222926425, 614779, 581, 430, 566
1558222926436, 614793, 583, 430, 566
1558222926449, 614806, 583, 430, 566
1558222926462, 614819, 584, 429, 566
1558222926475, 614832, 584, 428, 566
1558222926489, 614845, 585, 428, 566
1558222926501, 614858, 585, 428, 567
1558222926514, 614872, 585, 428, 567
1558222926527, 614884, 584, 427, 567
1558222926540, 614897, 584, 427, 567
1558222926553, 614910, 584, 426, 566
1558222926566, 614924, 584, 426, 565
1558222926579, 614936, 584, 428, 565
1558222926593, 614949, 584, 431, 564
1558222926606, 614963, 584, 433, 562
1558222926620, 614976, 585, 435, 560
1558222926633, 614988, 584, 436, 558
1558222926644, 615002, 585, 436, 556
1558222926658, 615015, 585, 439, 554
1558222926671, 615028, 585, 443, 553
1558222926683, 615042, 585, 446, 552
1558222926697, 615054, 586, 449, 549
1558222926710, 615067, 586, 452, 548
1558222926723, 615080, 586, 453, 545
1558222926736, 615094, 587, 451, 542
1558222926750, 615106, 587, 450, 540
1558222926762, 615119, 587, 451, 542
1558222926777, 615133, 585, 452, 544
1558222926789, 615146, 584, 453, 545
1558222926802, 615158, 583, 455, 545
1558222926814, 615172, 583, 456, 542
1558222926828, 615185, 583, 453, 537
1558222926841, 615198, 581, 450, 535
1558222926853, 615211, 579, 450, 534
1558222926867, 615224, 575, 451, 538
1558222926880, 615237, 570, 453, 541
1558222926894, 615250, 566, 456, 543
1558222926906, 615264, 562, 458, 542
1558222926921, 615276, 559, 457, 538
1558222926932, 615289, 558, 451, 530
1558222926945, 615303, 556, 447, 528
1558222926958, 615316, 548, 448, 533
1558222926972, 615328, 538, 448, 541
1558222926984, 615342, 532, 448, 545
1558222926998, 615355, 526, 450, 545
1558222927011, 615368, 523, 440, 533
1558222927023, 615380, 525, 435, 527
1558222927037, 615394, 518, 430, 522
1558222927050, 615407, 510, 430, 528
1558222927062, 615420, 499, 428, 536
1558222927076, 615433, 490, 427, 539
1558222927089, 615446, 487, 428, 539
1558222927102, 615459, 483, 425, 533
1558222927115, 615473, 478, 416, 523
1558222927129, 615486, 474, 404, 514
1558222927143, 615498, 464, 401, 515
1558222927154, 615512, 451, 398, 523
1558222927168, 615525, 440, 396, 530
1558222927181, 615538, 430, 402, 531
1558222927195, 615550, 426, 408, 528
1558222927207, 615564, 420, 407, 516
1558222927220, 615577, 420, 406, 509
1558222927232, 615590, 416, 409, 505
1558222927247, 615603, 411, 403, 500
1558222927259, 615616, 408, 396, 496
1558222927272, 615629, 402, 392, 492
1558222927285, 615643, 398, 387, 486
1558222927298, 615655, 390, 387, 484
1558222927311, 615668, 384, 389, 484
1558222927325, 615682, 377, 388, 485
1558222927338, 615695, 373, 386, 489
1558222927351, 615708, 369, 385, 492
1558222927364, 615720, 369, 381, 490
1558222927377, 615734, 372, 383, 491
1558222927390, 615747, 376, 385, 490
1558222927403, 615760, 377, 389, 490
1558222927415, 615773, 378, 391, 490
1558222927430, 615786, 376, 392, 488
1558222927442, 615799, 377, 397, 489
1558222927455, 615813, 377, 399, 490
1558222927469, 615825, 377, 405, 489
1558222927481, 615838, 382, 413, 483
1558222927494, 615852, 389, 423, 472
1558222927509, 615865, 395, 433, 457
1558222927521, 615878, 402, 429, 444
1558222927533, 615890, 404, 428, 440
1558222927547, 615904, 403, 430, 441
1558222927559, 615917, 404, 442, 447
1558222927572, 615930, 406, 449, 449
1558222927586, 615943, 408, 454, 452
1558222927598, 615956, 412, 455, 453
1558222927612, 615969, 416, 452, 454
1558222927625, 615983, 419, 448, 454
1558222927639, 615995, 421, 459, 455
1558222927651, 616008, 428, 474, 457
1558222927664, 616022, 436, 482, 459
1558222927678, 616035, 443, 485, 455
1558222927691, 616047, 453, 484, 452
1558222927704, 616060, 458, 481, 449
1558222927716, 616074, 461, 483, 450
1558222927730, 616087, 464, 484, 455
1558222927743, 616099, 461, 478, 462
1558222927756, 616113, 457, 471, 467
1558222927768, 616126, 456, 469, 473
1558222927781, 616139, 457, 464, 478
1558222927795, 616153, 456, 466, 481
1558222927808, 616165, 452, 466, 486
1558222927821, 616178, 445, 465, 488
1558222927835, 616192, 439, 459, 492
1558222927847, 616205, 433, 458, 496
1558222927861, 616217, 427, 462, 497
1558222927873, 616230, 422, 468, 497
1558222927887, 616244, 418, 468, 499
1558222927899, 616257, 412, 467, 501
1558222927913, 616269, 406, 467, 501
1558222927926, 616283, 398, 466, 500
1558222927939, 616296, 389, 466, 497
1558222927952, 616309, 377, 459, 497
1558222927964, 616322, 367, 448, 497
1558222927977, 616335, 354, 438, 494
1558222927991, 616348, 341, 433, 489
1558222928004, 616361, 328, 426, 484
1558222928018, 616374, 313, 420, 479
1558222928030, 616387, 301, 413, 473
1558222928044, 616400, 290, 408, 459
1558222928056, 616414, 279, 401, 444
1558222928071, 616427, 269, 397, 437
1558222928083, 616439, 254, 387, 436
1558222928096, 616453, 243, 374, 432
1558222928109, 616466, 231, 361, 420
1558222928122, 616479, 223, 343, 407
1558222928135, 616492, 214, 324, 393
1558222928148, 616505, 209, 304, 379
1558222928161, 616518, 206, 288, 369
1558222928174, 616531, 208, 292, 374
1558222928188, 616544, 209, 314, 385
1558222928201, 616557, 216, 333, 394
1558222928213, 616570, 239, 345, 395
1558222928227, 616584, 265, 347, 401
1558222928239, 616596, 295, 333, 418
1558222928253, 616609, 329, 334, 450
