Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557207098738, 358311, 437, 530, 585
1557207098752, 358326, 437, 530, 585
1557207098765, 358340, 437, 531, 584
1557207098779, 358354, 436, 530, 583
1557207098793, 358367, 435, 529, 581
1557207098807, 358381, 435, 528, 582
1557207098820, 358395, 435, 529, 583
1557207098834, 358410, 435, 528, 582
1557207098848, 358422, 436, 528, 583
1557207098862, 358436, 436, 528, 583
1557207098875, 358451, 436, 528, 584
1557207098889, 358465, 436, 528, 584
1557207098903, 358477, 436, 528, 583
1557207098917, 358492, 435, 528, 583
1557207098931, 358506, 435, 527, 582
1557207098945, 358520, 435, 527, 581
1557207098959, 358533, 436, 527, 582
1557207098973, 358547, 435, 527, 580
1557207098986, 358561, 435, 529, 579
1557207099000, 358576, 435, 530, 580
1557207099013, 358588, 435, 531, 581
1557207099027, 358602, 435, 533, 584
1557207099041, 358617, 434, 535, 585
1557207099054, 358631, 434, 540, 585
1557207099068, 358643, 433, 545, 583
1557207099082, 358658, 433, 552, 585
1557207099096, 358672, 432, 563, 587
1557207099109, 358686, 428, 579, 590
1557207099123, 358699, 425, 602, 589
1557207099137, 358713, 423, 626, 587
1557207099151, 358727, 426, 649, 598
1557207099164, 358742, 427, 662, 611
1557207099178, 358754, 433, 648, 622
1557207099192, 358768, 442, 634, 643
1557207099206, 358782, 447, 632, 641
1557207099220, 358797, 453, 629, 636
1557207099233, 358809, 459, 620, 624
1557207099247, 358823, 468, 604, 614
1557207099261, 358838, 476, 581, 617
1557207099275, 358852, 482, 553, 623
1557207099289, 358864, 488, 527, 630
1557207099302, 358879, 493, 507, 631
1557207099316, 358893, 496, 492, 618
1557207099330, 358907, 502, 479, 604
1557207099344, 358920, 507, 464, 590
1557207099358, 358934, 512, 451, 578
1557207099371, 358948, 515, 438, 570
1557207099385, 358963, 513, 423, 563
1557207099399, 358975, 512, 411, 561
1557207099412, 358989, 510, 402, 556
1557207099426, 359004, 509, 395, 555
1557207099440, 359018, 510, 389, 552
1557207099454, 359030, 510, 383, 545
1557207099467, 359045, 511, 376, 541
1557207099481, 359059, 514, 373, 541
1557207099495, 359073, 517, 373, 539
1557207099509, 359086, 518, 377, 536
1557207099522, 359100, 520, 379, 534
1557207099536, 359114, 522, 380, 534
1557207099550, 359129, 524, 380, 533
1557207099564, 359141, 523, 381, 532
1557207099577, 359155, 522, 380, 527
1557207099591, 359170, 520, 379, 527
1557207099605, 359184, 517, 380, 524
1557207099619, 359196, 514, 382, 521
1557207099633, 359211, 511, 384, 517
1557207099646, 359225, 511, 384, 516
1557207099660, 359239, 510, 382, 514
1557207099674, 359251, 511, 376, 520
1557207099688, 359266, 514, 373, 525
1557207099701, 359280, 519, 371, 530
1557207099715, 359292, 525, 373, 534
1557207099729, 359307, 529, 373, 538
1557207099743, 359321, 536, 370, 541
1557207099756, 359335, 541, 358, 543
1557207099770, 359348, 544, 348, 541
1557207099784, 359362, 553, 341, 543
1557207099798, 359376, 562, 330, 546
1557207099812, 359391, 572, 316, 541
1557207099825, 359403, 578, 295, 535
1557207099839, 359417, 587, 277, 536
1557207099853, 359432, 602, 265, 545
1557207099867, 359446, 621, 260, 557
1557207099880, 359458, 627, 261, 565
1557207099894, 359473, 632, 271, 571
1557207099908, 359487, 643, 285, 585
1557207099922, 359501, 644, 291, 594
1557207099935, 359514, 645, 301, 597
1557207099949, 359528, 653, 331, 600
1557207099963, 359542, 678, 365, 596
1557207099977, 359557, 719, 402, 591
1557207099990, 359569, 770, 454, 571
1557207100004, 359583, 839, 517, 532
1557207100018, 359598, 943, 596, 513
1557207100032, 359612, 997, 730, 546
1557207100046, 359624, 1000, 976, 547
1557207100060, 359639, 755, 998, 386
1557207100073, 359653, 617, 921, 408
1557207100087, 359667, 606, 759, 456
1557207100101, 359680, 611, 694, 497
1557207100114, 359694, 593, 750, 515
1557207100128, 359708, 540, 810, 508
1557207100142, 359723, 488, 789, 503
1557207100156, 359735, 494, 702, 517
1557207100169, 359749, 515, 625, 530
1557207100183, 359763, 530, 601, 546
1557207100197, 359778, 513, 603, 539
1557207100211, 359790, 515, 636, 563
1557207100225, 359804, 500, 629, 546
1557207100238, 359819, 496, 612, 522
1557207100252, 359833, 495, 608, 521
1557207100266, 359845, 490, 600, 519
1557207100280, 359860, 483, 595, 511
1557207100293, 359874, 483, 595, 513
1557207100307, 359888, 488, 593, 518
1557207100321, 359901, 488, 587, 518
1557207100335, 359915, 479, 582, 516
1557207100348, 359929, 472, 583, 518
1557207100362, 359944, 478, 587, 525
1557207100376, 359956, 481, 594, 536
1557207100391, 359970, 480, 594, 540
1557207100403, 359985, 479, 595, 540
1557207100417, 359999, 485, 593, 540
1557207100431, 360011, 490, 590, 540
1557207100445, 360026, 487, 588, 536
1557207100459, 360040, 484, 588, 535
1557207100472, 360054, 483, 586, 535
1557207100486, 360067, 483, 582, 535
1557207100500, 360081, 482, 579, 534
1557207100514, 360095, 480, 579, 531
1557207100527, 360110, 477, 581, 530
1557207100541, 360122, 476, 585, 530
1557207100555, 360136, 474, 589, 522
1557207100569, 360151, 473, 590, 521
1557207100582, 360165, 474, 589, 525
1557207100596, 360177, 475, 585, 528
1557207100610, 360192, 476, 587, 535
1557207100624, 360206, 483, 580, 541
1557207100637, 360220, 478, 576, 533
