Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557207030862, 290187, 496, 507, 619
1557207030875, 290201, 497, 507, 620
1557207030889, 290215, 497, 507, 621
1557207030903, 290230, 497, 506, 620
1557207030917, 290242, 497, 507, 618
1557207030930, 290256, 496, 507, 617
1557207030944, 290271, 496, 508, 618
1557207030958, 290285, 496, 509, 620
1557207030972, 290297, 496, 509, 620
1557207030986, 290312, 496, 509, 621
1557207030999, 290326, 496, 508, 620
1557207031013, 290340, 495, 507, 618
1557207031028, 290353, 495, 507, 617
1557207031041, 290367, 496, 506, 617
1557207031055, 290381, 497, 505, 618
1557207031069, 290396, 496, 505, 617
1557207031083, 290408, 497, 504, 617
1557207031097, 290422, 497, 505, 616
1557207031109, 290437, 496, 505, 617
1557207031123, 290451, 497, 505, 618
1557207031138, 290463, 497, 504, 620
1557207031151, 290478, 497, 504, 620
1557207031164, 290492, 497, 505, 620
1557207031178, 290506, 497, 505, 619
1557207031192, 290519, 497, 504, 617
1557207031206, 290533, 497, 503, 616
1557207031220, 290547, 497, 504, 615
1557207031233, 290562, 497, 505, 617
1557207031247, 290574, 496, 506, 618
1557207031261, 290588, 496, 510, 620
1557207031275, 290603, 496, 516, 622
1557207031288, 290617, 494, 521, 622
1557207031302, 290629, 494, 527, 625
1557207031316, 290643, 494, 534, 627
1557207031330, 290658, 493, 542, 629
1557207031343, 290672, 493, 549, 627
1557207031357, 290684, 494, 557, 627
1557207031371, 290699, 495, 563, 624
1557207031385, 290713, 491, 563, 623
1557207031399, 290727, 497, 560, 624
1557207031412, 290740, 501, 551, 624
1557207031426, 290754, 500, 543, 622
1557207031440, 290768, 501, 539, 619
1557207031454, 290783, 501, 536, 612
1557207031467, 290795, 503, 532, 609
1557207031482, 290809, 503, 523, 612
1557207031495, 290824, 503, 522, 611
1557207031509, 290838, 500, 529, 607
1557207031522, 290850, 503, 520, 612
1557207031536, 290865, 507, 518, 625
1557207031550, 290879, 508, 523, 621
1557207031565, 290891, 502, 536, 613
1557207031578, 290906, 506, 529, 621
1557207031592, 290920, 510, 509, 638
1557207031605, 290934, 510, 507, 641
1557207031619, 290947, 503, 505, 637
1557207031632, 290961, 501, 505, 637
1557207031646, 290975, 501, 501, 634
1557207031660, 290990, 499, 500, 627
1557207031674, 291002, 498, 505, 619
1557207031688, 291016, 493, 505, 613
1557207031701, 291031, 489, 500, 615
1557207031715, 291045, 490, 492, 620
1557207031729, 291057, 492, 494, 620
1557207031743, 291072, 488, 501, 614
1557207031757, 291086, 484, 498, 611
1557207031770, 291100, 484, 494, 615
1557207031784, 291112, 485, 494, 616
1557207031798, 291127, 481, 497, 609
1557207031811, 291141, 481, 491, 609
1557207031825, 291155, 482, 493, 609
