Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557207201319, 461268, 506, 509, 620
1557207201332, 461283, 506, 510, 619
1557207201346, 461297, 506, 509, 620
1557207201360, 461312, 506, 508, 620
1557207201373, 461324, 506, 509, 620
1557207201387, 461338, 506, 508, 620
1557207201401, 461352, 505, 507, 619
1557207201414, 461367, 505, 507, 619
1557207201428, 461379, 504, 508, 618
1557207201442, 461393, 504, 509, 618
1557207201456, 461408, 504, 508, 617
1557207201470, 461422, 505, 506, 618
1557207201483, 461434, 505, 505, 620
1557207201497, 461449, 505, 505, 618
1557207201511, 461463, 505, 506, 618
1557207201525, 461477, 505, 506, 618
1557207201538, 461490, 506, 507, 619
1557207201552, 461504, 506, 508, 620
1557207201566, 461518, 506, 508, 620
1557207201580, 461533, 506, 508, 619
1557207201593, 461545, 505, 507, 619
1557207201607, 461559, 505, 506, 620
1557207201621, 461574, 505, 505, 620
1557207201635, 461586, 505, 505, 621
1557207201648, 461600, 505, 505, 622
1557207201662, 461615, 505, 503, 623
1557207201676, 461629, 506, 501, 623
1557207201690, 461641, 506, 499, 622
1557207201704, 461656, 506, 498, 622
1557207201718, 461670, 506, 497, 623
1557207201732, 461684, 504, 496, 624
1557207201746, 461697, 506, 494, 624
1557207201759, 461711, 508, 491, 624
1557207201772, 461725, 508, 488, 623
1557207201786, 461740, 510, 484, 622
1557207201800, 461752, 511, 480, 620
1557207201814, 461766, 509, 478, 617
1557207201827, 461780, 509, 478, 614
1557207201841, 461795, 506, 476, 611
1557207201855, 461807, 504, 480, 610
1557207201869, 461821, 503, 484, 609
1557207201882, 461836, 502, 485, 607
1557207201896, 461850, 502, 485, 606
1557207201910, 461862, 500, 488, 602
1557207201924, 461877, 501, 493, 601
1557207201938, 461891, 502, 497, 601
1557207201951, 461905, 501, 500, 605
1557207201965, 461918, 501, 502, 605
1557207201979, 461932, 502, 504, 602
1557207201993, 461946, 503, 502, 598
1557207202006, 461961, 505, 506, 600
1557207202021, 461973, 507, 508, 601
1557207202034, 461987, 508, 508, 603
1557207202048, 462002, 508, 509, 602
1557207202061, 462016, 509, 514, 605
1557207202075, 462028, 510, 516, 606
1557207202089, 462043, 511, 519, 607
1557207202104, 462057, 513, 522, 607
1557207202117, 462071, 514, 529, 611
1557207202131, 462084, 517, 530, 610
1557207202144, 462098, 518, 531, 609
1557207202159, 462112, 517, 527, 601
1557207202172, 462127, 518, 526, 599
1557207202186, 462139, 520, 528, 599
1557207202199, 462153, 521, 533, 604
1557207202213, 462168, 524, 532, 606
1557207202227, 462182, 527, 532, 603
1557207202240, 462194, 527, 531, 600
1557207202254, 462209, 528, 535, 600
1557207202268, 462223, 525, 533, 602
1557207202282, 462237, 527, 532, 611
1557207202295, 462249, 525, 532, 616
1557207202309, 462264, 529, 533, 618
1557207202323, 462278, 530, 527, 617
1557207202337, 462292, 532, 528, 610
1557207202350, 462305, 531, 529, 611
1557207202364, 462319, 530, 528, 615
1557207202378, 462333, 527, 526, 619
1557207202392, 462348, 527, 524, 623
1557207202406, 462360, 527, 524, 627
1557207202419, 462374, 527, 525, 629
1557207202433, 462389, 529, 531, 626
1557207202447, 462403, 527, 536, 624
1557207202461, 462415, 529, 537, 623
1557207202474, 462430, 531, 536, 624
1557207202488, 462444, 534, 532, 626
1557207202502, 462458, 537, 527, 628
1557207202516, 462471, 539, 524, 628
1557207202530, 462485, 538, 528, 625
1557207202544, 462499, 533, 532, 623
1557207202558, 462512, 534, 533, 619
1557207202572, 462526, 538, 534, 617
1557207202585, 462540, 539, 534, 615
1557207202598, 462555, 542, 530, 616
1557207202612, 462567, 542, 529, 618
1557207202627, 462581, 543, 523, 620
1557207202640, 462596, 542, 520, 620
1557207202654, 462610, 539, 522, 617
1557207202668, 462622, 534, 526, 616
1557207202682, 462637, 530, 527, 616
1557207202696, 462651, 532, 527, 623
1557207202708, 462665, 536, 522, 626
