Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557207253604, 513746, 507, 511, 618
1557207253617, 513761, 507, 511, 617
1557207253631, 513775, 507, 513, 618
1557207253645, 513787, 506, 512, 617
1557207253659, 513802, 505, 512, 617
1557207253672, 513816, 506, 511, 616
1557207253686, 513830, 507, 511, 616
1557207253700, 513843, 507, 510, 616
1557207253714, 513857, 507, 510, 616
1557207253727, 513871, 507, 512, 617
1557207253741, 513886, 508, 512, 617
1557207253755, 513898, 508, 512, 616
1557207253769, 513912, 510, 515, 614
1557207253782, 513927, 511, 516, 614
1557207253796, 513941, 512, 517, 613
1557207253810, 513953, 514, 519, 612
1557207253824, 513968, 515, 522, 611
1557207253838, 513982, 517, 526, 607
1557207253851, 513996, 517, 530, 603
1557207253866, 514009, 519, 537, 596
1557207253879, 514023, 518, 545, 593
1557207253893, 514037, 520, 548, 589
1557207253906, 514052, 511, 548, 587
1557207253920, 514064, 508, 548, 585
1557207253934, 514078, 506, 545, 584
1557207253948, 514093, 505, 547, 586
1557207253961, 514107, 505, 550, 587
1557207253975, 514119, 505, 552, 587
1557207253989, 514134, 507, 558, 590
1557207254003, 514148, 506, 563, 588
1557207254016, 514160, 502, 564, 593
1557207254030, 514174, 497, 565, 595
1557207254044, 514189, 500, 558, 600
1557207254058, 514203, 504, 550, 607
1557207254071, 514215, 510, 537, 617
1557207254085, 514230, 514, 533, 638
1557207254099, 514244, 527, 529, 652
1557207254113, 514258, 531, 531, 648
1557207254127, 514271, 532, 531, 638
1557207254140, 514285, 538, 522, 638
1557207254154, 514299, 552, 493, 645
1557207254168, 514314, 558, 468, 654
1557207254182, 514326, 560, 448, 655
1557207254195, 514340, 558, 431, 650
1557207254209, 514355, 553, 424, 647
1557207254223, 514369, 544, 423, 641
1557207254237, 514381, 537, 430, 635
1557207254250, 514396, 530, 445, 636
1557207254264, 514410, 523, 454, 635
1557207254278, 514424, 517, 458, 630
1557207254292, 514437, 510, 465, 625
1557207254306, 514451, 505, 471, 619
1557207254319, 514465, 504, 481, 624
1557207254333, 514480, 504, 481, 623
1557207254347, 514492, 505, 478, 620
1557207254361, 514506, 507, 482, 619
1557207254374, 514521, 508, 486, 618
1557207254388, 514535, 510, 481, 615
1557207254403, 514547, 510, 482, 612
1557207254416, 514562, 511, 487, 612
1557207254429, 514576, 511, 489, 613
1557207254443, 514590, 513, 485, 607
1557207254457, 514603, 518, 481, 607
1557207254471, 514617, 521, 474, 605
1557207254484, 514631, 529, 462, 601
1557207254498, 514646, 537, 446, 596
1557207254512, 514658, 546, 430, 587
1557207254526, 514672, 550, 423, 572
1557207254540, 514686, 549, 410, 561
1557207254553, 514701, 549, 395, 547
1557207254567, 514713, 546, 385, 542
1557207254581, 514727, 545, 395, 549
1557207254595, 514742, 557, 407, 558
1557207254609, 514756, 559, 407, 562
1557207254623, 514768, 563, 424, 566
1557207254637, 514783, 568, 461, 580
1557207254651, 514797, 570, 497, 595
1557207254664, 514811, 573, 518, 605
1557207254678, 514824, 576, 526, 618
1557207254692, 514838, 571, 542, 627
1557207254705, 514852, 567, 563, 631
1557207254718, 514867, 565, 595, 638
1557207254732, 514879, 555, 632, 645
1557207254746, 514893, 545, 630, 650
1557207254760, 514908, 546, 610, 654
1557207254774, 514922, 546, 619, 676
1557207254787, 514934, 544, 616, 687
1557207254801, 514949, 547, 604, 685
1557207254815, 514963, 548, 588, 670
1557207254829, 514977, 550, 584, 660
1557207254842, 514990, 548, 582, 654
1557207254856, 515004, 548, 567, 646
1557207254870, 515018, 551, 559, 648
1557207254884, 515031, 550, 562, 649
1557207254897, 515045, 549, 562, 643
1557207254912, 515059, 546, 562, 634
1557207254926, 515074, 544, 563, 620
1557207254940, 515086, 541, 560, 615
1557207254952, 515100, 541, 550, 615
1557207254967, 515115, 542, 542, 614
1557207254981, 515129, 541, 542, 615
1557207254995, 515141, 538, 547, 608
1557207255008, 515155, 534, 554, 604
1557207255022, 515170, 530, 560, 600
1557207255036, 515184, 527, 560, 595
1557207255050, 515196, 526, 561, 593
1557207255064, 515211, 530, 565, 595
1557207255076, 515225, 534, 572, 598
1557207255090, 515239, 535, 582, 596
1557207255104, 515252, 535, 583, 598
1557207255118, 515266, 539, 590, 601
1557207255131, 515280, 542, 600, 611
1557207255145, 515295, 545, 607, 620
1557207255159, 515307, 552, 599, 615
1557207255173, 515321, 555, 580, 614
1557207255187, 515336, 558, 563, 608
1557207255200, 515350, 568, 547, 604
1557207255214, 515362, 580, 523, 598
1557207255228, 515377, 580, 500, 599
1557207255242, 515391, 585, 468, 596
1557207255255, 515405, 586, 456, 597
1557207255269, 515418, 592, 446, 605
1557207255283, 515432, 594, 423, 609
1557207255297, 515446, 594, 408, 618
1557207255310, 515461, 592, 408, 629
1557207255324, 515473, 587, 410, 630
1557207255338, 515487, 578, 418, 628
1557207255352, 515502, 566, 426, 620
1557207255365, 515516, 556, 433, 616
1557207255379, 515528, 548, 442, 612
1557207255394, 515543, 542, 450, 615
1557207255407, 515557, 541, 451, 617
1557207255422, 515571, 538, 456, 616
1557207255434, 515584, 535, 461, 617
1557207255448, 515598, 533, 469, 615
1557207255463, 515612, 531, 475, 617
1557207255476, 515627, 532, 476, 616
1557207255490, 515639, 532, 477, 617
1557207255504, 515653, 533, 486, 623
1557207255518, 515667, 533, 488, 622
1557207255532, 515682, 532, 486, 617
1557207255545, 515694, 531, 485, 614
1557207255558, 515708, 528, 494, 613
1557207255573, 515723, 525, 503, 613
1557207255587, 515737, 525, 506, 616
1557207255600, 515749, 527, 503, 619
1557207255613, 515764, 530, 503, 622
1557207255627, 515778, 530, 503, 622
1557207255641, 515792, 531, 497, 617
1557207255654, 515805, 531, 494, 613
1557207255668, 515819, 530, 500, 612
1557207255683, 515833, 529, 503, 611
