Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557207339518, 599977, 518, 503, 618
1557207339532, 599992, 519, 501, 618
1557207339546, 600004, 519, 500, 619
1557207339560, 600018, 520, 502, 619
1557207339573, 600033, 519, 503, 618
1557207339587, 600047, 519, 502, 617
1557207339601, 600059, 519, 502, 618
1557207339615, 600074, 519, 501, 618
1557207339629, 600088, 519, 501, 618
1557207339642, 600102, 519, 502, 617
1557207339656, 600115, 518, 503, 618
1557207339671, 600129, 518, 505, 618
1557207339684, 600143, 519, 504, 619
1557207339697, 600158, 519, 504, 619
1557207339712, 600170, 519, 503, 618
1557207339726, 600184, 519, 503, 618
1557207339740, 600199, 519, 504, 618
1557207339753, 600213, 516, 509, 618
1557207339767, 600225, 512, 520, 620
1557207339781, 600240, 507, 530, 625
1557207339795, 600254, 504, 545, 631
1557207339808, 600268, 504, 567, 644
1557207339822, 600281, 504, 586, 647
1557207339836, 600295, 500, 591, 647
1557207339850, 600309, 503, 586, 648
1557207339863, 600324, 508, 579, 647
1557207339876, 600336, 513, 572, 645
1557207339890, 600350, 518, 561, 635
1557207339904, 600365, 524, 547, 624
1557207339918, 600379, 539, 521, 621
1557207339932, 600391, 542, 495, 604
1557207339945, 600406, 550, 478, 600
1557207339959, 600420, 554, 467, 598
1557207339973, 600434, 554, 449, 595
1557207339986, 600446, 557, 428, 594
1557207340000, 600461, 559, 408, 596
1557207340014, 600475, 563, 390, 595
1557207340028, 600489, 567, 373, 596
1557207340041, 600502, 568, 363, 594
1557207340055, 600516, 565, 357, 596
1557207340069, 600530, 563, 362, 600
1557207340083, 600545, 561, 374, 599
1557207340097, 600557, 557, 385, 594
1557207340110, 600571, 552, 399, 590
1557207340124, 600586, 548, 415, 585
1557207340138, 600600, 544, 436, 585
1557207340152, 600612, 540, 465, 585
1557207340165, 600627, 538, 497, 586
1557207340179, 600641, 532, 530, 592
1557207340193, 600655, 525, 557, 601
1557207340207, 600668, 520, 590, 618
1557207340220, 600682, 518, 620, 640
1557207340234, 600696, 513, 634, 661
1557207340248, 600711, 504, 638, 675
1557207340262, 600723, 497, 644, 680
1557207340275, 600737, 495, 648, 684
1557207340289, 600752, 496, 632, 675
1557207340303, 600766, 500, 611, 662
1557207340317, 600778, 502, 593, 649
1557207340331, 600793, 508, 566, 635
1557207340344, 600807, 512, 541, 622
1557207340358, 600821, 520, 522, 612
1557207340372, 600834, 523, 497, 600
1557207340386, 600848, 530, 478, 594
1557207340399, 600862, 534, 463, 591
1557207340413, 600877, 540, 443, 596
1557207340427, 600889, 547, 427, 602
1557207340441, 600903, 548, 408, 604
1557207340454, 600918, 555, 396, 607
1557207340469, 600930, 560, 390, 608
1557207340482, 600944, 559, 389, 605
1557207340497, 600958, 557, 394, 604
1557207340511, 600973, 555, 405, 603
1557207340524, 600985, 547, 416, 597
1557207340538, 600999, 543, 431, 595
1557207340552, 601014, 537, 454, 596
1557207340566, 601028, 533, 476, 597
1557207340579, 601040, 529, 501, 601
1557207340593, 601055, 524, 523, 612
1557207340606, 601069, 522, 545, 623
1557207340620, 601083, 521, 570, 639
1557207340633, 601096, 517, 594, 649
1557207340647, 601110, 510, 612, 659
1557207340661, 601124, 508, 618, 665
1557207340675, 601139, 503, 624, 665
1557207340689, 601151, 498, 618, 657
1557207340702, 601165, 498, 600, 647
1557207340716, 601180, 501, 590, 639
1557207340730, 601194, 505, 575, 632
1557207340744, 601206, 510, 557, 623
1557207340757, 601221, 514, 542, 617
1557207340771, 601235, 520, 530, 609
1557207340785, 601249, 527, 516, 604
1557207340799, 601262, 534, 497, 595
1557207340812, 601276, 539, 477, 595
1557207340826, 601290, 548, 463, 607
1557207340840, 601305, 551, 449, 614
1557207340854, 601317, 552, 431, 613
1557207340868, 601331, 554, 424, 609
1557207340881, 601346, 557, 418, 605
1557207340895, 601360, 557, 409, 604
1557207340909, 601372, 557, 402, 605
1557207340923, 601387, 556, 401, 607
1557207340936, 601401, 553, 409, 608
1557207340950, 601415, 548, 417, 604
1557207340964, 601427, 543, 427, 599
1557207340978, 601442, 534, 449, 600
1557207340992, 601456, 531, 479, 605
1557207341005, 601470, 530, 507, 609
1557207341019, 601483, 529, 521, 617
1557207341033, 601497, 529, 533, 627
1557207341047, 601511, 527, 544, 632
1557207341060, 601526, 522, 556, 632
1557207341074, 601538, 519, 562, 633
1557207341089, 601552, 516, 567, 632
1557207341102, 601567, 514, 566, 631
1557207341116, 601581, 512, 560, 627
