Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1556730753670, 414170, 489, 523, 610
1556730753683, 414183, 486, 524, 613
1556730753695, 414195, 489, 524, 612
1556730753708, 414209, 489, 523, 610
1556730753722, 414222, 486, 523, 615
1556730753735, 414235, 489, 524, 609
1556730753748, 414247, 488, 525, 612
1556730753761, 414261, 486, 523, 613
1556730753774, 414274, 490, 524, 611
1556730753787, 414287, 488, 523, 611
1556730753799, 414300, 486, 524, 614
1556730753813, 414313, 490, 524, 609
1556730753825, 414326, 487, 523, 613
1556730753839, 414340, 487, 524, 614
1556730753852, 414352, 490, 524, 609
1556730753865, 414365, 486, 524, 614
1556730753879, 414379, 488, 522, 611
1556730753892, 414392, 489, 524, 612
1556730753904, 414404, 487, 523, 611
1556730753917, 414417, 488, 524, 614
1556730753930, 414431, 490, 523, 609
1556730753944, 414444, 486, 524, 614
1556730753957, 414457, 488, 524, 612
1556730753969, 414470, 490, 524, 610
1556730753984, 414483, 486, 523, 613
1556730753996, 414496, 488, 524, 613
1556730754010, 414510, 490, 524, 610
1556730754022, 414522, 486, 524, 615
1556730754035, 414535, 489, 524, 611
1556730754048, 414548, 489, 523, 611
1556730754061, 414562, 486, 523, 614
1556730754074, 414574, 490, 523, 609
1556730754087, 414587, 488, 524, 612
1556730754100, 414601, 486, 523, 613
1556730754114, 414614, 490, 524, 611
1556730754126, 414626, 487, 523, 611
1556730754140, 414640, 486, 524, 615
1556730754153, 414653, 491, 524, 608
1556730754165, 414666, 486, 524, 614
1556730754179, 414679, 487, 523, 613
1556730754193, 414692, 491, 524, 609
1556730754205, 414705, 486, 524, 613
1556730754218, 414718, 487, 523, 612
1556730754231, 414732, 491, 523, 610
1556730754244, 414744, 485, 523, 613
1556730754258, 414757, 488, 524, 612
1556730754270, 414771, 490, 523, 609
1556730754283, 414784, 485, 523, 615
1556730754297, 414796, 489, 523, 610
1556730754309, 414810, 489, 525, 611
1556730754322, 414823, 485, 523, 613
1556730754335, 414836, 490, 523, 612
1556730754348, 414849, 489, 523, 610
1556730754362, 414862, 485, 524, 615
1556730754376, 414875, 490, 524, 610
1556730754388, 414888, 488, 523, 611
1556730754400, 414901, 485, 523, 614
1556730754414, 414914, 491, 523, 608
1556730754427, 414927, 487, 525, 614
1556730754440, 414941, 487, 523, 612
1556730754453, 414953, 490, 524, 612
1556730754467, 414966, 487, 523, 611
1556730754479, 414980, 486, 524, 614
1556730754493, 414993, 490, 524, 610
1556730754505, 415005, 486, 523, 612
1556730754518, 415019, 487, 523, 614
1556730754532, 415032, 491, 524, 608
1556730754545, 415045, 486, 524, 613
1556730754558, 415057, 487, 522, 612
1556730754571, 415071, 490, 524, 611
1556730754584, 415084, 487, 523, 611
1556730754596, 415097, 487, 524, 613
1556730754610, 415111, 490, 524, 610
1556730754623, 415123, 486, 523, 614
1556730754636, 415136, 488, 523, 612
1556730754650, 415150, 490, 524, 610
1556730754662, 415163, 486, 524, 613
1556730754676, 415175, 488, 523, 612
1556730754688, 415188, 489, 524, 611
1556730754702, 415202, 487, 522, 611
1556730754714, 415215, 487, 525, 615
1556730754727, 415227, 491, 524, 607
1556730754742, 415241, 485, 524, 616
1556730754754, 415254, 488, 523, 611
1556730754767, 415267, 490, 524, 610
1556730754780, 415280, 485, 524, 614
1556730754794, 415293, 489, 522, 611
1556730754806, 415306, 489, 524, 612
1556730754819, 415320, 487, 523, 610
1556730754832, 415332, 487, 525, 615
1556730754845, 415345, 490, 524, 608
1556730754859, 415358, 485, 523, 615
1556730754872, 415372, 489, 523, 611
1556730754884, 415384, 490, 524, 610
1556730754897, 415397, 485, 525, 614
1556730754910, 415411, 489, 522, 610
1556730754924, 415424, 488, 524, 612
1556730754936, 415437, 487, 522, 610
1556730754951, 415450, 487, 525, 615
1556730754964, 415463, 490, 524, 609
1556730754976, 415476, 486, 523, 615
1556730754989, 415490, 488, 523, 611
1556730755002, 415502, 490, 524, 610
1556730755016, 415515, 486, 525, 614
1556730755028, 415528, 489, 522, 610
1556730755042, 415542, 488, 524, 613
1556730755055, 415554, 488, 522, 609
1556730755068, 415567, 487, 525, 615
1556730755080, 415581, 489, 525, 609
1556730755093, 415594, 487, 523, 613
