Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1556731002786, 663281, 511, 535, 610
1556731002800, 663293, 510, 535, 610
1556731002812, 663307, 510, 535, 610
1556731002825, 663320, 509, 534, 612
1556731002838, 663333, 509, 534, 614
1556731002850, 663347, 509, 534, 614
1556731002865, 663359, 510, 533, 613
1556731002877, 663372, 510, 534, 611
1556731002891, 663386, 509, 535, 610
1556731002904, 663399, 509, 536, 611
1556731002917, 663411, 509, 535, 611
1556731002930, 663425, 510, 534, 612
1556731002942, 663438, 509, 534, 613
1556731002956, 663451, 509, 535, 612
1556731002969, 663463, 509, 534, 610
1556731002981, 663477, 509, 531, 609
1556731002994, 663490, 510, 530, 611
1556731003008, 663503, 508, 531, 610
1556731003021, 663516, 507, 531, 609
1556731003034, 663529, 508, 530, 607
1556731003047, 663542, 509, 527, 603
1556731003060, 663556, 509, 524, 600
1556731003073, 663568, 509, 523, 598
1556731003086, 663581, 509, 522, 596
1556731003100, 663595, 509, 522, 594
1556731003113, 663608, 508, 524, 595
1556731003126, 663620, 506, 526, 595
1556731003138, 663633, 505, 526, 593
1556731003152, 663647, 505, 525, 592
1556731003164, 663660, 505, 525, 590
1556731003178, 663673, 505, 524, 584
1556731003191, 663686, 506, 520, 579
1556731003204, 663699, 506, 521, 578
1556731003216, 663712, 505, 525, 580
1556731003230, 663726, 503, 526, 580
1556731003243, 663738, 501, 526, 580
1556731003255, 663751, 501, 526, 578
1556731003269, 663764, 502, 525, 576
1556731003282, 663778, 500, 524, 575
1556731003296, 663790, 500, 524, 574
1556731003308, 663803, 500, 523, 570
1556731003322, 663817, 503, 520, 566
1556731003334, 663830, 503, 518, 568
1556731003348, 663842, 504, 518, 576
1556731003360, 663856, 509, 518, 591
1556731003374, 663869, 511, 527, 623
1556731003387, 663882, 510, 554, 658
1556731003400, 663895, 504, 588, 686
1556731003413, 663908, 503, 612, 710
1556731003426, 663921, 501, 630, 732
1556731003439, 663934, 496, 639, 758
1556731003452, 663948, 489, 629, 775
1556731003465, 663960, 498, 616, 798
1556731003478, 663973, 513, 592, 815
1556731003491, 663987, 523, 572, 811
1556731003504, 664000, 525, 573, 790
1556731003518, 664012, 526, 580, 760
1556731003530, 664026, 537, 583, 733
1556731003544, 664039, 543, 578, 702
1556731003556, 664052, 542, 570, 674
1556731003570, 664065, 535, 555, 652
1556731003584, 664078, 528, 536, 630
1556731003595, 664091, 528, 517, 615
1556731003608, 664104, 520, 506, 596
1556731003622, 664117, 514, 498, 577
1556731003635, 664130, 506, 487, 562
1556731003649, 664143, 502, 481, 555
1556731003661, 664157, 500, 485, 549
1556731003675, 664169, 502, 493, 535
1556731003687, 664182, 500, 499, 513
1556731003701, 664196, 501, 507, 498
1556731003713, 664209, 504, 513, 489
1556731003727, 664222, 511, 509, 485
1556731003739, 664235, 514, 498, 481
1556731003753, 664248, 514, 486, 484
1556731003766, 664261, 515, 479, 495
1556731003778, 664274, 513, 480, 504
1556731003792, 664287, 509, 483, 512
1556731003805, 664300, 506, 487, 516
1556731003818, 664313, 505, 495, 520
1556731003830, 664327, 503, 504, 521
1556731003844, 664339, 505, 511, 522
1556731003857, 664352, 505, 521, 525
1556731003871, 664366, 503, 532, 532
1556731003883, 664379, 499, 538, 540
1556731003896, 664391, 497, 537, 547
1556731003909, 664404, 494, 532, 553
1556731003922, 664418, 496, 523, 555
1556731003936, 664431, 503, 514, 554
1556731003949, 664443, 510, 507, 549
1556731003962, 664457, 513, 508, 547
1556731003975, 664470, 516, 519, 562
1556731003988, 664483, 519, 534, 592
1556731004001, 664497, 512, 551, 633
1556731004015, 664509, 516, 566, 670
1556731004027, 664522, 508, 584, 679
1556731004040, 664536, 504, 607, 687
1556731004053, 664549, 514, 623, 697
1556731004067, 664561, 557, 601, 726
1556731004080, 664574, 587, 573, 789
1556731004093, 664588, 571, 584, 878
1556731004106, 664601, 535, 625, 944
1556731004118, 664613, 518, 637, 929
1556731004132, 664627, 534, 591, 841
1556731004145, 664640, 543, 555, 755
1556731004158, 664653, 532, 554, 686
1556731004171, 664666, 511, 561, 642
1556731004184, 664679, 504, 554, 624
1556731004197, 664692, 514, 532, 615
1556731004210, 664706, 518, 510, 602
1556731004223, 664718, 525, 492, 588
1556731004236, 664731, 510, 493, 575
1556731004250, 664744, 507, 512, 603
1556731004262, 664758, 507, 535, 630
1556731004275, 664770, 500, 550, 647
1556731004288, 664783, 501, 533, 649
1556731004302, 664797, 501, 502, 621
1556731004314, 664810, 503, 478, 590
1556731004328, 664823, 508, 463, 560
1556731004341, 664836, 508, 463, 532
1556731004355, 664849, 506, 467, 511
1556731004368, 664862, 504, 474, 494
1556731004380, 664876, 504, 477, 479
1556731004392, 664888, 505, 479, 468
1556731004406, 664901, 508, 484, 470
1556731004419, 664914, 510, 485, 477
1556731004432, 664928, 510, 485, 486
1556731004446, 664940, 507, 489, 496
1556731004459, 664953, 505, 494, 505
1556731004471, 664967, 503, 497, 508
1556731004484, 664980, 502, 503, 507
1556731004497, 664992, 500, 510, 503
1556731004511, 665006, 500, 514, 501
1556731004523, 665019, 502, 515, 502
1556731004537, 665032, 504, 511, 508
1556731004550, 665044, 509, 507, 526
1556731004562, 665058, 510, 507, 556
1556731004576, 665071, 503, 503, 591
1556731004588, 665084, 496, 517, 642
1556731004601, 665098, 493, 530, 672
1556731004615, 665110, 503, 550, 690
1556731004628, 665123, 513, 561, 676
1556731004641, 665137, 513, 567, 662
1556731004654, 665150, 507, 572, 674
1556731004667, 665162, 514, 582, 720
1556731004681, 665176, 520, 599, 781
1556731004693, 665189, 518, 616, 849
1556731004706, 665202, 520, 637, 927
1556731004720, 665214, 525, 635, 957
1556731004732, 665228, 534, 590, 900
1556731004746, 665241, 538, 542, 795
1556731004760, 665254, 536, 526, 714
1556731004772, 665267, 525, 538, 673
1556731004785, 665280, 510, 555, 656
1556731004798, 665293, 503, 558, 653
1556731004810, 665307, 503, 550, 651
1556731004824, 665319, 499, 545, 643
1556731004837, 665332, 492, 548, 633
1556731004851, 665346, 479, 571, 633
1556731004863, 665359, 490, 580, 630
1556731004876, 665372, 502, 548, 608
1556731004890, 665384, 490, 504, 579
1556731004902, 665398, 493, 492, 584
1556731004917, 665411, 512, 486, 599
1556731004929, 665424, 524, 473, 591
1556731004942, 665437, 527, 466, 562
1556731004955, 665450, 525, 474, 535
1556731004967, 665463, 522, 489, 508
1556731004981, 665477, 523, 498, 481
1556731004994, 665489, 521, 500, 461
1556731005007, 665502, 513, 502, 453
1556731005021, 665516, 510, 504, 461
1556731005033, 665529, 513, 500, 473
1556731005047, 665541, 515, 493, 482
1556731005060, 665554, 514, 489, 484
1556731005072, 665568, 511, 489, 485
1556731005086, 665581, 505, 492, 488
1556731005099, 665593, 505, 491, 489
1556731005112, 665607, 503, 489, 490
1556731005130, 665620, 502, 486, 492
1556731005138, 665633, 504, 487, 493
1556731005150, 665647, 506, 487, 493
1556731005164, 665659, 505, 492, 497
1556731005177, 665672, 502, 499, 506
1556731005190, 665686, 498, 505, 522
1556731005203, 665699, 498, 507, 546
1556731005216, 665711, 497, 510, 575
1556731005229, 665724, 484, 524, 608
1556731005242, 665738, 476, 538, 637
1556731005255, 665751, 480, 544, 655
1556731005271, 665763, 495, 557, 669
1556731005282, 665777, 503, 574, 679
1556731005295, 665790, 519, 581, 704
1556731005308, 665803, 532, 614, 780
1556731005320, 665816, 526, 657, 897
1556731005335, 665829, 522, 671, 983
1556731005347, 665842, 525, 651, 980
1556731005360, 665856, 536, 615, 884
1556731005373, 665868, 549, 565, 762
1556731005386, 665881, 549, 547, 671
1556731005399, 665894, 539, 571, 656
1556731005412, 665908, 533, 602, 696
1556731005425, 665920, 522, 605, 730
1556731005439, 665933, 519, 586, 741
