Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1556730578513, 239016, 484, 522, 613
1556730578526, 239030, 484, 524, 611
1556730578539, 239043, 484, 524, 610
1556730578552, 239055, 484, 525, 608
1556730578565, 239069, 484, 525, 608
1556730578578, 239082, 485, 524, 611
1556730578591, 239095, 487, 522, 612
1556730578605, 239108, 489, 520, 614
1556730578617, 239121, 489, 522, 614
1556730578631, 239134, 486, 524, 612
1556730578643, 239148, 484, 525, 610
1556730578656, 239160, 483, 526, 608
1556730578670, 239173, 482, 526, 608
1556730578685, 239186, 483, 525, 609
1556730578696, 239200, 485, 524, 614
1556730578709, 239212, 487, 522, 617
1556730578722, 239225, 487, 523, 615
1556730578735, 239239, 485, 525, 612
1556730578748, 239252, 483, 526, 612
1556730578761, 239264, 482, 525, 611
1556730578775, 239278, 484, 524, 612
1556730578787, 239291, 485, 522, 611
1556730578801, 239304, 486, 521, 609
1556730578813, 239316, 487, 518, 606
1556730578827, 239330, 488, 517, 604
1556730578840, 239343, 489, 517, 602
1556730578853, 239356, 489, 515, 599
1556730578866, 239370, 489, 517, 597
1556730578879, 239382, 489, 521, 592
1556730578892, 239395, 491, 519, 589
1556730578905, 239409, 493, 519, 587
1556730578918, 239422, 495, 521, 581
1556730578930, 239434, 496, 525, 571
1556730578945, 239448, 495, 530, 563
1556730578957, 239461, 495, 540, 559
1556730578970, 239474, 496, 553, 557
1556730578983, 239486, 500, 561, 571
1556730578997, 239500, 505, 563, 593
1556730579010, 239513, 510, 563, 608
1556730579023, 239526, 513, 560, 609
1556730579035, 239539, 515, 558, 603
1556730579050, 239552, 516, 556, 594
1556730579063, 239565, 516, 555, 589
1556730579075, 239579, 517, 556, 597
1556730579088, 239591, 516, 559, 616
1556730579100, 239604, 513, 563, 637
1556730579114, 239618, 510, 572, 659
1556730579126, 239631, 509, 563, 663
1556730579140, 239644, 517, 555, 674
1556730579154, 239656, 521, 541, 669
1556730579167, 239670, 516, 538, 652
1556730579179, 239683, 509, 540, 633
1556730579192, 239696, 500, 546, 620
1556730579205, 239709, 490, 553, 606
1556730579218, 239722, 476, 564, 598
1556730579233, 239735, 471, 566, 604
1556730579244, 239749, 475, 560, 623
1556730579258, 239761, 478, 564, 639
1556730579270, 239774, 473, 572, 647
1556730579285, 239788, 459, 574, 641
1556730579297, 239801, 444, 581, 634
1556730579310, 239813, 434, 572, 622
1556730579322, 239826, 441, 549, 619
1556730579336, 239840, 448, 536, 620
1556730579350, 239853, 448, 533, 622
1556730579362, 239865, 442, 539, 617
1556730579376, 239879, 435, 543, 612
1556730579389, 239892, 430, 546, 609
1556730579401, 239905, 419, 560, 606
1556730579415, 239919, 406, 573, 603
1556730579427, 239931, 398, 579, 598
1556730579441, 239944, 399, 582, 598
1556730579454, 239958, 409, 575, 604
1556730579466, 239971, 416, 571, 600
1556730579481, 239983, 422, 564, 603
1556730579493, 239996, 449, 542, 622
1556730579505, 240010, 484, 510, 628
1556730579519, 240023, 509, 488, 621
1556730579533, 240035, 522, 465, 608
1556730579545, 240049, 519, 467, 598
1556730579558, 240062, 498, 499, 584
1556730579571, 240075, 480, 533, 571
1556730579584, 240088, 481, 555, 568
1556730579597, 240101, 496, 573, 578
1556730579610, 240114, 537, 555, 602
1556730579623, 240128, 602, 503, 623
1556730579637, 240140, 656, 431, 628
1556730579651, 240153, 657, 380, 627
1556730579663, 240166, 615, 372, 613
1556730579676, 240180, 578, 387, 590
1556730579690, 240192, 556, 415, 560
1556730579702, 240205, 570, 443, 529
1556730579715, 240219, 655, 452, 531
1556730579727, 240232, 793, 337, 531
1556730579741, 240245, 899, 150, 478
1556730579755, 240258, 953, 13, 459
1556730579767, 240271, 980, 4, 509
1556730579781, 240284, 953, 210, 645
1556730579793, 240296, 879, 506, 769
1556730579806, 240310, 811, 680, 763
1556730579819, 240323, 770, 730, 721
1556730579833, 240336, 779, 749, 720
1556730579848, 240350, 827, 739, 741
1556730579859, 240362, 891, 716, 721
1556730579873, 240375, 936, 708, 676
1556730579885, 240389, 1002, 798, 651
1556730579898, 240402, 1016, 913, 666
1556730579911, 240414, 937, 1010, 785
1556730579925, 240428, 697, 1020, 799
1556730579937, 240441, 445, 1006, 586
1556730579951, 240454, 355, 871, 555
1556730579963, 240467, 449, 761, 624
1556730579977, 240480, 578, 658, 647
1556730579989, 240493, 628, 576, 617
1556730580003, 240506, 619, 551, 589
1556730580016, 240520, 574, 576, 574
1556730580028, 240532, 521, 599, 575
1556730580042, 240545, 488, 611, 587
1556730580055, 240559, 475, 615, 603
1556730580069, 240572, 478, 609, 618
1556730580081, 240584, 490, 601, 623
1556730580094, 240598, 491, 593, 615
1556730580108, 240611, 486, 575, 601
1556730580121, 240624, 488, 547, 590
1556730580133, 240636, 500, 519, 583
1556730580146, 240650, 510, 499, 578
1556730580159, 240663, 511, 496, 575
1556730580173, 240676, 494, 513, 571
1556730580185, 240689, 474, 534, 574
1556730580199, 240702, 462, 540, 579
1556730580212, 240715, 462, 540, 592
1556730580226, 240729, 473, 525, 606
1556730580238, 240742, 495, 506, 618
1556730580251, 240754, 509, 497, 628
1556730580263, 240768, 508, 504, 621
1556730580277, 240781, 492, 519, 608
1556730580291, 240794, 469, 536, 601
1556730580303, 240806, 458, 542, 604
1556730580317, 240820, 455, 538, 607
1556730580330, 240833, 465, 524, 617
1556730580342, 240846, 476, 508, 624
1556730580355, 240859, 489, 507, 637
1556730580369, 240872, 502, 503, 638
1556730580381, 240885, 492, 507, 616
1556730580394, 240899, 485, 518, 611
1556730580408, 240911, 472, 524, 610
1556730580420, 240924, 464, 528, 607
1556730580433, 240937, 466, 520, 603
1556730580447, 240951, 477, 508, 600
1556730580460, 240963, 487, 507, 607
