Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1556730897125, 557622, 482, 514, 622
1556730897138, 557635, 482, 507, 634
1556730897151, 557648, 483, 498, 648
1556730897164, 557662, 487, 488, 664
1556730897178, 557674, 486, 478, 681
1556730897191, 557687, 490, 467, 694
1556730897203, 557701, 493, 454, 693
1556730897216, 557714, 492, 446, 680
1556730897229, 557726, 493, 436, 663
1556730897243, 557740, 497, 425, 644
1556730897256, 557753, 499, 420, 626
1556730897269, 557766, 504, 416, 614
1556730897281, 557778, 512, 409, 607
1556730897295, 557792, 527, 398, 602
1556730897307, 557805, 547, 387, 601
1556730897321, 557818, 558, 395, 597
1556730897334, 557832, 566, 414, 585
1556730897347, 557844, 568, 437, 569
1556730897360, 557857, 573, 467, 554
1556730897374, 557871, 574, 505, 534
1556730897387, 557884, 572, 537, 504
1556730897399, 557896, 571, 561, 478
1556730897413, 557910, 567, 579, 460
1556730897426, 557923, 553, 610, 451
1556730897439, 557936, 541, 639, 448
1556730897451, 557948, 548, 635, 456
1556730897464, 557962, 559, 626, 487
1556730897478, 557975, 574, 627, 514
1556730897491, 557988, 580, 657, 533
1556730897503, 558001, 572, 691, 522
1556730897517, 558014, 567, 697, 502
1556730897530, 558027, 557, 705, 497
1556730897544, 558041, 545, 710, 498
1556730897556, 558053, 538, 709, 498
1556730897569, 558066, 536, 706, 510
1556730897582, 558080, 537, 693, 527
1556730897596, 558093, 534, 675, 539
1556730897609, 558106, 530, 656, 546
1556730897623, 558118, 528, 640, 544
1556730897635, 558132, 527, 630, 541
1556730897648, 558145, 526, 625, 540
1556730897661, 558158, 538, 608, 552
1556730897673, 558171, 544, 560, 539
1556730897687, 558184, 539, 533, 533
1556730897700, 558197, 549, 529, 553
1556730897712, 558211, 541, 527, 555
1556730897727, 558223, 534, 524, 567
1556730897739, 558236, 537, 523, 592
1556730897752, 558249, 540, 519, 610
1556730897765, 558263, 551, 502, 621
1556730897779, 558275, 569, 474, 635
1556730897792, 558288, 569, 460, 646
1556730897804, 558302, 567, 461, 648
1556730897818, 558315, 573, 454, 652
1556730897830, 558327, 579, 425, 670
1556730897845, 558341, 588, 386, 692
1556730897856, 558354, 597, 351, 707
1556730897870, 558367, 606, 334, 721
1556730897883, 558381, 610, 339, 734
1556730897896, 558393, 602, 374, 734
1556730897909, 558406, 584, 405, 713
1556730897923, 558419, 581, 409, 701
1556730897935, 558433, 590, 411, 707
1556730897949, 558445, 593, 423, 717
1556730897961, 558458, 592, 426, 697
1556730897974, 558472, 594, 438, 677
1556730897988, 558485, 598, 457, 658
1556730898001, 558497, 603, 483, 645
1556730898013, 558511, 601, 532, 646
1556730898027, 558524, 589, 585, 648
1556730898039, 558537, 565, 620, 631
1556730898053, 558550, 548, 638, 617
1556730898066, 558563, 553, 640, 617
1556730898078, 558576, 547, 634, 623
1556730898092, 558589, 546, 609, 621
1556730898105, 558602, 555, 577, 612
1556730898118, 558615, 564, 549, 608
1556730898131, 558628, 573, 535, 614
1556730898144, 558642, 580, 538, 624
1556730898157, 558655, 580, 551, 631
1556730898171, 558667, 568, 574, 628
1556730898183, 558681, 553, 591, 621
1556730898196, 558694, 545, 592, 614
1556730898211, 558707, 545, 579, 608
1556730898222, 558720, 550, 554, 605
1556730898235, 558733, 558, 532, 609
1556730898248, 558746, 567, 524, 617
1556730898261, 558759, 565, 533, 623
1556730898275, 558772, 559, 543, 624
1556730898287, 558785, 553, 551, 623
1556730898301, 558798, 548, 550, 618
1556730898314, 558812, 548, 537, 606
1556730898327, 558824, 553, 522, 601
1556730898341, 558837, 557, 517, 603
1556730898353, 558851, 556, 521, 607
1556730898366, 558864, 551, 527, 612
1556730898379, 558876, 548, 529, 612
1556730898393, 558889, 547, 523, 610
1556730898406, 558903, 550, 516, 608
1556730898419, 558916, 549, 514, 607
1556730898432, 558929, 550, 509, 606
1556730898444, 558942, 549, 510, 606
1556730898458, 558955, 548, 512, 606
1556730898470, 558968, 547, 516, 606
1556730898484, 558982, 545, 518, 607
1556730898497, 558994, 544, 521, 609
1556730898510, 559007, 544, 519, 610
1556730898523, 559021, 545, 516, 610
1556730898537, 559034, 547, 511, 608
1556730898549, 559046, 547, 509, 606
1556730898563, 559059, 546, 507, 603
1556730898576, 559073, 547, 506, 602
1556730898588, 559086, 547, 507, 600
