Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1556730820417, 480916, 497, 516, 615
1556730820430, 480929, 498, 514, 615
1556730820443, 480943, 498, 513, 614
1556730820456, 480955, 496, 515, 613
1556730820470, 480968, 495, 517, 612
1556730820482, 480982, 494, 518, 611
1556730820496, 480995, 495, 518, 612
1556730820509, 481008, 496, 516, 613
1556730820521, 481020, 496, 515, 612
1556730820535, 481034, 497, 514, 616
1556730820548, 481047, 497, 515, 616
1556730820561, 481060, 495, 517, 614
1556730820574, 481073, 496, 517, 612
1556730820587, 481086, 496, 516, 612
1556730820602, 481099, 496, 516, 613
1556730820613, 481113, 497, 514, 616
1556730820627, 481125, 498, 513, 617
1556730820639, 481138, 497, 513, 615
1556730820653, 481152, 497, 514, 612
1556730820666, 481165, 496, 513, 611
1556730820679, 481177, 497, 512, 610
1556730820691, 481190, 497, 511, 608
1556730820704, 481204, 497, 512, 608
1556730820717, 481217, 498, 511, 608
1556730820731, 481229, 499, 511, 606
1556730820744, 481243, 501, 512, 603
1556730820758, 481256, 500, 512, 600
1556730820770, 481269, 504, 510, 595
1556730820784, 481282, 507, 505, 586
1556730820797, 481295, 504, 507, 577
1556730820809, 481308, 497, 524, 573
1556730820822, 481321, 487, 546, 571
1556730820835, 481335, 481, 565, 569
1556730820849, 481347, 474, 585, 570
1556730820862, 481360, 467, 606, 571
1556730820875, 481374, 466, 603, 576
1556730820887, 481387, 469, 620, 576
1556730820901, 481399, 479, 608, 599
1556730820914, 481413, 484, 583, 593
1556730820927, 481426, 492, 567, 586
1556730820941, 481439, 489, 590, 605
1556730820953, 481452, 489, 605, 609
1556730820966, 481465, 497, 607, 621
1556730820979, 481478, 514, 599, 651
1556730820993, 481491, 532, 594, 686
1556730821005, 481504, 539, 597, 720
1556730821019, 481517, 547, 603, 738
1556730821032, 481530, 560, 612, 752
1556730821045, 481544, 577, 604, 758
1556730821058, 481556, 593, 573, 751
1556730821070, 481569, 609, 528, 738
1556730821084, 481583, 620, 498, 731
1556730821097, 481596, 626, 483, 713
1556730821110, 481609, 620, 472, 687
1556730821122, 481622, 620, 470, 675
1556730821136, 481635, 618, 477, 677
1556730821149, 481648, 619, 474, 676
1556730821162, 481661, 619, 465, 667
1556730821175, 481674, 618, 451, 655
1556730821188, 481687, 615, 444, 644
1556730821202, 481700, 610, 447, 637
1556730821214, 481714, 606, 455, 637
1556730821227, 481726, 605, 461, 637
1556730821241, 481739, 604, 455, 634
1556730821253, 481753, 604, 444, 632
1556730821266, 481766, 601, 436, 633
1556730821281, 481778, 609, 419, 618
1556730821293, 481792, 613, 409, 600
1556730821305, 481805, 610, 400, 586
1556730821319, 481818, 601, 399, 576
1556730821333, 481830, 590, 401, 577
1556730821345, 481844, 583, 402, 580
1556730821359, 481857, 578, 403, 581
1556730821372, 481870, 571, 413, 583
1556730821384, 481883, 569, 423, 579
1556730821397, 481896, 562, 431, 572
1556730821411, 481909, 559, 432, 563
1556730821424, 481923, 560, 426, 556
1556730821437, 481936, 561, 425, 555
1556730821450, 481948, 564, 427, 558
1556730821462, 481961, 567, 430, 567
1556730821476, 481975, 569, 434, 566
1556730821488, 481988, 571, 439, 567
1556730821502, 482000, 562, 451, 565
1556730821514, 482014, 558, 464, 559
1556730821528, 482027, 555, 474, 543
1556730821547, 482040, 548, 484, 531
1556730821563, 482053, 545, 489, 521
1556730821570, 482066, 540, 498, 517
1556730821584, 482079, 535, 510, 520
1556730821593, 482093, 531, 516, 526
1556730821608, 482105, 527, 524, 530
1556730821620, 482118, 522, 535, 536
1556730821633, 482131, 515, 544, 532
1556730821647, 482145, 510, 543, 522
1556730821659, 482157, 503, 546, 519
1556730821671, 482170, 495, 560, 526
1556730821685, 482184, 490, 571, 530
1556730821698, 482197, 478, 582, 545
1556730821711, 482210, 470, 580, 563
1556730821725, 482223, 465, 576, 570
1556730821737, 482236, 464, 568, 573
1556730821750, 482249, 466, 553, 575
1556730821764, 482263, 477, 543, 574
1556730821777, 482275, 484, 540, 567
1556730821789, 482288, 482, 546, 565
1556730821803, 482301, 476, 563, 572
1556730821816, 482315, 463, 591, 588
1556730821829, 482327, 455, 615, 607
1556730821841, 482340, 453, 623, 623
1556730821855, 482354, 454, 604, 623
1556730821868, 482367, 455, 587, 618
1556730821881, 482379, 459, 581, 624
1556730821893, 482393, 465, 590, 645
1556730821907, 482406, 464, 607, 668
1556730821921, 482419, 460, 621, 672
1556730821934, 482432, 454, 621, 664
1556730821946, 482445, 450, 613, 646
1556730821960, 482458, 447, 603, 630
1556730821972, 482471, 449, 593, 629
1556730821986, 482484, 457, 585, 635
1556730821999, 482497, 463, 582, 644
1556730822011, 482510, 469, 580, 649
1556730822025, 482524, 473, 569, 644
1556730822037, 482537, 475, 560, 641
1556730822051, 482549, 476, 554, 642
1556730822064, 482563, 477, 554, 640
1556730822077, 482576, 482, 552, 644
1556730822091, 482589, 491, 541, 652
1556730822103, 482601, 498, 528, 655
1556730822116, 482615, 496, 514, 653
1556730822130, 482628, 492, 517, 651
1556730822142, 482641, 486, 523, 645
1556730822155, 482654, 483, 521, 642
1556730822168, 482667, 486, 521, 647
1556730822181, 482680, 493, 513, 659
1556730822195, 482694, 500, 498, 665
1556730822207, 482706, 500, 479, 650
1556730822221, 482719, 498, 481, 648
1556730822234, 482733, 506, 493, 669
1556730822247, 482746, 507, 475, 657
1556730822260, 482758, 508, 464, 648
1556730822273, 482771, 509, 468, 653
1556730822286, 482785, 507, 472, 647
1556730822300, 482798, 504, 466, 639
1556730822312, 482810, 506, 460, 636
