Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1556730837549, 498048, 480, 522, 612
1556730837562, 498061, 480, 522, 612
1556730837575, 498074, 481, 521, 612
1556730837588, 498086, 480, 522, 611
1556730837601, 498100, 480, 523, 608
1556730837615, 498113, 479, 524, 608
1556730837628, 498126, 479, 524, 610
1556730837640, 498140, 479, 524, 612
1556730837654, 498152, 481, 522, 613
1556730837668, 498165, 482, 521, 612
1556730837679, 498179, 481, 522, 610
1556730837693, 498192, 479, 523, 611
1556730837706, 498204, 479, 523, 612
1556730837719, 498217, 480, 521, 610
1556730837732, 498231, 479, 519, 607
1556730837746, 498244, 480, 519, 608
1556730837758, 498256, 479, 523, 612
1556730837772, 498270, 480, 524, 615
1556730837784, 498283, 481, 521, 616
1556730837798, 498296, 481, 519, 613
1556730837810, 498309, 480, 519, 608
1556730837824, 498322, 479, 519, 607
1556730837837, 498335, 478, 521, 610
1556730837849, 498349, 479, 521, 612
1556730837863, 498361, 480, 520, 613
1556730837876, 498374, 480, 521, 613
1556730837888, 498387, 480, 522, 612
1556730837902, 498401, 480, 523, 610
1556730837915, 498414, 480, 522, 612
1556730837928, 498426, 481, 521, 617
1556730837941, 498440, 481, 520, 619
1556730837954, 498453, 480, 518, 617
1556730837968, 498466, 478, 514, 614
1556730837980, 498479, 476, 506, 613
1556730837994, 498492, 474, 492, 615
1556730838006, 498505, 475, 485, 618
1556730838020, 498519, 473, 483, 616
1556730838032, 498531, 467, 504, 615
1556730838046, 498544, 466, 535, 614
1556730838058, 498557, 463, 573, 615
1556730838072, 498571, 455, 625, 619
1556730838084, 498583, 441, 681, 626
1556730838098, 498596, 434, 703, 619
1556730838110, 498610, 444, 691, 604
1556730838124, 498623, 459, 666, 584
1556730838138, 498635, 469, 654, 571
1556730838150, 498649, 481, 657, 569
1556730838164, 498662, 488, 672, 567
1556730838177, 498675, 478, 712, 566
1556730838189, 498689, 478, 737, 571
1556730838203, 498701, 492, 724, 568
1556730838216, 498714, 517, 679, 550
1556730838229, 498727, 544, 625, 539
1556730838242, 498741, 568, 575, 550
1556730838255, 498753, 585, 512, 569
1556730838268, 498766, 599, 448, 593
1556730838281, 498780, 601, 425, 611
1556730838294, 498793, 588, 424, 609
1556730838307, 498805, 581, 417, 590
1556730838321, 498819, 569, 417, 566
1556730838333, 498832, 561, 390, 561
1556730838346, 498845, 581, 343, 577
1556730838359, 498857, 606, 297, 608
1556730838372, 498871, 644, 230, 642
1556730838385, 498884, 673, 167, 654
1556730838398, 498897, 657, 166, 631
1556730838413, 498910, 623, 222, 614
1556730838425, 498923, 614, 271, 618
1556730838438, 498936, 617, 296, 631
1556730838451, 498950, 623, 297, 644
1556730838463, 498963, 637, 281, 661
1556730838478, 498975, 656, 285, 677
1556730838491, 498989, 667, 313, 675
1556730838503, 499002, 682, 347, 671
1556730838516, 499015, 685, 395, 664
1556730838530, 499027, 694, 436, 664
1556730838543, 499041, 698, 502, 669
1556730838555, 499054, 687, 588, 692
