Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1556730913746, 574243, 502, 549, 611
1556730913760, 574256, 502, 548, 609
1556730913772, 574269, 503, 544, 609
1556730913785, 574282, 502, 540, 609
1556730913798, 574296, 503, 539, 610
1556730913811, 574308, 504, 539, 610
1556730913825, 574321, 504, 539, 609
1556730913837, 574334, 503, 541, 608
1556730913850, 574348, 503, 541, 610
1556730913863, 574360, 502, 541, 610
1556730913877, 574373, 502, 540, 610
1556730913889, 574387, 503, 536, 607
1556730913903, 574400, 504, 536, 606
1556730913916, 574412, 503, 541, 606
1556730913928, 574426, 501, 539, 607
1556730913941, 574439, 500, 537, 612
1556730913954, 574452, 501, 534, 614
1556730913968, 574466, 496, 530, 607
1556730913981, 574478, 491, 529, 600
1556730913994, 574491, 488, 521, 600
1556730914007, 574504, 493, 501, 599
1556730914021, 574518, 501, 452, 603
1556730914034, 574530, 511, 386, 648
1556730914047, 574543, 530, 331, 732
1556730914059, 574557, 540, 323, 777
1556730914073, 574570, 540, 383, 722
1556730914086, 574582, 545, 488, 635
1556730914100, 574596, 550, 651, 564
1556730914112, 574609, 536, 822, 504
1556730914124, 574622, 497, 942, 484
1556730914139, 574635, 494, 945, 523
1556730914152, 574648, 511, 850, 526
1556730914164, 574661, 522, 736, 495
1556730914177, 574674, 529, 584, 455
1556730914190, 574687, 536, 394, 480
1556730914204, 574700, 541, 219, 615
1556730914216, 574713, 566, 104, 806
1556730914229, 574727, 582, 79, 879
1556730914243, 574739, 579, 170, 785
1556730914256, 574752, 594, 357, 672
1556730914269, 574766, 577, 633, 588
1556730914282, 574779, 527, 865, 541
1556730914295, 574792, 490, 985, 520
1556730914308, 574804, 468, 983, 482
1556730914320, 574818, 485, 863, 459
1556730914334, 574831, 496, 737, 510
1556730914347, 574844, 525, 553, 592
1556730914360, 574857, 549, 330, 677
1556730914373, 574870, 577, 138, 763
1556730914386, 574883, 584, 57, 783
1556730914400, 574897, 590, 74, 731
1556730914412, 574909, 609, 202, 656
1556730914426, 574922, 613, 450, 568
1556730914438, 574936, 565, 752, 515
1556730914451, 574949, 496, 935, 489
1556730914465, 574961, 469, 981, 509
1556730914480, 574974, 487, 937, 540
1556730914491, 574988, 490, 856, 538
1556730914504, 575001, 507, 725, 564
1556730914516, 575013, 535, 540, 620
1556730914531, 575027, 564, 329, 661
1556730914544, 575040, 575, 156, 696
1556730914556, 575053, 576, 49, 710
1556730914568, 575066, 579, 42, 690
1556730914582, 575079, 595, 167, 656
1556730914595, 575092, 607, 398, 599
1556730914609, 575106, 572, 680, 560
1556730914621, 575118, 519, 889, 550
1556730914635, 575131, 475, 987, 552
1556730914647, 575144, 466, 988, 580
1556730914661, 575158, 489, 919, 591
1556730914674, 575170, 500, 811, 566
1556730914687, 575183, 520, 629, 569
1556730914699, 575197, 556, 400, 602
1556730914715, 575210, 576, 190, 659
1556730914726, 575222, 586, 31, 698
1556730914739, 575236, 607, 4, 687
1556730914752, 575249, 623, 7, 633
1556730914765, 575262, 639, 218, 581
1556730914779, 575275, 620, 547, 557
1556730914791, 575288, 546, 849, 559
1556730914803, 575301, 480, 1000, 569
1556730914818, 575314, 462, 1018, 590
1556730914830, 575327, 487, 957, 614
1556730914843, 575340, 501, 875, 594
1556730914857, 575353, 513, 758, 580
1556730914869, 575367, 550, 568, 596
1556730914883, 575379, 586, 325, 597
1556730914895, 575392, 597, 104, 610
1556730914909, 575406, 589, 7, 645
1556730914922, 575419, 593, 4, 645
1556730914934, 575431, 613, 81, 610
1556730914948, 575444, 622, 334, 583
1556730914960, 575458, 587, 664, 585
1556730914974, 575471, 510, 916, 603
1556730914987, 575483, 459, 1009, 612
1556730915001, 575497, 465, 975, 624
