Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557165208848, 260981, 535, 419, 576
1557165208860, 260995, 535, 419, 576
1557165208874, 261008, 535, 419, 575
1557165208886, 261021, 535, 419, 575
1557165208899, 261033, 535, 419, 576
1557165208913, 261047, 535, 419, 576
1557165208926, 261060, 535, 419, 575
1557165208939, 261073, 535, 419, 575
1557165208951, 261086, 535, 419, 576
1557165208966, 261099, 535, 419, 576
1557165208978, 261112, 535, 419, 576
1557165208990, 261126, 535, 419, 576
1557165209004, 261139, 535, 419, 576
1557165209018, 261151, 535, 419, 576
1557165209031, 261165, 535, 419, 576
1557165209044, 261178, 535, 419, 575
1557165209056, 261191, 535, 419, 576
1557165209069, 261203, 535, 419, 576
1557165209083, 261217, 535, 419, 576
1557165209095, 261230, 535, 419, 575
1557165209109, 261243, 535, 419, 575
1557165209121, 261256, 535, 419, 576
1557165209135, 261269, 535, 419, 576
1557165209149, 261282, 535, 419, 576
1557165209163, 261296, 535, 419, 575
1557165209173, 261308, 535, 419, 576
1557165209187, 261321, 535, 419, 576
1557165209201, 261335, 535, 419, 576
1557165209213, 261348, 535, 419, 576
1557165209226, 261360, 535, 419, 576
1557165209240, 261373, 535, 419, 576
1557165209252, 261387, 535, 419, 576
1557165209266, 261400, 535, 419, 576
1557165209279, 261412, 535, 419, 576
1557165209291, 261426, 535, 419, 576
1557165209305, 261439, 535, 419, 576
1557165209318, 261452, 535, 419, 576
1557165209330, 261465, 535, 419, 576
1557165209344, 261478, 535, 419, 576
1557165209357, 261491, 535, 419, 576
1557165209370, 261505, 535, 419, 576
1557165209384, 261518, 535, 419, 576
1557165209396, 261530, 535, 419, 576
1557165209409, 261543, 535, 419, 576
1557165209422, 261557, 535, 419, 576
1557165209435, 261570, 535, 419, 576
1557165209449, 261582, 535, 419, 575
1557165209461, 261596, 535, 419, 575
1557165209475, 261609, 535, 419, 576
1557165209487, 261622, 535, 419, 576
1557165209501, 261635, 535, 419, 576
1557165209513, 261648, 535, 419, 576
1557165209529, 261661, 535, 419, 576
1557165209540, 261675, 535, 419, 576
