Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557164836655, 192387, 489, 501, 614
1557164836668, 192400, 489, 501, 615
1557164836681, 192413, 489, 500, 614
1557164836694, 192427, 489, 501, 614
1557164836708, 192439, 489, 501, 613
1557164836720, 192452, 489, 500, 613
1557164836734, 192465, 489, 501, 615
1557164836746, 192479, 488, 502, 614
1557164836759, 192491, 487, 502, 613
1557164836772, 192504, 487, 503, 613
1557164836785, 192518, 487, 502, 614
1557164836799, 192531, 488, 501, 615
1557164836812, 192543, 489, 501, 615
1557164836825, 192557, 489, 501, 614
1557164836838, 192570, 488, 501, 613
1557164836851, 192583, 488, 501, 612
1557164836864, 192595, 488, 502, 612
1557164836877, 192609, 488, 502, 612
1557164836890, 192622, 487, 502, 613
1557164836904, 192635, 487, 502, 615
1557164836917, 192648, 488, 500, 617
1557164836930, 192661, 488, 499, 617
1557164836942, 192674, 487, 500, 614
1557164836956, 192688, 487, 499, 612
1557164836969, 192700, 485, 498, 613
1557164836982, 192713, 485, 491, 616
1557164836995, 192727, 490, 478, 618
1557164837008, 192740, 493, 467, 626
1557164837021, 192753, 496, 457, 630
1557164837034, 192765, 504, 440, 641
1557164837048, 192779, 512, 428, 652
1557164837060, 192792, 522, 414, 654
1557164837074, 192805, 529, 410, 644
1557164837086, 192818, 535, 407, 629
1557164837100, 192831, 541, 403, 623
1557164837112, 192844, 546, 400, 619
1557164837125, 192858, 553, 397, 615
1557164837139, 192870, 567, 389, 618
1557164837152, 192883, 585, 383, 620
1557164837164, 192897, 601, 386, 620
1557164837178, 192910, 608, 403, 619
1557164837190, 192922, 610, 427, 615
1557164837204, 192935, 607, 455, 606
1557164837217, 192949, 602, 481, 594
1557164837231, 192962, 593, 504, 582
1557164837243, 192974, 597, 517, 581
1557164837256, 192988, 597, 534, 584
1557164837269, 193001, 585, 543, 579
1557164837282, 193014, 580, 547, 582
1557164837297, 193027, 581, 549, 588
1557164837309, 193040, 586, 547, 598
1557164837321, 193053, 593, 546, 611
1557164837335, 193067, 600, 550, 631
1557164837348, 193080, 608, 550, 642
1557164837360, 193092, 615, 553, 648
1557164837373, 193105, 615, 563, 645
1557164837387, 193119, 610, 580, 639
1557164837400, 193132, 608, 591, 629
1557164837413, 193144, 616, 591, 624
1557164837426, 193158, 617, 597, 630
1557164837439, 193171, 606, 627, 645
1557164837452, 193184, 591, 676, 671
1557164837465, 193197, 575, 720, 695
1557164837478, 193210, 553, 762, 713
