Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557165519911, 572040, 506, 614, 500
1557165519925, 572052, 507, 613, 501
1557165519937, 572065, 508, 612, 501
1557165519950, 572079, 508, 611, 501
1557165519963, 572092, 508, 609, 502
1557165519977, 572104, 509, 607, 502
1557165519990, 572118, 510, 606, 501
1557165520003, 572131, 509, 606, 499
1557165520016, 572144, 508, 608, 501
1557165520030, 572156, 509, 612, 502
1557165520042, 572170, 509, 614, 503
1557165520054, 572183, 508, 615, 503
1557165520068, 572196, 508, 614, 501
1557165520081, 572209, 508, 613, 501
1557165520094, 572222, 508, 611, 500
1557165520108, 572235, 508, 610, 500
1557165520120, 572249, 508, 612, 500
1557165520133, 572262, 508, 612, 501
1557165520147, 572274, 509, 612, 501
1557165520159, 572288, 509, 610, 501
1557165520173, 572301, 508, 609, 500
1557165520187, 572314, 507, 609, 498
1557165520199, 572326, 506, 608, 497
1557165520212, 572340, 507, 606, 497
1557165520224, 572353, 508, 606, 498
1557165520238, 572366, 509, 607, 499
1557165520251, 572379, 508, 608, 499
1557165520264, 572392, 509, 604, 499
1557165520277, 572405, 511, 599, 500
1557165520290, 572419, 512, 596, 499
1557165520303, 572431, 513, 593, 499
1557165520316, 572444, 515, 591, 501
1557165520329, 572457, 517, 588, 502
1557165520343, 572471, 519, 588, 500
1557165520356, 572483, 518, 585, 499
1557165520368, 572496, 517, 584, 499
1557165520381, 572510, 517, 583, 499
1557165520395, 572523, 516, 583, 502
1557165520407, 572536, 518, 583, 504
1557165520421, 572549, 516, 580, 507
1557165520434, 572562, 514, 578, 508
1557165520446, 572575, 513, 571, 511
1557165520460, 572589, 512, 566, 509
1557165520473, 572601, 511, 561, 508
1557165520486, 572614, 510, 555, 505
1557165520499, 572627, 510, 550, 504
1557165520512, 572641, 508, 548, 505
1557165520526, 572653, 511, 547, 508
1557165520538, 572666, 514, 552, 512
1557165520552, 572680, 518, 558, 512
1557165520565, 572693, 525, 565, 509
1557165520578, 572705, 525, 580, 505
1557165520590, 572719, 519, 601, 501
1557165520603, 572732, 519, 624, 490
1557165520617, 572745, 510, 656, 484
1557165520630, 572758, 490, 693, 488
1557165520643, 572771, 477, 727, 485
1557165520657, 572784, 466, 752, 471
1557165520669, 572797, 465, 771, 455
1557165520682, 572810, 470, 808, 444
1557165520695, 572823, 478, 844, 440
1557165520710, 572836, 495, 868, 449
1557165520722, 572850, 514, 869, 465
1557165520735, 572863, 540, 842, 468
1557165520747, 572875, 557, 806, 463
1557165520761, 572889, 563, 771, 463
1557165520773, 572902, 565, 739, 470
1557165520786, 572915, 561, 716, 479
1557165520799, 572928, 555, 698, 485
1557165520812, 572941, 551, 680, 488
1557165520826, 572954, 541, 663, 491
1557165520840, 572967, 532, 643, 489
1557165520852, 572980, 523, 622, 489
1557165520865, 572993, 519, 601, 487
1557165520879, 573006, 517, 581, 485
1557165520891, 573020, 523, 558, 487
1557165520905, 573032, 531, 530, 488
1557165520917, 573045, 536, 503, 488
1557165520931, 573059, 542, 484, 494
1557165520943, 573072, 542, 471, 504
1557165520957, 573084, 540, 469, 512
1557165520969, 573097, 538, 471, 516
