Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557164910692, 266422, 486, 517, 613
1557164910705, 266435, 486, 519, 613
1557164910718, 266448, 485, 519, 613
1557164910731, 266462, 486, 519, 613
1557164910744, 266474, 486, 520, 611
1557164910756, 266487, 485, 520, 612
1557164910771, 266501, 486, 519, 614
1557164910783, 266514, 487, 519, 615
1557164910796, 266526, 487, 519, 615
1557164910809, 266540, 486, 519, 612
1557164910823, 266553, 485, 520, 610
1557164910835, 266566, 485, 521, 609
1557164910849, 266578, 486, 520, 608
1557164910861, 266592, 487, 518, 610
1557164910875, 266605, 489, 517, 612
1557164910888, 266618, 489, 517, 612
1557164910901, 266631, 488, 516, 612
1557164910914, 266644, 488, 516, 612
1557164910927, 266657, 488, 516, 612
1557164910940, 266671, 488, 517, 613
1557164910953, 266684, 488, 517, 613
1557164910967, 266696, 488, 517, 612
1557164910980, 266710, 487, 518, 611
1557164910993, 266723, 488, 518, 611
1557164911005, 266736, 487, 517, 611
1557164911019, 266748, 488, 519, 611
1557164911031, 266762, 487, 520, 611
1557164911044, 266775, 486, 520, 612
1557164911057, 266788, 487, 520, 614
1557164911070, 266801, 488, 518, 614
1557164911084, 266814, 488, 517, 612
1557164911097, 266827, 488, 518, 611
1557164911111, 266841, 488, 517, 611
1557164911123, 266853, 487, 519, 611
1557164911136, 266866, 485, 520, 611
1557164911149, 266880, 485, 520, 612
1557164911163, 266893, 487, 519, 612
1557164911175, 266905, 487, 518, 613
1557164911189, 266918, 488, 518, 615
1557164911202, 266932, 487, 519, 614
1557164911215, 266945, 486, 519, 612
1557164911228, 266957, 486, 520, 611
1557164911241, 266971, 486, 520, 611
1557164911253, 266984, 486, 519, 612
1557164911267, 266997, 486, 520, 611
1557164911280, 267011, 486, 520, 611
1557164911293, 267023, 486, 519, 611
1557164911305, 267036, 487, 518, 614
1557164911319, 267049, 488, 518, 615
1557164911332, 267063, 488, 519, 614
1557164911345, 267075, 487, 520, 613
1557164911358, 267088, 487, 519, 613
1557164911372, 267102, 488, 518, 611
1557164911384, 267115, 489, 517, 611
1557164911398, 267127, 489, 516, 612
1557164911410, 267141, 489, 517, 613
1557164911423, 267154, 488, 517, 612
1557164911436, 267167, 487, 519, 611
1557164911450, 267180, 486, 520, 610
1557164911463, 267193, 486, 519, 610
1557164911476, 267206, 487, 518, 611
1557164911490, 267219, 487, 517, 611
1557164911502, 267232, 487, 518, 612
1557164911515, 267245, 486, 520, 611
1557164911527, 267258, 485, 521, 611
1557164911541, 267272, 485, 521, 611
1557164911554, 267284, 486, 520, 612
1557164911568, 267297, 486, 520, 612
1557164911581, 267311, 486, 519, 611
1557164911593, 267324, 487, 517, 610
1557164911606, 267337, 487, 518, 612
1557164911619, 267350, 487, 519, 613
1557164911633, 267363, 486, 519, 613
1557164911645, 267376, 487, 519, 612
1557164911658, 267389, 487, 518, 612
1557164911671, 267402, 487, 518, 612
1557164911684, 267415, 487, 518, 611
1557164911698, 267428, 487, 519, 612
1557164911712, 267442, 487, 518, 614
1557164911724, 267454, 488, 518, 614
1557164911736, 267467, 488, 519, 614
1557164911751, 267481, 487, 519, 614
1557164911764, 267494, 487, 518, 613
1557164911776, 267506, 488, 518, 613
1557164911789, 267520, 487, 519, 611
1557164911802, 267533, 486, 520, 609
1557164911816, 267546, 486, 521, 611
1557164911829, 267558, 486, 520, 611
1557164911841, 267572, 487, 519, 611
