Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557165438340, 490469, 496, 480, 409
1557165438352, 490481, 496, 475, 408
1557165438365, 490494, 493, 468, 401
1557165438378, 490508, 488, 462, 399
1557165438392, 490521, 484, 461, 395
1557165438404, 490533, 484, 458, 388
1557165438417, 490547, 480, 456, 378
1557165438431, 490560, 478, 456, 363
1557165438443, 490573, 473, 460, 347
1557165438456, 490587, 473, 463, 332
1557165438469, 490599, 473, 463, 318
1557165438483, 490612, 481, 458, 320
1557165438496, 490626, 489, 458, 329
1557165438508, 490639, 491, 470, 335
1557165438522, 490651, 489, 483, 342
1557165438534, 490664, 491, 485, 344
1557165438547, 490678, 494, 477, 349
1557165438561, 490691, 496, 471, 355
1557165438574, 490703, 495, 469, 364
1557165438588, 490717, 494, 470, 375
1557165438600, 490730, 499, 471, 386
1557165438613, 490743, 494, 480, 393
1557165438627, 490756, 490, 480, 400
1557165438639, 490769, 497, 491, 401
1557165438652, 490782, 501, 505, 391
1557165438665, 490796, 496, 518, 361
1557165438679, 490808, 485, 514, 346
1557165438692, 490821, 485, 501, 357
1557165438705, 490834, 493, 498, 393
1557165438719, 490848, 502, 498, 425
1557165438731, 490861, 503, 516, 457
1557165438745, 490873, 515, 537, 489
1557165438757, 490887, 519, 562, 498
1557165438770, 490900, 523, 575, 482
1557165438784, 490913, 511, 584, 455
1557165438796, 490926, 499, 594, 428
1557165438810, 490939, 487, 604, 405
1557165438822, 490952, 482, 597, 402
1557165438835, 490966, 491, 581, 418
1557165438849, 490978, 499, 587, 442
1557165438863, 490991, 512, 614, 464
1557165438875, 491004, 520, 637, 472
1557165438887, 491018, 526, 635, 463
1557165438900, 491030, 519, 619, 445
1557165438914, 491043, 512, 607, 419
1557165438926, 491057, 501, 600, 407
1557165438940, 491070, 502, 595, 410
1557165438953, 491082, 510, 601, 424
1557165438966, 491096, 523, 617, 444
1557165438980, 491109, 537, 635, 467
1557165438992, 491122, 546, 642, 482
1557165439005, 491136, 550, 634, 488
1557165439018, 491148, 559, 621, 500
1557165439031, 491161, 569, 598, 510
1557165439045, 491174, 592, 574, 540
1557165439058, 491188, 619, 536, 571
1557165439071, 491200, 642, 502, 597
1557165439084, 491213, 649, 472, 622
1557165439097, 491227, 662, 425, 640
1557165439110, 491240, 659, 385, 621
1557165439122, 491252, 640, 337, 590
1557165439136, 491266, 635, 258, 588
1557165439149, 491279, 638, 190, 597
1557165439163, 491292, 625, 177, 586
1557165439175, 491304, 602, 180, 569
1557165439188, 491318, 593, 178, 571
1557165439201, 491331, 591, 167, 585
1557165439214, 491344, 595, 170, 598
1557165439228, 491357, 594, 193, 597
1557165439241, 491370, 598, 206, 591
1557165439253, 491383, 606, 210, 577
1557165439266, 491397, 619, 218, 563
1557165439280, 491410, 626, 255, 540
1557165439293, 491422, 631, 305, 520
1557165439305, 491436, 639, 347, 506
1557165439319, 491449, 640, 385, 494
1557165439332, 491462, 644, 417, 474
1557165439345, 491474, 650, 445, 454
1557165439358, 491488, 663, 490, 426
1557165439371, 491501, 669, 532, 399
1557165439384, 491514, 661, 580, 375
1557165439397, 491527, 655, 616, 358
1557165439410, 491540, 642, 656, 335
1557165439424, 491553, 617, 691, 311
1557165439436, 491567, 613, 708, 317
1557165439450, 491579, 612, 710, 326
1557165439462, 491592, 607, 715, 313
1557165439476, 491606, 587, 756, 288
1557165439490, 491619, 555, 812, 270
1557165439502, 491631, 530, 856, 279
1557165439515, 491644, 528, 889, 320
1557165439528, 491658, 525, 922, 360
1557165439542, 491671, 517, 919, 373
1557165439554, 491683, 529, 860, 350
1557165439567, 491697, 547, 783, 322
1557165439580, 491710, 575, 698, 317
1557165439593, 491723, 607, 628, 338
1557165439606, 491737, 626, 589, 365
1557165439619, 491749, 638, 570, 389
1557165439633, 491762, 644, 528, 393
1557165439645, 491776, 653, 421, 383
1557165439659, 491789, 677, 263, 368
1557165439672, 491801, 666, 134, 337
1557165439685, 491814, 609, 132, 313
1557165439698, 491828, 563, 225, 331
1557165439710, 491841, 545, 326, 366
1557165439725, 491853, 538, 379, 382
1557165439737, 491867, 549, 393, 380
1557165439750, 491880, 557, 388, 354
1557165439764, 491893, 547, 375, 326
1557165439777, 491906, 546, 356, 314
1557165439790, 491919, 540, 356, 323
1557165439802, 491932, 534, 380, 351
1557165439816, 491945, 532, 411, 388
1557165439829, 491958, 535, 444, 422
