Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557165135227, 187363, 488, 518, 608
1557165135241, 187376, 487, 519, 610
1557165135253, 187388, 486, 520, 613
1557165135267, 187402, 487, 519, 615
1557165135279, 187415, 488, 518, 614
1557165135292, 187428, 488, 518, 612
1557165135305, 187441, 488, 518, 611
1557165135318, 187454, 488, 518, 610
1557165135332, 187467, 488, 518, 612
1557165135345, 187481, 488, 518, 614
1557165135357, 187494, 488, 518, 615
1557165135370, 187506, 488, 517, 616
1557165135383, 187520, 488, 518, 614
1557165135397, 187533, 488, 518, 612
1557165135410, 187546, 489, 518, 613
1557165135423, 187558, 489, 517, 612
1557165135436, 187572, 489, 517, 612
1557165135449, 187585, 489, 517, 613
1557165135463, 187598, 489, 517, 612
1557165135475, 187611, 489, 518, 612
1557165135488, 187624, 489, 518, 612
1557165135501, 187637, 489, 519, 611
1557165135514, 187651, 488, 518, 611
1557165135528, 187663, 489, 518, 612
1557165135540, 187676, 490, 518, 611
1557165135554, 187689, 489, 518, 611
1557165135566, 187703, 488, 519, 611
1557165135580, 187715, 489, 518, 612
1557165135593, 187728, 491, 517, 613
1557165135606, 187742, 491, 516, 613
1557165135619, 187755, 490, 516, 614
1557165135631, 187767, 490, 516, 614
1557165135645, 187781, 489, 518, 613
1557165135658, 187794, 488, 519, 612
1557165135671, 187807, 489, 518, 612
1557165135684, 187821, 489, 517, 612
1557165135697, 187833, 490, 516, 613
1557165135711, 187846, 489, 516, 613
1557165135724, 187859, 489, 517, 614
1557165135737, 187873, 488, 518, 613
1557165135749, 187885, 488, 518, 612
1557165135763, 187898, 488, 517, 613
1557165135775, 187912, 489, 517, 613
1557165135789, 187925, 489, 516, 612
1557165135802, 187937, 489, 516, 612
1557165135815, 187951, 489, 516, 613
1557165135828, 187964, 488, 518, 613
1557165135841, 187977, 488, 519, 613
1557165135854, 187990, 487, 518, 612
1557165135868, 188003, 488, 517, 611
1557165135881, 188016, 489, 516, 610
1557165135894, 188029, 488, 517, 611
1557165135906, 188042, 488, 518, 611
1557165135919, 188055, 488, 518, 611
1557165135933, 188068, 488, 518, 611
1557165135946, 188082, 488, 517, 612
1557165135959, 188095, 488, 516, 612
1557165135971, 188107, 489, 516, 611
1557165135985, 188121, 489, 516, 610
1557165135999, 188134, 489, 516, 610
1557165136011, 188147, 489, 516, 611
1557165136024, 188160, 489, 517, 613
1557165136038, 188173, 489, 518, 613
1557165136050, 188186, 489, 516, 613
1557165136063, 188199, 491, 515, 614
1557165136077, 188212, 490, 516, 613
1557165136089, 188225, 489, 517, 613
1557165136103, 188238, 488, 518, 612
1557165136115, 188252, 487, 518, 612
1557165136128, 188264, 489, 518, 612
1557165136141, 188277, 489, 518, 612
1557165136155, 188291, 489, 518, 613
1557165136168, 188304, 489, 518, 614
1557165136182, 188316, 488, 518, 614
1557165136195, 188329, 488, 519, 614
1557165136207, 188343, 488, 518, 614
1557165136221, 188356, 489, 518, 613
1557165136233, 188369, 489, 517, 611
1557165136247, 188382, 489, 517, 610
1557165136259, 188395, 487, 519, 610
1557165136271, 188408, 487, 520, 611
1557165136286, 188422, 487, 519, 611
1557165136298, 188434, 488, 518, 612
1557165136312, 188447, 489, 517, 612
1557165136324, 188461, 489, 517, 613
1557165136338, 188474, 489, 517, 612
1557165136351, 188486, 488, 519, 612
1557165136364, 188499, 488, 519, 612
1557165136378, 188513, 488, 518, 612
1557165136390, 188526, 489, 518, 612
1557165136403, 188538, 489, 517, 611
1557165136416, 188552, 489, 517, 612
1557165136430, 188565, 489, 517, 611
1557165136443, 188578, 490, 517, 612
1557165136455, 188591, 489, 517, 613
1557165136468, 188604, 489, 518, 613
1557165136482, 188617, 489, 518, 612
1557165136495, 188631, 489, 517, 612
