Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557165321784, 373915, 487, 495, 412
1557165321797, 373928, 487, 494, 414
1557165321809, 373942, 488, 493, 417
1557165321822, 373954, 488, 493, 418
1557165321835, 373967, 487, 494, 417
1557165321848, 373981, 487, 492, 415
1557165321862, 373994, 487, 491, 415
1557165321876, 374006, 487, 492, 415
1557165321887, 374020, 487, 492, 414
1557165321900, 374033, 487, 492, 416
1557165321914, 374046, 488, 491, 418
1557165321928, 374060, 487, 494, 419
1557165321939, 374072, 485, 497, 415
1557165321953, 374085, 486, 497, 413
1557165321967, 374098, 487, 496, 415
1557165321980, 374112, 487, 495, 416
1557165321992, 374124, 488, 494, 417
1557165322006, 374137, 488, 494, 418
1557165322018, 374151, 488, 494, 417
1557165322031, 374164, 488, 495, 416
1557165322045, 374176, 488, 495, 416
1557165322058, 374190, 488, 495, 416
1557165322070, 374203, 487, 494, 415
1557165322083, 374216, 487, 494, 414
1557165322097, 374228, 487, 495, 414
1557165322111, 374242, 487, 497, 415
1557165322123, 374255, 488, 496, 417
1557165322136, 374268, 489, 495, 419
1557165322150, 374281, 488, 495, 417
1557165322161, 374294, 488, 495, 416
1557165322175, 374307, 488, 494, 416
1557165322188, 374321, 488, 493, 417
1557165322201, 374333, 487, 494, 416
1557165322214, 374346, 487, 495, 416
1557165322228, 374360, 487, 494, 416
1557165322241, 374373, 487, 493, 417
1557165322254, 374386, 487, 491, 416
1557165322267, 374398, 487, 490, 414
1557165322280, 374412, 487, 492, 413
1557165322293, 374425, 487, 492, 413
1557165322306, 374438, 488, 494, 416
1557165322318, 374451, 489, 495, 419
1557165322332, 374464, 489, 494, 420
1557165322345, 374477, 489, 494, 418
1557165322360, 374491, 487, 495, 414
1557165322372, 374503, 486, 497, 414
1557165322384, 374516, 487, 496, 416
1557165322397, 374530, 487, 495, 416
1557165322410, 374543, 487, 494, 416
1557165322423, 374555, 488, 493, 415
1557165322437, 374568, 486, 494, 412
1557165322449, 374582, 486, 494, 411
1557165322463, 374595, 487, 493, 413
1557165322475, 374607, 487, 492, 415
1557165322489, 374621, 487, 493, 417
1557165322501, 374634, 487, 494, 418
1557165322514, 374647, 488, 495, 418
1557165322528, 374660, 488, 494, 418
1557165322541, 374673, 489, 491, 417
1557165322554, 374686, 490, 492, 417
1557165322568, 374700, 488, 495, 417
1557165322581, 374712, 488, 496, 415
1557165322594, 374725, 488, 496, 415
1557165322606, 374738, 487, 497, 415
1557165322619, 374752, 486, 498, 415
1557165322632, 374764, 487, 496, 417
1557165322646, 374777, 488, 494, 419
1557165322659, 374791, 489, 492, 419
1557165322671, 374804, 488, 494, 417
1557165322685, 374817, 487, 495, 416
1557165322697, 374830, 488, 495, 416
1557165322712, 374843, 488, 494, 415
1557165322724, 374856, 488, 494, 413
1557165322737, 374870, 488, 495, 413
1557165322751, 374882, 488, 495, 413
1557165322764, 374895, 488, 494, 415
1557165322777, 374908, 487, 495, 415
1557165322790, 374922, 488, 494, 416
1557165322802, 374934, 488, 496, 417
1557165322815, 374947, 489, 495, 418
1557165322829, 374961, 490, 493, 418
1557165322841, 374974, 489, 493, 414
1557165322855, 374986, 488, 493, 412
1557165322868, 375000, 487, 495, 412
1557165322881, 375013, 486, 494, 415
1557165322893, 375026, 487, 495, 418
1557165322907, 375038, 487, 494, 419
1557165322920, 375052, 488, 493, 418
1557165322933, 375065, 488, 493, 417
1557165322947, 375078, 487, 493, 415
1557165322960, 375092, 487, 494, 413
1557165322972, 375104, 487, 494, 412
1557165322986, 375117, 487, 496, 413
1557165322997, 375131, 487, 497, 416
1557165323012, 375144, 487, 496, 417
1557165323025, 375156, 488, 495, 419
1557165323037, 375170, 488, 495, 416
1557165323051, 375183, 488, 496, 414
1557165323064, 375196, 487, 497, 413
1557165323076, 375208, 487, 499, 411
1557165323090, 375222, 486, 498, 412
