Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557165370418, 422548, 501, 480, 419
1557165370431, 422561, 502, 479, 421
1557165370444, 422575, 504, 479, 423
1557165370456, 422588, 505, 480, 421
1557165370470, 422600, 505, 480, 419
1557165370483, 422614, 505, 479, 416
1557165370496, 422627, 505, 478, 414
1557165370509, 422640, 507, 476, 416
1557165370522, 422653, 507, 476, 417
1557165370535, 422666, 505, 478, 417
1557165370547, 422679, 503, 479, 418
1557165370561, 422692, 504, 480, 421
1557165370574, 422706, 505, 480, 421
1557165370587, 422718, 505, 479, 419
1557165370601, 422731, 504, 478, 416
1557165370613, 422745, 503, 479, 414
1557165370626, 422758, 503, 480, 416
1557165370639, 422770, 504, 480, 420
1557165370653, 422784, 505, 482, 420
1557165370665, 422797, 503, 483, 416
1557165370679, 422810, 504, 483, 412
1557165370692, 422822, 503, 482, 408
1557165370705, 422836, 503, 485, 408
1557165370717, 422849, 503, 494, 407
1557165370731, 422862, 497, 507, 401
1557165370744, 422875, 479, 529, 385
1557165370756, 422888, 466, 557, 373
1557165370770, 422901, 457, 574, 368
1557165370784, 422915, 455, 575, 364
1557165370797, 422927, 460, 558, 358
1557165370810, 422940, 473, 529, 346
1557165370822, 422953, 487, 496, 333
1557165370835, 422967, 503, 463, 324
1557165370848, 422979, 518, 441, 324
1557165370862, 422992, 525, 439, 331
1557165370874, 423006, 532, 452, 350
1557165370888, 423019, 547, 473, 382
1557165370902, 423032, 579, 471, 433
1557165370914, 423045, 628, 436, 501
1557165370927, 423058, 677, 345, 547
1557165370940, 423071, 730, 217, 587
1557165370952, 423085, 770, 102, 564
1557165370966, 423097, 736, 63, 478
1557165370979, 423110, 689, 117, 431
1557165370993, 423123, 688, 193, 472
1557165371006, 423137, 698, 260, 529
1557165371019, 423149, 708, 290, 568
1557165371031, 423162, 712, 287, 572
1557165371045, 423176, 724, 272, 572
1557165371057, 423189, 748, 283, 582
1557165371070, 423201, 763, 312, 587
1557165371084, 423215, 781, 362, 579
1557165371097, 423228, 792, 432, 566
1557165371110, 423241, 797, 508, 555
1557165371123, 423254, 802, 574, 543
1557165371136, 423267, 797, 619, 501
1557165371149, 423280, 791, 603, 438
1557165371162, 423293, 760, 602, 388
1557165371175, 423306, 717, 649, 371
1557165371188, 423319, 705, 730, 410
1557165371201, 423332, 693, 825, 461
1557165371214, 423346, 643, 920, 502
1557165371228, 423359, 583, 935, 469
1557165371240, 423371, 537, 916, 434
1557165371254, 423385, 528, 854, 392
1557165371266, 423398, 526, 842, 375
1557165371280, 423411, 524, 849, 394
1557165371293, 423424, 526, 866, 424
1557165371306, 423437, 514, 896, 457
1557165371318, 423450, 493, 953, 476
1557165371332, 423463, 489, 964, 461
1557165371346, 423476, 517, 914, 459
1557165371358, 423489, 579, 825, 453
1557165371371, 423502, 611, 747, 435
1557165371385, 423516, 614, 724, 423
1557165371397, 423528, 632, 744, 441
1557165371411, 423541, 652, 767, 454
1557165371423, 423555, 701, 742, 441
1557165371437, 423568, 797, 600, 421
1557165371449, 423580, 900, 390, 411
1557165371463, 423593, 890, 205, 367
1557165371477, 423607, 831, 117, 341
1557165371489, 423620, 765, 204, 329
1557165371503, 423632, 713, 356, 321
1557165371515, 423646, 678, 466, 307
1557165371527, 423659, 678, 463, 301
1557165371540, 423672, 735, 353, 340
1557165371554, 423686, 780, 216, 389
1557165371567, 423698, 771, 152, 398
1557165371580, 423711, 704, 189, 366
1557165371595, 423725, 658, 257, 375
1557165371606, 423738, 635, 299, 417
1557165371619, 423750, 628, 309, 455
1557165371632, 423763, 621, 315, 472
1557165371646, 423777, 611, 311, 482
1557165371659, 423790, 612, 301, 493
1557165371672, 423802, 609, 297, 486
1557165371685, 423816, 603, 302, 477
1557165371697, 423829, 607, 309, 484
1557165371711, 423842, 608, 310, 489
1557165371726, 423855, 613, 293, 497
1557165371737, 423868, 621, 277, 511
1557165371751, 423881, 635, 268, 531
1557165371763, 423895, 648, 265, 545
1557165371776, 423907, 658, 279, 554
1557165371790, 423920, 668, 315, 553
1557165371802, 423933, 669, 355, 541
1557165371815, 423947, 683, 396, 550
1557165371829, 423959, 696, 420, 545
1557165371841, 423972, 717, 425, 512
