Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557165480693, 532822, 493, 486, 415
1557165480706, 532835, 492, 484, 415
1557165480719, 532848, 491, 488, 417
1557165480732, 532860, 491, 490, 421
1557165480745, 532874, 493, 488, 421
1557165480757, 532887, 493, 485, 415
1557165480771, 532900, 490, 484, 411
1557165480784, 532913, 492, 487, 415
1557165480797, 532926, 492, 488, 416
1557165480810, 532939, 490, 488, 417
1557165480823, 532953, 491, 489, 419
1557165480837, 532965, 491, 487, 418
1557165480850, 532978, 491, 485, 417
1557165480863, 532992, 493, 485, 416
1557165480876, 533005, 493, 485, 414
1557165480889, 533018, 493, 485, 412
1557165480902, 533030, 495, 484, 413
1557165480915, 533044, 498, 484, 413
1557165480929, 533057, 501, 484, 414
1557165480941, 533070, 506, 484, 411
1557165480954, 533083, 508, 485, 408
1557165480968, 533096, 510, 487, 402
1557165480981, 533109, 507, 488, 397
1557165480994, 533123, 501, 487, 400
1557165481007, 533135, 486, 489, 411
1557165481019, 533148, 458, 489, 422
1557165481032, 533161, 424, 477, 420
1557165481045, 533175, 371, 456, 403
1557165481058, 533187, 345, 420, 396
1557165481072, 533200, 327, 411, 384
1557165481084, 533214, 328, 439, 380
1557165481098, 533227, 334, 490, 387
1557165481111, 533239, 363, 527, 406
1557165481124, 533253, 402, 557, 418
1557165481137, 533266, 443, 556, 421
1557165481150, 533279, 491, 530, 446
1557165481164, 533292, 542, 505, 462
1557165481176, 533305, 576, 506, 469
1557165481189, 533318, 639, 513, 486
1557165481203, 533331, 712, 520, 499
1557165481215, 533344, 782, 514, 458
1557165481228, 533357, 760, 462, 345
1557165481241, 533370, 713, 436, 276
1557165481255, 533384, 679, 451, 333
1557165481267, 533397, 674, 487, 437
1557165481280, 533409, 672, 512, 494
1557165481294, 533423, 645, 503, 465
1557165481307, 533436, 595, 474, 426
1557165481320, 533449, 552, 455, 428
1557165481334, 533462, 497, 445, 432
1557165481347, 533475, 420, 451, 435
1557165481359, 533488, 339, 480, 438
1557165481372, 533501, 266, 520, 444
1557165481386, 533514, 211, 536, 403
1557165481397, 533527, 179, 522, 322
1557165481411, 533540, 176, 515, 270
1557165481424, 533554, 200, 515, 271
1557165481437, 533566, 239, 508, 291
1557165481450, 533579, 287, 493, 334
1557165481464, 533593, 345, 477, 386
1557165481476, 533606, 395, 465, 441
1557165481490, 533618, 440, 486, 490
1557165481503, 533632, 508, 510, 513
1557165481516, 533645, 594, 498, 494
1557165481529, 533658, 686, 459, 456
1557165481542, 533671, 780, 446, 433
1557165481555, 533684, 819, 493, 402
1557165481569, 533697, 818, 540, 335
1557165481581, 533710, 776, 513, 293
1557165481595, 533724, 749, 487, 358
1557165481607, 533736, 730, 504, 469
1557165481619, 533749, 694, 532, 529
1557165481633, 533763, 661, 526, 511
1557165481646, 533776, 616, 484, 457
1557165481661, 533788, 567, 460, 430
1557165481673, 533801, 493, 457, 433
1557165481686, 533815, 407, 458, 434
1557165481699, 533828, 317, 464, 422
1557165481713, 533840, 245, 490, 416
1557165481725, 533854, 197, 510, 384
1557165481738, 533867, 164, 498, 307
1557165481751, 533880, 158, 475, 266
1557165481765, 533893, 196, 452, 259
1557165481777, 533906, 232, 443, 257
1557165481791, 533919, 289, 450, 292
1557165481803, 533933, 351, 464, 356
1557165481817, 533945, 415, 480, 409
1557165481830, 533958, 474, 480, 418
1557165481843, 533971, 549, 469, 427
1557165481855, 533985, 642, 473, 458
1557165481869, 533998, 744, 496, 468
1557165481881, 534010, 832, 528, 463
1557165481895, 534024, 873, 545, 380
1557165481908, 534037, 810, 535, 294
1557165481922, 534050, 773, 532, 343
