Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557165023226, 75365, 481, 508, 630
1557165023239, 75377, 484, 505, 631
1557165023253, 75390, 488, 503, 630
1557165023265, 75404, 489, 503, 623
1557165023278, 75416, 488, 502, 615
1557165023291, 75429, 487, 503, 612
1557165023305, 75443, 487, 503, 610
1557165023318, 75456, 488, 501, 606
1557165023330, 75468, 487, 502, 606
1557165023344, 75482, 488, 504, 608
1557165023357, 75495, 485, 507, 608
1557165023369, 75508, 481, 510, 609
1557165023383, 75521, 479, 512, 608
1557165023395, 75534, 478, 513, 605
1557165023409, 75547, 478, 512, 602
1557165023422, 75559, 478, 510, 602
1557165023434, 75573, 479, 508, 606
1557165023448, 75586, 481, 506, 611
1557165023461, 75599, 482, 504, 614
1557165023474, 75612, 481, 506, 613
1557165023487, 75625, 480, 507, 611
1557165023500, 75638, 479, 508, 608
1557165023512, 75651, 478, 510, 607
1557165023527, 75664, 478, 508, 607
1557165023539, 75677, 479, 505, 612
1557165023553, 75691, 480, 504, 615
1557165023565, 75703, 480, 503, 614
1557165023579, 75716, 478, 502, 611
1557165023591, 75729, 476, 501, 608
1557165023605, 75743, 473, 504, 609
1557165023617, 75755, 471, 502, 610
1557165023630, 75768, 468, 494, 613
1557165023643, 75782, 463, 489, 616
1557165023657, 75794, 456, 486, 618
1557165023669, 75807, 449, 485, 624
1557165023683, 75821, 443, 486, 633
1557165023697, 75834, 440, 491, 643
1557165023708, 75846, 439, 493, 650
1557165023722, 75859, 442, 495, 660
1557165023735, 75873, 445, 498, 669
1557165023747, 75886, 449, 503, 682
1557165023760, 75898, 454, 510, 695
1557165023774, 75912, 456, 521, 701
1557165023786, 75925, 466, 517, 693
1557165023800, 75937, 462, 530, 674
1557165023813, 75951, 469, 540, 663
1557165023827, 75964, 468, 540, 650
1557165023839, 75977, 470, 539, 630
1557165023852, 75990, 474, 538, 616
1557165023865, 76003, 475, 541, 609
1557165023877, 76016, 474, 547, 605
1557165023890, 76028, 474, 543, 605
1557165023903, 76042, 479, 535, 601
1557165023917, 76055, 489, 523, 587
1557165023930, 76068, 493, 514, 571
1557165023943, 76081, 493, 513, 550
1557165023956, 76094, 482, 520, 519
1557165023968, 76107, 477, 526, 503
1557165023982, 76120, 468, 540, 503
1557165023995, 76133, 453, 554, 509
1557165024008, 76146, 453, 557, 512
1557165024022, 76160, 461, 550, 505
1557165024034, 76172, 475, 530, 492
1557165024047, 76185, 489, 507, 475
1557165024060, 76198, 495, 494, 457
1557165024073, 76212, 498, 478, 449
1557165024086, 76224, 500, 484, 443
1557165024099, 76237, 499, 490, 434
1557165024113, 76251, 506, 494, 432
1557165024125, 76263, 525, 500, 444
1557165024138, 76276, 531, 505, 456
1557165024151, 76290, 525, 508, 469
1557165024165, 76303, 528, 510, 481
1557165024177, 76315, 535, 508, 489
1557165024191, 76328, 551, 504, 495
1557165024204, 76342, 562, 500, 498
1557165024217, 76355, 573, 504, 504
1557165024230, 76367, 588, 507, 509
1557165024243, 76381, 610, 506, 520
1557165024256, 76394, 630, 507, 531
1557165024270, 76406, 643, 520, 536
1557165024281, 76420, 657, 522, 547
1557165024302, 76433, 679, 525, 564
1557165024310, 76446, 693, 545, 578
1557165024320, 76459, 710, 566, 606
1557165024334, 76472, 726, 589, 634
1557165024347, 76485, 751, 603, 666
1557165024360, 76497, 777, 604, 691
1557165024373, 76511, 792, 597, 714
1557165024385, 76524, 805, 583, 729
1557165024399, 76537, 820, 564, 726
1557165024412, 76550, 819, 551, 705
1557165024424, 76563, 816, 555, 689
1557165024438, 76576, 816, 561, 685
1557165024450, 76590, 813, 573, 693
1557165024463, 76602, 811, 568, 704
1557165024477, 76615, 802, 557, 708
1557165024493, 76628, 784, 541, 702
1557165024503, 76641, 767, 523, 694
1557165024518, 76654, 753, 518, 689
1557165024529, 76667, 736, 521, 678
1557165024542, 76681, 720, 527, 664
1557165024555, 76693, 693, 539, 645
1557165024568, 76706, 685, 541, 625
1557165024581, 76720, 691, 544, 616
1557165024595, 76732, 690, 544, 606
1557165024607, 76745, 674, 528, 590
1557165024620, 76759, 665, 511, 576
1557165024634, 76772, 652, 510, 579
1557165024650, 76784, 641, 519, 583
1557165024660, 76797, 623, 525, 582
1557165024672, 76811, 611, 524, 581
1557165024686, 76824, 605, 519, 580
1557165024699, 76836, 597, 511, 579
1557165024712, 76850, 598, 500, 582
1557165024725, 76863, 602, 492, 584
1557165024738, 76875, 601, 485, 588
1557165024751, 76889, 607, 466, 598
1557165024764, 76902, 611, 456, 609
1557165024777, 76915, 605, 468, 625
1557165024791, 76928, 595, 492, 648
1557165024803, 76941, 581, 516, 673
1557165024816, 76954, 556, 524, 683
1557165024828, 76966, 558, 526, 714
1557165024842, 76980, 568, 519, 721
1557165024854, 76993, 583, 504, 707
1557165024868, 77006, 609, 485, 694
1557165024883, 77019, 643, 473, 694
1557165024894, 77032, 675, 468, 686
1557165024907, 77045, 689, 473, 675
1557165024920, 77059, 706, 484, 678
1557165024932, 77071, 719, 506, 683
1557165024947, 77084, 729, 522, 688
1557165024959, 77097, 743, 529, 687
1557165024973, 77110, 767, 540, 689
1557165024986, 77123, 798, 547, 688
1557165024998, 77136, 828, 547, 691
1557165025012, 77150, 867, 535, 691
1557165025025, 77162, 890, 553, 714
1557165025038, 77175, 878, 591, 745
1557165025050, 77189, 866, 632, 765
1557165025063, 77201, 862, 655, 757
1557165025076, 77214, 872, 666, 753
1557165025090, 77228, 904, 654, 755
1557165025102, 77241, 919, 645, 782
1557165025116, 77253, 912, 660, 806
1557165025128, 77266, 894, 681, 807
1557165025142, 77280, 885, 680, 797
1557165025155, 77293, 900, 670, 781
1557165025168, 77305, 912, 660, 791
1557165025181, 77319, 904, 676, 783
1557165025193, 77332, 885, 678, 747
1557165025206, 77344, 857, 677, 725
1557165025221, 77358, 841, 679, 729
1557165025233, 77371, 829, 677, 746
1557165025245, 77384, 819, 668, 748
1557165025259, 77396, 812, 664, 735
1557165025272, 77410, 811, 654, 712
1557165025284, 77423, 824, 637, 671
1557165025298, 77435, 807, 622, 675
1557165025312, 77449, 813, 592, 647
