Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1573160208777, 361571, 405, 316, 352
1573160208791, 361584, 404, 316, 352
1573160208804, 361597, 404, 316, 352
1573160208817, 361610, 404, 316, 352
1573160208830, 361623, 404, 316, 352
1573160208843, 361636, 404, 316, 351
1573160208856, 361650, 404, 315, 352
1573160208869, 361662, 404, 316, 352
1573160208881, 361675, 404, 315, 351
1573160208895, 361689, 404, 315, 351
1573160208908, 361702, 403, 315, 351
1573160208921, 361714, 404, 316, 352
1573160208934, 361728, 405, 316, 352
1573160208947, 361741, 404, 317, 352
1573160208960, 361754, 404, 316, 351
1573160208973, 361766, 404, 316, 351
1573160208986, 361780, 404, 316, 351
1573160208999, 361793, 404, 315, 351
1573160209012, 361806, 403, 315, 351
1573160209026, 361820, 404, 316, 351
1573160209038, 361832, 404, 317, 351
1573160209051, 361845, 404, 317, 351
1573160209064, 361859, 404, 317, 351
1573160209077, 361872, 403, 316, 351
1573160209090, 361884, 404, 316, 352
1573160209103, 361897, 404, 315, 353
1573160209117, 361911, 404, 315, 352
1573160209130, 361924, 404, 315, 351
1573160209143, 361936, 404, 316, 351
1573160209157, 361950, 404, 316, 351
1573160209170, 361963, 404, 316, 352
1573160209183, 361976, 404, 316, 352
1573160209196, 361989, 404, 316, 352
1573160209209, 362002, 404, 316, 351
1573160209222, 362015, 405, 316, 352
1573160209234, 362029, 404, 316, 352
1573160209247, 362041, 405, 316, 352
1573160209260, 362054, 405, 317, 352
1573160209274, 362067, 405, 317, 351
1573160209286, 362081, 404, 317, 351
1573160209299, 362093, 403, 317, 351
1573160209313, 362106, 403, 316, 351
1573160209325, 362120, 403, 316, 352
1573160209338, 362133, 403, 316, 353
1573160209352, 362145, 403, 315, 353
1573160209365, 362159, 403, 314, 352
1573160209378, 362172, 403, 314, 351
1573160209391, 362185, 403, 315, 351
1573160209404, 362198, 403, 316, 352
1573160209417, 362211, 404, 317, 352
1573160209430, 362224, 404, 317, 351
1573160209443, 362237, 405, 317, 351
1573160209456, 362250, 405, 317, 351
1573160209469, 362263, 405, 316, 351
1573160209482, 362276, 405, 316, 351
1573160209495, 362290, 405, 316, 352
1573160209508, 362302, 405, 316, 352
1573160209521, 362315, 405, 317, 351
1573160209535, 362329, 404, 317, 352
1573160209548, 362342, 405, 317, 352
1573160209561, 362354, 404, 317, 352
1573160209574, 362368, 404, 316, 352
1573160209587, 362381, 404, 315, 352
1573160209600, 362394, 404, 315, 352
