Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1573159889430, 42225, 392, 368, 317
1573159889442, 42238, 392, 369, 318
1573159889455, 42251, 392, 369, 319
1573159889468, 42264, 392, 369, 321
1573159889481, 42277, 391, 369, 321
1573159889494, 42290, 389, 369, 318
1573159889507, 42303, 391, 367, 317
1573159889520, 42316, 391, 368, 314
1573159889533, 42330, 392, 368, 312
1573159889546, 42342, 391, 368, 313
1573159889559, 42355, 390, 367, 311
1573159889572, 42369, 389, 367, 309
1573159889585, 42382, 390, 367, 303
1573159889598, 42394, 391, 364, 300
1573159889611, 42407, 389, 362, 299
1573159889625, 42421, 386, 356, 295
1573159889637, 42433, 385, 356, 299
1573159889650, 42446, 389, 370, 312
1573159889663, 42460, 395, 378, 327
1573159889676, 42472, 398, 377, 334
1573159889689, 42485, 397, 371, 334
1573159889702, 42499, 393, 364, 335
1573159889715, 42512, 392, 361, 333
1573159889728, 42524, 393, 362, 332
1573159889741, 42537, 394, 365, 331
1573159889754, 42551, 395, 366, 331
1573159889767, 42563, 394, 365, 332
1573159889780, 42576, 394, 365, 332
1573159889793, 42590, 393, 363, 329
1573159889806, 42603, 392, 364, 326
1573159889819, 42615, 392, 363, 324
1573159889833, 42629, 391, 364, 322
1573159889846, 42642, 392, 365, 322
1573159889858, 42654, 392, 366, 323
1573159889872, 42668, 393, 367, 324
1573159889884, 42681, 393, 366, 324
1573159889897, 42694, 392, 365, 323
1573159889911, 42706, 393, 365, 319
1573159889924, 42720, 393, 364, 318
1573159889937, 42733, 393, 364, 317
1573159889950, 42745, 395, 366, 318
1573159889964, 42759, 396, 367, 319
1573159889977, 42772, 396, 366, 317
1573159889989, 42785, 396, 366, 314
1573159890003, 42798, 396, 365, 314
1573159890016, 42811, 395, 365, 317
1573159890029, 42824, 395, 364, 316
1573159890042, 42836, 394, 361, 313
1573159890054, 42850, 391, 360, 309
1573159890067, 42863, 391, 357, 312
1573159890080, 42876, 389, 359, 319
1573159890093, 42889, 389, 362, 319
1573159890106, 42902, 390, 360, 317
1573159890119, 42915, 385, 355, 314
1573159890133, 42928, 382, 353, 310
1573159890146, 42941, 380, 355, 309
1573159890159, 42954, 376, 358, 307
1573159890171, 42968, 373, 364, 310
1573159890184, 42980, 377, 368, 314
1573159890197, 42993, 377, 368, 314
1573159890211, 43006, 379, 368, 315
1573159890224, 43019, 384, 373, 323
1573159890236, 43032, 387, 382, 324
1573159890250, 43045, 383, 384, 320
1573159890262, 43059, 375, 386, 312
1573159890275, 43071, 389, 394, 307
1573159890288, 43084, 400, 413, 311
1573159890301, 43098, 410, 438, 331
1573159890314, 43110, 414, 461, 371
1573159890328, 43123, 402, 479, 421
1573159890340, 43137, 396, 495, 467
1573159890353, 43150, 391, 517, 483
1573159890366, 43162, 396, 534, 468
1573159890379, 43175, 402, 528, 444
1573159890392, 43189, 389, 512, 437
1573159890405, 43201, 375, 500, 422
1573159890419, 43214, 352, 476, 428
1573159890431, 43228, 318, 475, 428
1573159890444, 43241, 270, 486, 425
1573159890457, 43253, 196, 545, 396
1573159890470, 43267, 76, 606, 374
1573159890484, 43280, 7, 670, 269
1573159890497, 43292, 4, 639, 108
1573159890510, 43305, 69, 527, 19
1573159890522, 43319, 208, 391, 16
1573159890535, 43331, 269, 326, 57
1573159890548, 43344, 291, 328, 128
1573159890561, 43358, 293, 359, 225
1573159890574, 43370, 300, 396, 318
1573159890587, 43383, 309, 411, 383
1573159890600, 43397, 322, 396, 365
1573159890613, 43409, 338, 375, 318
1573159890626, 43422, 354, 363, 300
1573159890639, 43436, 361, 359, 302
1573159890652, 43449, 367, 361, 307
1573159890665, 43461, 370, 370, 327
1573159890678, 43474, 370, 383, 354
1573159890692, 43488, 369, 387, 359
1573159890704, 43500, 369, 382, 342
1573159890717, 43513, 373, 375, 319
1573159890731, 43527, 374, 371, 306
1573159890743, 43540, 374, 368, 303
1573159890756, 43552, 372, 369, 305
1573159890770, 43566, 372, 375, 311
1573159890782, 43579, 373, 382, 321
1573159890795, 43591, 374, 388, 326
1573159890808, 43604, 375, 390, 323
1573159890821, 43618, 378, 387, 315
1573159890834, 43631, 379, 385, 310
1573159890847, 43643, 378, 384, 307
1573159890861, 43657, 377, 383, 306
1573159890874, 43670, 378, 385, 311
1573159890887, 43682, 377, 388, 314
1573159890900, 43696, 378, 389, 313
1573159890913, 43709, 378, 388, 309
1573159890926, 43722, 379, 386, 303
1573159890939, 43735, 379, 385, 302
1573159890952, 43748, 378, 384, 304
1573159890965, 43761, 378, 383, 310
1573159890978, 43773, 378, 385, 314
1573159890991, 43787, 378, 387, 319
1573159891004, 43800, 378, 388, 319
1573159891017, 43813, 378, 387, 314
1573159891030, 43826, 379, 386, 309
1573159891043, 43839, 379, 384, 308
1573159891056, 43852, 377, 383, 308
1573159891069, 43865, 376, 383, 310
1573159891082, 43878, 374, 383, 312
1573159891095, 43891, 373, 383, 313
1573159891108, 43905, 372, 382, 312
1573159891122, 43917, 373, 382, 309
1573159891134, 43930, 375, 381, 309
1573159891147, 43943, 377, 382, 309
1573159891161, 43956, 377, 381, 312
1573159891173, 43969, 377, 381, 316
1573159891186, 43982, 376, 381, 316
1573159891199, 43996, 376, 381, 314
1573159891212, 44008, 377, 383, 315
1573159891225, 44021, 377, 384, 317
1573159891238, 44035, 377, 383, 319
1573159891251, 44047, 378, 383, 318
1573159891264, 44060, 379, 383, 317
1573159891277, 44073, 379, 384, 317
1573159891290, 44087, 380, 386, 317
1573159891303, 44099, 379, 387, 319
1573159891317, 44112, 378, 387, 318
1573159891329, 44126, 377, 385, 315
1573159891342, 44138, 377, 384, 313
1573159891355, 44151, 376, 383, 312
1573159891368, 44165, 375, 383, 312
1573159891381, 44178, 374, 383, 313
1573159891394, 44190, 374, 383, 314
1573159891408, 44204, 373, 382, 313
1573159891421, 44217, 373, 382, 314
1573159891434, 44229, 374, 382, 315
1573159891446, 44242, 374, 382, 315
1573159891459, 44256, 374, 382, 312
1573159891472, 44269, 376, 382, 310
1573159891486, 44281, 376, 383, 311
1573159891499, 44295, 375, 382, 311
1573159891511, 44308, 375, 381, 312
1573159891525, 44320, 375, 380, 315
1573159891538, 44334, 375, 380, 315
1573159891551, 44347, 375, 380, 316
1573159891564, 44360, 376, 380, 317
1573159891577, 44372, 375, 381, 321
1573159891590, 44386, 376, 381, 322
1573159891603, 44399, 377, 382, 320
1573159891616, 44411, 377, 381, 319
1573159891630, 44425, 377, 381, 318
1573159891643, 44438, 377, 380, 319
1573159891656, 44451, 376, 380, 321
1573159891669, 44464, 377, 380, 323
1573159891681, 44477, 377, 381, 323
1573159891694, 44490, 378, 382, 321
1573159891707, 44503, 379, 383, 321
1573159891720, 44516, 379, 384, 321
1573159891733, 44529, 380, 384, 321
