Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1573160051258, 204053, 402, 309, 348
1573160051271, 204066, 402, 309, 348
1573160051284, 204080, 402, 308, 348
1573160051297, 204093, 401, 307, 349
1573160051311, 204105, 401, 307, 349
1573160051325, 204119, 401, 307, 348
1573160051337, 204132, 400, 307, 349
1573160051350, 204145, 400, 308, 349
1573160051364, 204157, 400, 308, 349
1573160051376, 204171, 400, 307, 347
1573160051389, 204184, 399, 307, 347
1573160051403, 204197, 400, 307, 347
1573160051416, 204210, 400, 306, 347
1573160051428, 204223, 400, 306, 348
1573160051441, 204236, 400, 305, 347
1573160051454, 204250, 400, 304, 346
1573160051467, 204262, 401, 302, 353
1573160051480, 204275, 400, 303, 352
1573160051494, 204289, 400, 300, 349
1573160051507, 204302, 397, 299, 348
1573160051520, 204314, 395, 299, 355
1573160051534, 204327, 399, 299, 359
1573160051547, 204341, 398, 302, 359
1573160051560, 204354, 400, 303, 358
1573160051572, 204366, 401, 306, 358
1573160051585, 204380, 400, 305, 356
1573160051598, 204393, 400, 306, 354
1573160051611, 204406, 400, 309, 352
1573160051624, 204419, 400, 312, 353
1573160051637, 204432, 399, 320, 354
1573160051650, 204445, 402, 330, 361
1573160051663, 204459, 404, 338, 362
1573160051676, 204472, 405, 343, 361
1573160051689, 204484, 405, 347, 361
1573160051703, 204497, 405, 348, 365
1573160051715, 204511, 404, 348, 365
1573160051728, 204523, 401, 347, 363
1573160051741, 204536, 398, 349, 362
1573160051755, 204550, 401, 365, 370
1573160051768, 204563, 406, 373, 377
1573160051781, 204576, 408, 377, 377
1573160051794, 204589, 406, 374, 374
1573160051807, 204602, 403, 370, 369
1573160051820, 204615, 399, 370, 366
1573160051833, 204628, 395, 370, 365
1573160051846, 204641, 390, 375, 373
1573160051859, 204654, 392, 385, 382
1573160051872, 204667, 402, 398, 394
1573160051885, 204681, 408, 395, 399
1573160051898, 204693, 404, 390, 399
1573160051911, 204706, 397, 382, 396
1573160051925, 204720, 392, 377, 395
1573160051938, 204733, 390, 373, 397
1573160051951, 204745, 390, 370, 400
1573160051964, 204759, 389, 367, 404
1573160051977, 204772, 387, 362, 408
1573160051991, 204785, 387, 359, 414
1573160052003, 204797, 386, 355, 415
1573160052016, 204811, 382, 352, 415
1573160052029, 204824, 375, 349, 414
1573160052042, 204837, 365, 348, 409
1573160052055, 204850, 356, 349, 401
1573160052068, 204863, 349, 351, 392
1573160052081, 204876, 348, 350, 379
1573160052094, 204890, 345, 347, 370
1573160052107, 204902, 342, 343, 364
1573160052120, 204915, 335, 341, 359
1573160052134, 204929, 325, 350, 351
1573160052147, 204942, 315, 358, 332
1573160052160, 204954, 307, 357, 301
1573160052172, 204967, 292, 357, 270
1573160052186, 204981, 304, 348, 249
1573160052199, 204994, 295, 353, 246
1573160052212, 205006, 281, 352, 239
1573160052225, 205020, 267, 353, 222
1573160052238, 205033, 259, 354, 200
1573160052251, 205046, 256, 352, 170
1573160052264, 205059, 260, 330, 133
1573160052277, 205072, 261, 313, 112
1573160052291, 205085, 258, 308, 122
1573160052304, 205099, 254, 312, 161
1573160052316, 205111, 247, 312, 189
1573160052330, 205124, 251, 310, 212
1573160052343, 205137, 255, 308, 223
1573160052356, 205151, 254, 308, 225
1573160052369, 205163, 250, 318, 221
1573160052382, 205176, 239, 338, 210
1573160052394, 205190, 233, 354, 194
1573160052408, 205203, 225, 362, 177
1573160052421, 205215, 212, 379, 161
1573160052434, 205229, 192, 392, 153
1573160052448, 205242, 171, 391, 133
1573160052460, 205255, 150, 382, 126
1573160052473, 205267, 116, 378, 144
1573160052486, 205281, 78, 392, 165
1573160052499, 205294, 27, 424, 183
1573160052512, 205307, 5, 475, 196
1573160052525, 205320, 4, 575, 212
1573160052539, 205333, 5, 659, 301
1573160052552, 205346, 150, 664, 561
1573160052565, 205359, 96, 674, 669
1573160052577, 205372, 39, 641, 535
1573160052590, 205385, 243, 671, 384
1573160052604, 205399, 479, 672, 365
1573160052616, 205411, 488, 635, 429
1573160052629, 205424, 375, 412, 466
1573160052642, 205437, 359, 378, 341
1573160052656, 205451, 370, 357, 204
1573160052668, 205463, 358, 366, 240
1573160052681, 205476, 354, 413, 358
1573160052694, 205490, 357, 446, 472
1573160052708, 205503, 395, 451, 560
1573160052721, 205515, 395, 446, 548
1573160052735, 205529, 399, 434, 525
1573160052747, 205542, 371, 406, 439
1573160052760, 205555, 370, 391, 347
1573160052773, 205568, 383, 393, 302
1573160052788, 205581, 391, 403, 299
1573160052799, 205594, 387, 399, 337
1573160052813, 205607, 380, 390, 373
1573160052826, 205620, 381, 380, 408
1573160052839, 205633, 387, 371, 428
1573160052852, 205646, 379, 366, 439
1573160052865, 205660, 389, 367, 411
1573160052878, 205672, 384, 383, 392
1573160052891, 205685, 385, 387, 378
1573160052904, 205699, 388, 386, 366
