Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1573160123709, 276503, 402, 318, 364
1573160123722, 276516, 401, 317, 364
1573160123735, 276530, 402, 317, 363
1573160123748, 276542, 401, 316, 363
1573160123761, 276555, 401, 317, 363
1573160123774, 276569, 401, 317, 364
1573160123787, 276582, 401, 316, 364
1573160123800, 276594, 401, 316, 364
1573160123813, 276608, 401, 316, 364
1573160123827, 276621, 401, 316, 364
1573160123840, 276634, 401, 316, 364
1573160123853, 276646, 402, 317, 364
1573160123866, 276660, 402, 316, 366
1573160123879, 276673, 401, 316, 366
1573160123891, 276686, 402, 317, 366
1573160123905, 276699, 402, 318, 365
1573160123918, 276712, 402, 318, 364
1573160123931, 276725, 402, 317, 365
1573160123944, 276739, 402, 317, 365
1573160123957, 276751, 402, 317, 365
1573160123970, 276764, 402, 317, 366
1573160123983, 276777, 403, 317, 365
1573160123996, 276791, 403, 317, 365
1573160124010, 276803, 403, 316, 365
1573160124022, 276816, 403, 317, 365
1573160124035, 276830, 403, 316, 364
1573160124048, 276843, 403, 316, 364
1573160124061, 276856, 403, 316, 364
1573160124074, 276869, 403, 315, 364
1573160124087, 276882, 403, 315, 364
1573160124100, 276895, 403, 316, 364
1573160124113, 276908, 403, 316, 364
1573160124126, 276921, 401, 316, 364
1573160124140, 276934, 400, 314, 365
1573160124155, 276947, 400, 313, 364
1573160124167, 276961, 399, 311, 362
1573160124180, 276973, 399, 312, 363
1573160124192, 276986, 401, 314, 367
1573160124206, 277000, 403, 315, 371
1573160124219, 277013, 404, 314, 371
1573160124232, 277025, 404, 313, 372
1573160124245, 277039, 405, 312, 372
1573160124257, 277052, 405, 311, 372
1573160124270, 277065, 404, 310, 371
1573160124283, 277078, 404, 309, 370
1573160124296, 277091, 405, 309, 370
1573160124310, 277104, 404, 308, 370
1573160124323, 277117, 404, 308, 369
1573160124336, 277130, 403, 307, 369
1573160124348, 277143, 402, 307, 368
1573160124362, 277156, 402, 306, 368
1573160124375, 277170, 401, 303, 369
1573160124388, 277182, 399, 301, 371
1573160124401, 277195, 399, 300, 373
1573160124415, 277209, 399, 301, 373
1573160124427, 277222, 398, 299, 374
1573160124440, 277234, 396, 299, 375
1573160124454, 277248, 395, 300, 376
1573160124466, 277261, 395, 302, 375
1573160124479, 277274, 395, 303, 372
1573160124492, 277286, 394, 304, 370
1573160124505, 277300, 393, 304, 370
1573160124518, 277313, 393, 305, 369
1573160124531, 277326, 392, 307, 368
1573160124544, 277339, 391, 307, 366
1573160124557, 277352, 391, 308, 364
1573160124570, 277365, 390, 308, 363
1573160124584, 277379, 390, 308, 362
1573160124597, 277391, 390, 308, 360
1573160124610, 277404, 389, 309, 358
1573160124623, 277417, 390, 312, 358
1573160124636, 277431, 389, 312, 359
1573160124649, 277443, 390, 311, 359
1573160124662, 277456, 390, 311, 357
1573160124675, 277470, 390, 310, 354
1573160124688, 277483, 391, 312, 352
1573160124701, 277495, 390, 312, 351
1573160124714, 277509, 389, 314, 352
1573160124727, 277522, 389, 314, 352
1573160124741, 277535, 389, 314, 349
1573160124754, 277548, 388, 317, 346
1573160124767, 277561, 387, 321, 344
1573160124780, 277574, 386, 320, 346
1573160124793, 277587, 388, 316, 354
1573160124806, 277600, 390, 317, 360
1573160124819, 277613, 390, 315, 364
1573160124832, 277626, 389, 317, 364
1573160124845, 277640, 389, 322, 364
1573160124858, 277652, 390, 325, 361
1573160124871, 277665, 391, 325, 359
1573160124884, 277679, 391, 325, 357
1573160124897, 277692, 393, 326, 362
1573160124910, 277704, 393, 328, 366
1573160124923, 277718, 391, 328, 366
1573160124937, 277731, 389, 326, 363
1573160124950, 277744, 392, 326, 358
1573160124963, 277756, 392, 327, 358
1573160124976, 277770, 393, 327, 357
1573160124989, 277783, 391, 327, 357
1573160125002, 277796, 388, 326, 357
1573160125015, 277809, 389, 327, 356
1573160125028, 277822, 392, 331, 361
1573160125041, 277835, 395, 331, 362
1573160125054, 277849, 395, 331, 362
1573160125068, 277861, 395, 331, 359
1573160125080, 277874, 395, 330, 357
1573160125094, 277888, 396, 327, 356
1573160125107, 277901, 396, 326, 359
1573160125120, 277913, 397, 326, 366
1573160125133, 277926, 399, 331, 372
1573160125146, 277940, 402, 334, 377
1573160125159, 277953, 401, 335, 379
1573160125172, 277966, 402, 335, 379
1573160125185, 277979, 401, 333, 377
1573160125198, 277992, 402, 331, 377
1573160125210, 278005, 401, 328, 382
1573160125223, 278018, 401, 326, 387
1573160125236, 278031, 399, 323, 391
1573160125251, 278044, 397, 322, 395
1573160125263, 278057, 396, 321, 399
1573160125276, 278071, 396, 321, 398
1573160125289, 278083, 397, 320, 399
1573160125303, 278096, 397, 319, 401
1573160125315, 278110, 395, 320, 400
1573160125328, 278123, 393, 322, 400
1573160125342, 278135, 394, 327, 402
1573160125354, 278149, 394, 328, 401
1573160125367, 278162, 394, 329, 400
1573160125380, 278175, 395, 332, 402
1573160125393, 278188, 395, 330, 405
1573160125406, 278201, 396, 332, 407
1573160125419, 278214, 397, 332, 413
1573160125434, 278227, 390, 332, 414
1573160125445, 278240, 394, 329, 415
1573160125458, 278253, 395, 329, 417
1573160125472, 278266, 393, 333, 417
1573160125485, 278280, 395, 332, 416
1573160125498, 278292, 394, 331, 417
1573160125511, 278305, 394, 329, 417
1573160125524, 278319, 392, 325, 418
1573160125537, 278332, 391, 324, 421
1573160125550, 278344, 390, 321, 423
1573160125564, 278358, 389, 319, 424
1573160125577, 278371, 389, 319, 426
1573160125590, 278384, 389, 320, 427
1573160125603, 278396, 390, 324, 424
1573160125616, 278410, 390, 329, 423
1573160125628, 278423, 390, 328, 423
1573160125641, 278436, 387, 322, 425
1573160125654, 278449, 384, 316, 428
1573160125667, 278462, 382, 313, 427
1573160125682, 278475, 381, 314, 423
1573160125694, 278489, 382, 318, 420
1573160125707, 278501, 383, 319, 418
1573160125720, 278514, 382, 319, 415
1573160125733, 278528, 380, 315, 414
1573160125747, 278541, 378, 311, 416
1573160125759, 278553, 378, 308, 420
1573160125772, 278566, 378, 307, 419
1573160125786, 278580, 378, 308, 419
1573160125798, 278593, 379, 310, 416
1573160125811, 278605, 380, 312, 410
1573160125824, 278619, 381, 314, 406
1573160125837, 278632, 380, 312, 405
1573160125850, 278645, 380, 311, 410
1573160125863, 278658, 380, 312, 415
1573160125877, 278671, 381, 312, 416
1573160125890, 278684, 383, 314, 414
1573160125904, 278697, 384, 316, 412
1573160125917, 278710, 384, 316, 410
1573160125929, 278723, 384, 316, 408
1573160125942, 278736, 385, 316, 407
1573160125955, 278750, 385, 315, 404
1573160125969, 278762, 384, 314, 401
1573160125981, 278775, 384, 313, 399
1573160125994, 278789, 384, 313, 399
1573160126008, 278802, 384, 314, 400
1573160126020, 278814, 386, 315, 400
1573160126033, 278828, 385, 315, 401
1573160126047, 278841, 385, 314, 398
1573160126060, 278854, 384, 313, 394
1573160126073, 278866, 384, 313, 390
1573160126086, 278880, 384, 312, 388
1573160126099, 278893, 385, 312, 387
1573160126111, 278906, 385, 313, 386
