Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1573160442799, 595591, 400, 360, 363
1573160442811, 595604, 401, 360, 362
1573160442825, 595617, 399, 361, 364
1573160442838, 595631, 400, 360, 364
1573160442851, 595643, 399, 360, 362
1573160442864, 595656, 400, 360, 361
1573160442877, 595670, 400, 360, 362
1573160442890, 595683, 401, 362, 362
1573160442903, 595695, 400, 361, 362
1573160442917, 595708, 400, 361, 362
1573160442930, 595722, 401, 362, 361
1573160442943, 595735, 400, 363, 361
1573160442955, 595747, 400, 363, 360
1573160442968, 595761, 400, 363, 361
1573160442981, 595774, 400, 362, 360
1573160442994, 595787, 399, 363, 361
1573160443008, 595800, 400, 365, 363
1573160443021, 595813, 401, 365, 364
1573160443033, 595826, 404, 368, 365
1573160443047, 595840, 407, 373, 368
1573160443060, 595852, 415, 377, 371
1573160443073, 595865, 422, 382, 376
1573160443086, 595878, 427, 384, 375
1573160443099, 595892, 432, 379, 370
1573160443112, 595904, 434, 372, 353
1573160443125, 595917, 435, 364, 340
1573160443139, 595931, 433, 353, 337
1573160443151, 595944, 428, 342, 345
1573160443164, 595956, 421, 333, 356
1573160443177, 595970, 414, 325, 366
1573160443190, 595983, 405, 319, 372
1573160443203, 595996, 396, 314, 371
1573160443217, 596008, 388, 312, 364
1573160443229, 596022, 381, 307, 359
1573160443242, 596035, 372, 307, 361
1573160443255, 596048, 364, 307, 369
1573160443269, 596061, 357, 307, 374
1573160443282, 596074, 349, 306, 377
1573160443296, 596087, 340, 305, 369
1573160443308, 596101, 335, 306, 353
1573160443321, 596113, 327, 309, 341
1573160443334, 596126, 323, 323, 340
1573160443347, 596140, 318, 350, 341
1573160443360, 596153, 325, 375, 365
1573160443374, 596165, 332, 396, 400
1573160443386, 596178, 342, 429, 413
1573160443399, 596192, 351, 453, 399
1573160443412, 596205, 356, 453, 369
1573160443425, 596217, 359, 455, 342
1573160443438, 596231, 371, 463, 320
1573160443452, 596244, 387, 476, 312
1573160443465, 596257, 405, 480, 335
1573160443478, 596270, 424, 480, 378
1573160443491, 596283, 442, 467, 416
1573160443504, 596296, 454, 459, 435
1573160443517, 596310, 462, 445, 425
1573160443531, 596322, 467, 434, 401
1573160443543, 596335, 485, 430, 375
1573160443556, 596348, 503, 412, 373
1573160443569, 596362, 513, 396, 396
1573160443582, 596374, 514, 376, 416
1573160443595, 596387, 499, 351, 423
1573160443608, 596401, 473, 325, 400
1573160443621, 596414, 453, 294, 360
1573160443634, 596427, 446, 283, 359
1573160443647, 596440, 424, 287, 366
1573160443660, 596453, 419, 285, 357
1573160443673, 596466, 404, 293, 353
1573160443686, 596478, 392, 300, 344
1573160443699, 596492, 380, 305, 339
1573160443712, 596505, 371, 311, 340
1573160443726, 596518, 366, 320, 344
1573160443739, 596532, 363, 309, 343
1573160443752, 596544, 355, 281, 338
1573160443765, 596557, 344, 267, 336
1573160443778, 596571, 323, 253, 330
1573160443791, 596584, 316, 247, 325
1573160443804, 596596, 320, 282, 359
1573160443817, 596610, 336, 357, 393
1573160443830, 596623, 359, 417, 401
1573160443843, 596636, 367, 421, 379
1573160443856, 596648, 361, 399, 344
1573160443869, 596662, 359, 413, 325
1573160443882, 596675, 352, 440, 344
1573160443895, 596688, 353, 458, 381
1573160443909, 596701, 356, 455, 412
1573160443922, 596714, 365, 446, 412
1573160443935, 596727, 371, 448, 389
1573160443948, 596741, 388, 456, 361
1573160443961, 596753, 402, 450, 343
1573160443974, 596766, 411, 439, 345
1573160443986, 596780, 428, 437, 365
1573160444001, 596793, 433, 433, 390
1573160444013, 596805, 472, 429, 395
1573160444027, 596818, 488, 438, 390
1573160444040, 596832, 499, 416, 364
1573160444052, 596845, 495, 390, 353
1573160444065, 596857, 491, 352, 366
1573160444079, 596871, 481, 327, 393
1573160444091, 596884, 467, 298, 406
1573160444104, 596897, 457, 277, 405
1573160444117, 596910, 451, 282, 394
1573160444131, 596923, 441, 294, 382
1573160444144, 596936, 428, 301, 372
1573160444156, 596950, 414, 300, 366
1573160444169, 596962, 407, 298, 367
1573160444183, 596975, 398, 297, 365
1573160444199, 596988, 395, 292, 353
1573160444209, 597002, 391, 293, 341
1573160444222, 597014, 390, 288, 327
1573160444235, 597027, 383, 277, 324
1573160444249, 597041, 370, 272, 333
1573160444261, 597054, 349, 271, 351
1573160444274, 597066, 334, 287, 369
1573160444287, 597080, 317, 301, 365
1573160444300, 597093, 317, 345, 332
1573160444313, 597106, 318, 392, 326
1573160444326, 597118, 321, 420, 339
1573160444339, 597132, 317, 414, 364
1573160444353, 597145, 306, 392, 388
1573160444365, 597158, 299, 383, 397
1573160444379, 597171, 301, 401, 373
1573160444392, 597184, 320, 428, 351
1573160444405, 597197, 336, 438, 341
1573160444418, 597211, 352, 439, 341
1573160444430, 597223, 362, 427, 348
