Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1573160397913, 550706, 409, 336, 363
1573160397926, 550719, 411, 337, 364
1573160397939, 550732, 411, 338, 364
1573160397952, 550746, 412, 339, 363
1573160397966, 550758, 412, 339, 363
1573160397979, 550771, 413, 339, 364
1573160397992, 550785, 414, 339, 363
1573160398005, 550798, 415, 339, 363
1573160398018, 550810, 414, 339, 363
1573160398031, 550823, 413, 337, 362
1573160398044, 550837, 413, 336, 361
1573160398057, 550850, 412, 335, 360
1573160398070, 550862, 410, 334, 356
1573160398083, 550876, 408, 329, 354
1573160398096, 550889, 406, 326, 356
1573160398110, 550902, 405, 325, 359
1573160398123, 550916, 404, 324, 362
1573160398136, 550928, 402, 321, 360
1573160398149, 550941, 399, 317, 356
1573160398161, 550955, 395, 313, 355
1573160398174, 550967, 390, 310, 352
1573160398187, 550980, 383, 306, 349
1573160398201, 550993, 369, 294, 344
1573160398214, 551007, 352, 267, 335
1573160398227, 551020, 330, 224, 324
1573160398240, 551032, 310, 185, 324
1573160398253, 551046, 298, 172, 329
1573160398266, 551059, 293, 179, 334
1573160398279, 551072, 294, 199, 336
1573160398292, 551085, 298, 229, 350
1573160398305, 551098, 309, 269, 377
1573160398318, 551111, 329, 309, 400
1573160398331, 551124, 354, 360, 405
1573160398344, 551137, 392, 448, 395
1573160398357, 551150, 449, 562, 374
1573160398370, 551163, 506, 661, 415
1573160398383, 551177, 541, 674, 474
1573160398396, 551189, 539, 619, 454
1573160398409, 551202, 516, 546, 392
1573160398423, 551216, 481, 480, 352
1573160398436, 551229, 449, 426, 340
1573160398449, 551241, 416, 378, 345
1573160398462, 551255, 377, 333, 349
1573160398475, 551268, 343, 282, 345
1573160398488, 551281, 308, 232, 336
1573160398501, 551293, 280, 186, 328
1573160398514, 551307, 256, 142, 319
1573160398527, 551320, 246, 121, 317
1573160398540, 551333, 249, 124, 320
1573160398553, 551346, 259, 144, 326
1573160398567, 551359, 274, 185, 347
1573160398580, 551372, 295, 236, 376
1573160398593, 551386, 322, 275, 398
1573160398606, 551398, 352, 325, 422
1573160398619, 551411, 390, 390, 425
1573160398632, 551425, 441, 470, 419
1573160398645, 551438, 493, 575, 445
1573160398658, 551450, 544, 658, 471
1573160398671, 551463, 558, 654, 419
1573160398684, 551477, 526, 581, 341
1573160398697, 551490, 440, 495, 300
1573160398710, 551502, 458, 390, 356
1573160398723, 551516, 414, 340, 414
1573160398736, 551529, 397, 322, 386
1573160398749, 551542, 380, 308, 351
1573160398762, 551555, 361, 301, 333
1573160398775, 551568, 342, 278, 322
1573160398788, 551581, 311, 231, 318
1573160398801, 551595, 285, 178, 319
1573160398814, 551607, 269, 145, 323
1573160398827, 551620, 270, 142, 329
1573160398841, 551633, 280, 156, 342
1573160398854, 551647, 295, 192, 357
1573160398867, 551659, 315, 238, 377
1573160398880, 551672, 338, 282, 380
1573160398893, 551686, 366, 335, 385
1573160398906, 551699, 404, 404, 406
1573160398920, 551711, 447, 466, 417
1573160398933, 551725, 484, 512, 445
1573160398945, 551738, 506, 538, 463
1573160398958, 551751, 513, 550, 430
1573160398971, 551763, 502, 530, 379
1573160398984, 551777, 478, 481, 350
1573160398997, 551790, 447, 424, 350
1573160399010, 551803, 422, 367, 361
1573160399024, 551817, 403, 332, 369
1573160399037, 551829, 389, 318, 362
1573160399050, 551842, 387, 313, 352
1573160399063, 551856, 379, 315, 360
1573160399076, 551869, 372, 304, 357
1573160399089, 551881, 362, 285, 352
1573160399103, 551895, 351, 265, 348
1573160399115, 551908, 341, 249, 344
1573160399128, 551921, 334, 235, 339
1573160399142, 551933, 329, 226, 332
1573160399155, 551947, 328, 224, 326
1573160399168, 551960, 328, 229, 325
1573160399181, 551973, 331, 243, 335
1573160399193, 551986, 335, 264, 355
1573160399206, 551999, 343, 279, 363
1573160399219, 552012, 354, 288, 362
1573160399232, 552026, 369, 304, 362
1573160399246, 552038, 389, 349, 368
1573160399259, 552051, 428, 435, 409
1573160399271, 552065, 472, 515, 466
1573160399285, 552078, 503, 551, 461
1573160399298, 552090, 514, 554, 419
1573160399311, 552103, 490, 516, 371
1573160399325, 552117, 454, 437, 323
1573160399337, 552130, 453, 389, 362
1573160399350, 552142, 419, 361, 391
1573160399363, 552156, 408, 335, 365
1573160399376, 552169, 388, 312, 345
1573160399389, 552182, 375, 296, 335
1573160399402, 552195, 366, 283, 336
1573160399415, 552208, 361, 273, 343
1573160399428, 552221, 360, 269, 354
1573160399441, 552235, 362, 271, 362
1573160399454, 552247, 366, 275, 369
1573160399468, 552260, 372, 282, 371
1573160399480, 552273, 379, 291, 368
1573160399493, 552287, 382, 297, 363
1573160399507, 552299, 385, 303, 360
1573160399520, 552312, 390, 309, 357
1573160399533, 552326, 393, 316, 358
1573160399546, 552339, 395, 323, 362
1573160399559, 552351, 397, 328, 366
1573160399572, 552365, 398, 329, 361
1573160399585, 552378, 398, 329, 354
1573160399598, 552391, 398, 328, 348
1573160399611, 552403, 402, 328, 351
1573160399624, 552417, 402, 329, 354
1573160399637, 552430, 403, 328, 356
1573160399650, 552443, 404, 331, 358
1573160399663, 552456, 405, 333, 357
1573160399676, 552469, 405, 334, 354
1573160399689, 552482, 405, 334, 350
1573160399702, 552496, 407, 335, 351
1573160399715, 552508, 411, 336, 356
1573160399729, 552521, 410, 338, 360
1573160399742, 552535, 409, 336, 357
1573160399755, 552548, 413, 335, 359
1573160399768, 552560, 411, 335, 363
1573160399781, 552573, 412, 336, 362
1573160399795, 552587, 410, 335, 358
1573160399808, 552600, 409, 334, 358
1573160399821, 552612, 408, 333, 358
1573160399834, 552626, 407, 333, 356
1573160399847, 552639, 406, 333, 355
1573160399860, 552652, 405, 332, 358
1573160399873, 552665, 405, 333, 359
1573160399885, 552678, 404, 332, 358
1573160399899, 552691, 405, 331, 359
1573160399912, 552705, 405, 332, 361
1573160399925, 552717, 405, 333, 361
1573160399938, 552730, 405, 333, 359
1573160399952, 552743, 405, 333, 358
1573160399964, 552757, 406, 335, 361
