Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1573159997208, 150003, 323, 355, 287
1573159997222, 150017, 322, 356, 288
1573159997234, 150029, 323, 357, 288
1573159997247, 150042, 324, 358, 289
1573159997261, 150055, 323, 358, 290
1573159997273, 150069, 323, 358, 288
1573159997286, 150081, 323, 359, 286
1573159997299, 150094, 323, 360, 286
1573159997312, 150108, 323, 360, 287
1573159997325, 150121, 321, 359, 288
1573159997338, 150133, 321, 358, 289
1573159997351, 150147, 321, 358, 289
1573159997364, 150160, 321, 359, 289
1573159997378, 150173, 320, 359, 290
1573159997391, 150185, 319, 360, 289
1573159997404, 150199, 318, 361, 288
1573159997418, 150212, 316, 362, 287
1573159997430, 150225, 315, 364, 289
1573159997443, 150238, 314, 365, 293
1573159997457, 150251, 313, 365, 296
1573159997470, 150264, 312, 365, 298
1573159997483, 150278, 311, 365, 299
1573159997496, 150290, 308, 366, 299
1573159997509, 150303, 307, 366, 299
1573159997521, 150317, 305, 365, 300
1573159997534, 150330, 304, 366, 299
1573159997548, 150343, 306, 369, 298
1573159997560, 150355, 306, 370, 300
1573159997573, 150369, 305, 371, 300
1573159997587, 150382, 306, 371, 301
1573159997600, 150395, 305, 371, 299
1573159997613, 150408, 305, 372, 297
1573159997626, 150421, 304, 373, 296
1573159997639, 150434, 303, 373, 295
1573159997652, 150448, 303, 375, 294
1573159997665, 150460, 302, 377, 295
1573159997678, 150473, 301, 377, 299
1573159997691, 150487, 302, 378, 300
1573159997705, 150500, 305, 381, 301
1573159997718, 150512, 306, 383, 303
1573159997730, 150525, 306, 384, 304
1573159997743, 150539, 303, 383, 302
1573159997756, 150552, 303, 384, 299
1573159997769, 150564, 303, 383, 299
1573159997782, 150578, 302, 383, 301
1573159997795, 150591, 303, 387, 302
1573159997809, 150604, 302, 390, 305
1573159997822, 150617, 297, 387, 308
1573159997835, 150630, 290, 382, 313
1573159997849, 150643, 285, 382, 311
1573159997861, 150657, 284, 384, 307
1573159997874, 150669, 281, 381, 307
1573159997887, 150682, 277, 373, 307
1573159997900, 150695, 275, 365, 307
1573159997913, 150709, 274, 360, 307
1573159997927, 150721, 279, 361, 306
1573159997939, 150734, 285, 368, 303
1573159997952, 150748, 288, 368, 306
1573159997965, 150761, 288, 365, 304
1573159997978, 150773, 292, 364, 304
1573159997991, 150787, 295, 361, 305
1573159998004, 150800, 300, 360, 307
1573159998017, 150813, 306, 361, 307
1573159998031, 150825, 310, 363, 308
1573159998045, 150839, 312, 364, 310
1573159998057, 150852, 313, 362, 304
1573159998071, 150865, 311, 355, 302
1573159998084, 150878, 310, 352, 300
1573159998096, 150891, 312, 352, 296
1573159998109, 150904, 311, 350, 292
1573159998122, 150918, 308, 349, 290
1573159998135, 150930, 305, 347, 288
1573159998149, 150943, 303, 346, 282
1573159998161, 150957, 303, 346, 276
1573159998175, 150970, 300, 352, 275
1573159998187, 150982, 295, 360, 280
1573159998201, 150995, 288, 364, 283
1573159998213, 151009, 284, 363, 275
1573159998226, 151022, 281, 360, 263
1573159998239, 151034, 281, 371, 252
1573159998252, 151048, 279, 400, 238
1573159998266, 151061, 257, 426, 235
1573159998279, 151074, 241, 439, 223
1573159998292, 151087, 224, 429, 208
1573159998305, 151100, 214, 405, 178
1573159998318, 151113, 200, 445, 196
1573159998331, 151127, 168, 463, 240
1573159998344, 151139, 144, 486, 272
1573159998357, 151152, 113, 507, 282
1573159998370, 151165, 91, 521, 271
1573159998384, 151179, 95, 540, 239
1573159998397, 151191, 94, 584, 220
1573159998410, 151204, 101, 629, 233
1573159998423, 151218, 120, 672, 297
1573159998436, 151231, 146, 667, 344
1573159998449, 151243, 156, 581, 395
1573159998461, 151257, 137, 481, 434
1573159998474, 151270, 139, 358, 481
1573159998487, 151283, 176, 347, 505
1573159998500, 151296, 217, 386, 449
1573159998514, 151309, 241, 408, 375
1573159998527, 151322, 243, 406, 315
1573159998540, 151335, 252, 395, 261
1573159998553, 151348, 262, 386, 251
1573159998566, 151361, 273, 386, 274
1573159998579, 151374, 283, 387, 304
1573159998592, 151388, 290, 377, 328
1573159998605, 151400, 295, 359, 336
1573159998618, 151413, 305, 352, 334
1573159998631, 151427, 318, 358, 324
1573159998644, 151440, 330, 365, 317
1573159998657, 151452, 336, 366, 322
1573159998670, 151465, 335, 356, 329
1573159998683, 151479, 332, 340, 329
1573159998696, 151492, 331, 333, 320
1573159998709, 151504, 332, 333, 306
1573159998722, 151518, 338, 337, 286
1573159998736, 151531, 342, 347, 280
1573159998750, 151544, 342, 350, 284
1573159998762, 151557, 340, 343, 295
1573159998775, 151570, 339, 337, 295
1573159998788, 151583, 342, 338, 291
1573159998801, 151597, 347, 345, 282
1573159998814, 151609, 348, 345, 283
1573159998828, 151622, 345, 336, 292
1573159998840, 151635, 342, 334, 295
1573159998853, 151649, 344, 336, 286
1573159998866, 151661, 346, 339, 277
1573159998879, 151674, 345, 336, 275
1573159998892, 151688, 342, 332, 274
1573159998905, 151701, 339, 328, 272
1573159998918, 151714, 340, 330, 268
1573159998931, 151727, 341, 334, 267
1573159998944, 151740, 340, 335, 269
1573159998958, 151753, 342, 337, 270
1573159998971, 151766, 345, 341, 273
1573159998984, 151779, 348, 344, 275
1573159998997, 151792, 351, 347, 278
1573159999011, 151805, 352, 347, 282
1573159999023, 151819, 351, 347, 285
1573159999036, 151831, 348, 345, 283
1573159999049, 151844, 346, 340, 277
1573159999063, 151858, 344, 337, 272
1573159999076, 151871, 343, 336, 269
1573159999089, 151883, 343, 337, 269
1573159999102, 151897, 344, 338, 271
1573159999114, 151910, 345, 341, 275
1573159999128, 151923, 345, 341, 277
1573159999140, 151936, 343, 340, 278
1573159999154, 151949, 340, 339, 278
1573159999166, 151962, 340, 338, 278
1573159999181, 151975, 338, 336, 279
1573159999193, 151988, 337, 334, 279
1573159999206, 152001, 338, 335, 278
1573159999219, 152014, 339, 336, 278
1573159999232, 152028, 339, 336, 279
1573159999245, 152040, 338, 336, 280
1573159999259, 152053, 338, 337, 280
1573159999271, 152067, 339, 338, 278
1573159999284, 152080, 340, 339, 277
1573159999298, 152092, 340, 338, 279
1573159999311, 152105, 340, 337, 281
1573159999324, 152119, 342, 339, 283
1573159999337, 152132, 344, 341, 284
1573159999350, 152144, 346, 344, 284
1573159999362, 152158, 346, 345, 286
1573159999375, 152171, 344, 342, 285
1573159999389, 152184, 344, 340, 282
1573159999402, 152197, 344, 340, 279
1573159999415, 152210, 345, 341, 279
1573159999428, 152223, 345, 341, 282
1573159999441, 152237, 345, 340, 284
1573159999454, 152249, 345, 341, 286
