Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1558050044934, 512272, 545, 562, 605
1558050044947, 512285, 545, 562, 604
1558050044961, 512299, 545, 563, 604
1558050044974, 512311, 546, 562, 605
1558050044987, 512324, 545, 562, 605
1558050044999, 512337, 545, 562, 605
1558050045012, 512351, 545, 563, 605
1558050045026, 512363, 545, 562, 605
1558050045038, 512376, 545, 562, 604
1558050045051, 512390, 545, 563, 604
1558050045064, 512403, 545, 562, 605
1558050045078, 512415, 546, 562, 605
1558050045091, 512429, 545, 563, 605
1558050045104, 512442, 545, 562, 605
1558050045117, 512455, 545, 562, 605
1558050045131, 512467, 545, 562, 604
1558050045143, 512481, 545, 563, 605
1558050045156, 512494, 545, 563, 605
1558050045170, 512507, 545, 563, 604
1558050045183, 512520, 545, 563, 604
1558050045195, 512533, 545, 563, 605
1558050045209, 512546, 545, 562, 605
1558050045221, 512560, 545, 561, 605
1558050045234, 512572, 545, 561, 604
1558050045247, 512585, 545, 562, 605
1558050045261, 512599, 545, 563, 604
1558050045274, 512612, 545, 563, 604
1558050045287, 512624, 545, 563, 605
1558050045299, 512637, 545, 564, 605
1558050045314, 512651, 545, 563, 605
1558050045326, 512664, 545, 562, 605
1558050045339, 512677, 545, 562, 605
1558050045352, 512690, 546, 562, 605
1558050045366, 512703, 546, 562, 605
1558050045378, 512716, 545, 562, 605
1558050045392, 512730, 545, 562, 605
1558050045404, 512742, 545, 563, 604
1558050045418, 512755, 545, 563, 604
1558050045431, 512769, 545, 563, 605
1558050045443, 512782, 545, 563, 605
1558050045456, 512794, 545, 562, 604
1558050045469, 512807, 545, 562, 605
1558050045482, 512821, 545, 562, 605
1558050045495, 512834, 545, 562, 605
1558050045509, 512846, 545, 562, 605
1558050045522, 512860, 545, 562, 605
1558050045535, 512873, 545, 563, 605
1558050045547, 512886, 545, 563, 605
1558050045562, 512899, 545, 563, 605
1558050045574, 512912, 546, 563, 604
1558050045587, 512925, 546, 563, 605
1558050045600, 512939, 546, 562, 605
1558050045614, 512951, 545, 562, 604
1558050045627, 512964, 545, 562, 605
1558050045639, 512977, 545, 562, 604
1558050045652, 512991, 545, 563, 605
1558050045665, 513003, 545, 563, 605
1558050045678, 513016, 545, 563, 605
1558050045692, 513030, 545, 562, 605
1558050045705, 513043, 545, 562, 605
1558050045718, 513055, 545, 562, 605
1558050045731, 513069, 545, 563, 604
1558050045744, 513082, 545, 562, 605
1558050045757, 513095, 545, 562, 604
1558050045770, 513108, 545, 562, 605
1558050045783, 513121, 545, 562, 604
1558050045797, 513134, 545, 562, 605
