Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1558049630218, 97565, 507, 615, 538
1558049630232, 97579, 508, 614, 539
1558049630244, 97592, 507, 614, 539
1558049630257, 97605, 506, 614, 538
1558049630270, 97617, 506, 613, 538
1558049630283, 97631, 506, 614, 538
1558049630297, 97644, 506, 614, 539
1558049630309, 97657, 506, 614, 539
1558049630323, 97670, 507, 613, 540
1558049630335, 97683, 507, 613, 539
1558049630349, 97696, 507, 612, 539
1558049630362, 97709, 506, 612, 538
1558049630374, 97722, 506, 612, 538
1558049630388, 97735, 506, 612, 539
1558049630400, 97748, 506, 614, 539
1558049630414, 97761, 506, 614, 540
1558049630426, 97774, 506, 614, 539
1558049630439, 97787, 506, 614, 540
1558049630453, 97801, 508, 614, 539
1558049630466, 97813, 507, 614, 539
1558049630480, 97826, 508, 614, 539
1558049630492, 97840, 508, 613, 539
1558049630504, 97852, 508, 612, 539
1558049630518, 97865, 507, 613, 538
1558049630531, 97879, 507, 613, 537
1558049630544, 97892, 506, 614, 536
1558049630557, 97904, 506, 614, 536
1558049630570, 97917, 507, 614, 537
1558049630582, 97931, 507, 614, 537
1558049630596, 97943, 508, 614, 538
1558049630609, 97956, 508, 615, 537
1558049630622, 97970, 507, 615, 537
1558049630636, 97983, 507, 615, 537
1558049630648, 97995, 507, 614, 538
1558049630661, 98009, 508, 614, 538
1558049630674, 98022, 508, 614, 538
1558049630688, 98035, 508, 615, 538
1558049630701, 98048, 506, 614, 536
1558049630713, 98061, 505, 614, 535
1558049630726, 98074, 505, 614, 535
1558049630739, 98086, 506, 613, 535
1558049630753, 98100, 507, 613, 536
1558049630765, 98113, 508, 613, 537
1558049630778, 98126, 508, 613, 537
1558049630792, 98139, 509, 615, 537
1558049630804, 98152, 509, 617, 537
1558049630817, 98165, 509, 619, 536
1558049630831, 98178, 510, 618, 535
1558049630843, 98191, 514, 618, 533
1558049630856, 98204, 517, 619, 532
1558049630869, 98217, 519, 623, 532
1558049630883, 98230, 519, 626, 532
1558049630895, 98243, 517, 629, 530
1558049630908, 98256, 516, 630, 529
1558049630921, 98270, 517, 630, 525
1558049630935, 98282, 521, 629, 518
1558049630947, 98295, 531, 633, 505
1558049630961, 98309, 534, 649, 471
1558049630974, 98321, 531, 667, 428
1558049630987, 98334, 515, 684, 378
1558049630999, 98348, 484, 698, 333
1558049631012, 98361, 446, 698, 276
1558049631026, 98373, 464, 685, 260
1558049631038, 98386, 489, 684, 263
1558049631051, 98400, 558, 704, 259
1558049631065, 98412, 670, 721, 275
1558049631078, 98425, 763, 740, 238
1558049631091, 98439, 901, 718, 252
1558049631104, 98452, 951, 699, 322
1558049631117, 98464, 939, 589, 413
1558049631130, 98478, 897, 492, 499
1558049631143, 98491, 840, 511, 498
1558049631156, 98504, 826, 542, 570
1558049631170, 98516, 813, 536, 695
1558049631182, 98530, 793, 540, 715
1558049631195, 98543, 731, 567, 628
1558049631209, 98555, 690, 567, 593
1558049631221, 98569, 677, 554, 619
1558049631234, 98582, 660, 552, 639
1558049631248, 98595, 637, 553, 633
1558049631261, 98608, 617, 551, 632
1558049631274, 98621, 598, 549, 628
1558049631286, 98634, 583, 546, 620
1558049631300, 98647, 563, 548, 608
1558049631313, 98660, 549, 555, 607
1558049631325, 98673, 542, 563, 610
1558049631339, 98686, 530, 574, 596
1558049631352, 98699, 520, 586, 587
1558049631364, 98712, 518, 594, 595
1558049631378, 98725, 522, 598, 598
1558049631391, 98739, 526, 597, 598
1558049631404, 98751, 529, 595, 596
1558049631417, 98764, 530, 595, 589
1558049631430, 98778, 532, 592, 594
1558049631442, 98790, 537, 590, 598
1558049631456, 98803, 537, 590, 594
1558049631468, 98817, 534, 589, 589
1558049631481, 98830, 533, 588, 590
1558049631495, 98842, 535, 589, 589
1558049631507, 98855, 532, 591, 586
1558049631521, 98869, 531, 592, 587
1558049631535, 98881, 529, 594, 585
1558049631547, 98894, 528, 594, 585
1558049631559, 98908, 529, 593, 586
1558049631573, 98921, 528, 593, 584
1558049631586, 98933, 528, 593, 583
1558049631599, 98947, 529, 592, 584
1558049631612, 98960, 531, 592, 586
1558049631625, 98972, 528, 591, 580
1558049631638, 98985, 530, 590, 585
1558049631651, 98999, 536, 587, 592
1558049631664, 99012, 538, 584, 591
1558049631677, 99024, 537, 582, 587
1558049631690, 99038, 535, 581, 583
1558049631703, 99051, 536, 583, 583
1558049631716, 99064, 536, 584, 585
1558049631730, 99077, 537, 586, 590
1558049631743, 99090, 538, 588, 590
1558049631757, 99103, 537, 589, 588
1558049631769, 99116, 537, 588, 588
1558049631781, 99129, 538, 589, 588
1558049631794, 99142, 534, 589, 584
1558049631808, 99155, 535, 589, 588
1558049631820, 99168, 536, 589, 591
1558049631833, 99181, 536, 588, 591
1558049631847, 99194, 537, 587, 591
1558049631859, 99207, 536, 587, 590
1558049631873, 99220, 536, 587, 588
1558049631885, 99233, 535, 587, 587
1558049631899, 99247, 535, 588, 588
1558049631911, 99259, 534, 589, 589
1558049631924, 99272, 535, 589, 590
1558049631938, 99286, 535, 589, 591
1558049631950, 99299, 536, 590, 589
1558049631963, 99311, 533, 591, 585
1558049631977, 99324, 532, 590, 585
1558049631990, 99338, 534, 589, 588
1558049632003, 99350, 534, 588, 590
1558049632017, 99363, 534, 587, 588
1558049632030, 99377, 534, 588, 585
1558049632043, 99390, 532, 588, 584
1558049632056, 99402, 533, 588, 585
1558049632068, 99416, 533, 589, 586
1558049632081, 99429, 535, 587, 587
1558049632095, 99441, 536, 586, 589
