Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1558049741358, 208703, 528, 468, 618
1558049741372, 208715, 529, 468, 619
1558049741384, 208729, 529, 469, 619
1558049741396, 208742, 528, 468, 616
1558049741409, 208755, 528, 468, 616
1558049741423, 208769, 528, 467, 619
1558049741435, 208781, 528, 467, 619
1558049741448, 208794, 528, 467, 619
1558049741462, 208807, 528, 467, 618
1558049741476, 208821, 527, 468, 617
1558049741488, 208833, 527, 468, 617
1558049741502, 208846, 527, 469, 618
1558049741515, 208860, 527, 469, 619
1558049741528, 208873, 527, 468, 619
1558049741541, 208885, 528, 468, 619
1558049741555, 208899, 528, 468, 619
1558049741566, 208912, 528, 467, 617
1558049741580, 208925, 527, 467, 617
1558049741593, 208937, 527, 467, 618
1558049741607, 208951, 528, 467, 619
1558049741619, 208964, 527, 467, 617
1558049741632, 208977, 528, 467, 617
1558049741645, 208990, 527, 468, 617
1558049741659, 209003, 527, 468, 617
1558049741671, 209016, 528, 468, 619
1558049741684, 209030, 528, 466, 617
1558049741698, 209042, 529, 466, 618
1558049741710, 209055, 530, 467, 619
1558049741724, 209069, 532, 467, 619
1558049741736, 209082, 536, 466, 620
1558049741750, 209094, 547, 466, 621
1558049741763, 209107, 564, 466, 629
1558049741775, 209121, 592, 466, 638
1558049741789, 209134, 632, 461, 652
1558049741801, 209147, 686, 443, 676
1558049741814, 209160, 748, 425, 729
1558049741828, 209173, 785, 409, 764
1558049741841, 209186, 806, 407, 776
1558049741854, 209200, 815, 415, 771
1558049741867, 209212, 823, 433, 746
1558049741881, 209225, 852, 453, 684
1558049741894, 209239, 909, 471, 588
1558049741906, 209252, 987, 525, 480
1558049741919, 209264, 1017, 592, 376
1558049741933, 209277, 976, 630, 270
1558049741946, 209291, 857, 650, 249
1558049741959, 209304, 707, 612, 234
1558049741972, 209316, 598, 573, 242
1558049741986, 209330, 617, 525, 297
1558049741998, 209343, 725, 522, 367
1558049742011, 209356, 785, 532, 359
1558049742023, 209369, 759, 555, 310
1558049742037, 209382, 689, 577, 264
1558049742050, 209395, 613, 586, 238
1558049742063, 209409, 561, 593, 245
1558049742076, 209421, 550, 591, 289
1558049742090, 209434, 570, 579, 346
1558049742102, 209447, 587, 559, 384
1558049742115, 209461, 586, 538, 393
1558049742129, 209474, 576, 527, 391
1558049742143, 209486, 566, 524, 384
1558049742155, 209500, 558, 520, 380
1558049742168, 209513, 555, 517, 389
1558049742181, 209526, 559, 517, 403
1558049742194, 209539, 561, 516, 411
1558049742207, 209552, 565, 518, 414
1558049742219, 209565, 563, 520, 414
1558049742234, 209579, 559, 523, 408
1558049742246, 209591, 552, 524, 402
1558049742259, 209604, 548, 524, 403
1558049742273, 209617, 547, 523, 410
1558049742285, 209631, 549, 521, 420
1558049742298, 209643, 550, 520, 430
1558049742311, 209656, 550, 521, 436
1558049742324, 209670, 546, 522, 436
1558049742337, 209683, 539, 523, 433
1558049742351, 209695, 534, 521, 428
1558049742364, 209709, 533, 518, 428
1558049742377, 209722, 536, 516, 430
1558049742390, 209735, 540, 514, 435
1558049742403, 209747, 544, 513, 439
1558049742415, 209761, 544, 513, 437
1558049742429, 209774, 540, 513, 433
1558049742443, 209787, 538, 513, 431
1558049742456, 209800, 537, 515, 430
1558049742468, 209813, 537, 516, 431
1558049742481, 209826, 538, 517, 434
1558049742494, 209840, 538, 518, 434
1558049742508, 209853, 539, 518, 435
1558049742520, 209865, 539, 518, 433
1558049742534, 209879, 538, 517, 429
