Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1558050198561, 665895, 520, 510, 623
1558050198575, 665909, 521, 510, 623
1558050198588, 665922, 521, 510, 623
1558050198600, 665935, 521, 510, 622
1558050198613, 665948, 520, 510, 622
1558050198626, 665961, 520, 509, 622
1558050198639, 665974, 519, 509, 622
1558050198652, 665988, 519, 510, 622
1558050198666, 666000, 519, 510, 623
1558050198680, 666013, 521, 511, 622
1558050198692, 666027, 522, 510, 622
1558050198704, 666040, 521, 509, 622
1558050198718, 666052, 520, 509, 622
1558050198732, 666065, 519, 508, 622
1558050198745, 666079, 520, 508, 622
1558050198757, 666092, 521, 509, 622
1558050198771, 666104, 522, 510, 622
1558050198783, 666118, 521, 511, 622
1558050198797, 666131, 521, 510, 622
1558050198810, 666144, 520, 509, 623
1558050198822, 666157, 520, 509, 623
1558050198835, 666170, 519, 510, 623
1558050198849, 666183, 519, 509, 624
1558050198862, 666196, 520, 509, 624
1558050198875, 666209, 520, 509, 624
1558050198887, 666222, 520, 509, 623
1558050198900, 666235, 520, 510, 623
1558050198914, 666249, 519, 508, 624
1558050198928, 666261, 519, 508, 623
1558050198940, 666274, 520, 510, 623
1558050198953, 666288, 520, 512, 622
1558050198966, 666301, 520, 513, 622
1558050198980, 666314, 521, 513, 623
1558050198993, 666327, 522, 512, 623
1558050199006, 666340, 523, 511, 622
1558050199018, 666353, 523, 511, 622
1558050199032, 666366, 522, 512, 620
1558050199044, 666379, 520, 515, 621
1558050199058, 666392, 519, 522, 620
1558050199071, 666405, 510, 529, 620
1558050199083, 666419, 512, 525, 577
1558050199097, 666431, 514, 506, 517
1558050199110, 666444, 516, 504, 518
1558050199123, 666458, 517, 499, 519
1558050199136, 666471, 514, 502, 523
1558050199149, 666483, 512, 500, 525
1558050199162, 666497, 510, 497, 527
1558050199176, 666510, 559, 775, 876
1558050199189, 666523, 500, 495, 967
1558050199201, 666535, 478, 514, 538
1558050199216, 666549, 615, 501, 682
1558050199228, 666562, 570, 539, 636
1558050199241, 666575, 512, 522, 590
1558050199254, 666588, 527, 513, 607
1558050199268, 666601, 528, 513, 625
1558050199280, 666614, 513, 514, 617
1558050199293, 666628, 518, 514, 616
1558050199306, 666641, 520, 519, 619
1558050199319, 666653, 518, 519, 621
1558050199333, 666667, 520, 518, 624
1558050199346, 666680, 516, 512, 624
1558050199359, 666693, 522, 516, 623
1558050199371, 666705, 520, 512, 622
1558050199385, 666719, 521, 512, 620
1558050199397, 666732, 522, 512, 620
1558050199411, 666745, 524, 514, 622
1558050199424, 666758, 526, 516, 623
1558050199436, 666771, 524, 516, 620
1558050199450, 666784, 525, 517, 625
1558050199463, 666798, 522, 517, 623
1558050199476, 666810, 522, 517, 623
1558050199489, 666823, 521, 516, 622
1558050199502, 666836, 521, 515, 622
1558050199515, 666850, 521, 515, 622
1558050199529, 666862, 522, 515, 623
1558050199542, 666875, 522, 514, 622
1558050199555, 666889, 522, 513, 623
1558050199569, 666902, 522, 512, 622
1558050199581, 666915, 522, 511, 622
1558050199593, 666928, 522, 512, 623
1558050199606, 666941, 522, 514, 623
1558050199621, 666954, 522, 515, 622
1558050199633, 666968, 522, 515, 622
1558050199645, 666980, 522, 515, 622
1558050199658, 666993, 522, 516, 623
1558050199672, 667006, 522, 517, 622
1558050199685, 667020, 522, 517, 621
1558050199699, 667032, 523, 518, 621
1558050199711, 667045, 524, 518, 622
1558050199725, 667059, 524, 518, 623
1558050199738, 667072, 524, 518, 623
1558050199751, 667084, 524, 517, 622
1558050199763, 667098, 524, 516, 621
1558050199777, 667111, 524, 515, 621
1558050199790, 667124, 524, 515, 622
1558050199803, 667137, 523, 516, 622
1558050199816, 667150, 524, 516, 622
1558050199829, 667163, 523, 516, 622
1558050199842, 667176, 523, 516, 622
1558050199855, 667190, 523, 516, 622
1558050199868, 667202, 523, 516, 623
1558050199882, 667215, 523, 516, 622
1558050199894, 667229, 523, 516, 623
1558050199907, 667242, 523, 516, 622
1558050199920, 667254, 522, 517, 622
1558050199933, 667268, 522, 518, 622
1558050199947, 667281, 522, 518, 622
1558050199960, 667294, 522, 517, 622
1558050199973, 667307, 523, 517, 623
1558050199985, 667320, 523, 516, 622
1558050199999, 667333, 523, 515, 622
1558050200012, 667346, 523, 514, 622
1558050200025, 667359, 523, 514, 622
1558050200038, 667372, 522, 515, 623
1558050200051, 667385, 522, 516, 622
1558050200064, 667399, 522, 516, 622
