Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1558049769595, 236940, 411, 466, 537
1558049769609, 236953, 411, 467, 537
1558049769621, 236965, 411, 467, 536
1558049769634, 236979, 411, 467, 535
1558049769648, 236992, 411, 467, 535
1558049769661, 237005, 410, 467, 535
1558049769674, 237018, 410, 467, 536
1558049769686, 237031, 410, 467, 535
1558049769700, 237044, 409, 468, 535
1558049769713, 237058, 409, 468, 535
1558049769725, 237070, 410, 467, 535
1558049769739, 237083, 410, 467, 535
1558049769752, 237096, 410, 467, 535
1558049769765, 237110, 410, 467, 535
1558049769778, 237122, 410, 466, 535
1558049769792, 237135, 411, 466, 535
1558049769806, 237149, 411, 467, 535
1558049769817, 237162, 411, 467, 536
1558049769831, 237174, 411, 467, 535
1558049769844, 237188, 412, 467, 536
1558049769857, 237201, 411, 466, 535
1558049769869, 237214, 411, 465, 535
1558049769882, 237228, 410, 465, 535
1558049769895, 237240, 411, 466, 536
1558049769909, 237253, 410, 466, 535
1558049769922, 237266, 410, 466, 535
1558049769935, 237280, 410, 465, 535
1558049769949, 237292, 410, 464, 534
1558049769962, 237305, 410, 462, 533
1558049769974, 237319, 411, 461, 533
1558049769987, 237332, 407, 459, 531
1558049770001, 237344, 410, 448, 529
1558049770013, 237358, 412, 438, 529
1558049770027, 237371, 414, 431, 528
1558049770040, 237384, 416, 424, 527
1558049770052, 237396, 420, 422, 526
1558049770065, 237410, 426, 422, 525
1558049770078, 237423, 434, 423, 525
1558049770091, 237436, 443, 425, 526
1558049770105, 237449, 452, 425, 528
1558049770118, 237462, 462, 427, 533
1558049770132, 237475, 471, 430, 537
1558049770145, 237489, 478, 434, 537
1558049770157, 237501, 481, 440, 535
1558049770172, 237514, 482, 447, 532
1558049770183, 237528, 481, 455, 529
1558049770197, 237541, 482, 465, 528
1558049770209, 237554, 482, 478, 528
1558049770223, 237566, 481, 492, 528
1558049770235, 237580, 479, 508, 529
1558049770248, 237593, 475, 523, 529
1558049770261, 237606, 466, 537, 528
1558049770275, 237619, 461, 547, 527
1558049770287, 237632, 454, 556, 526
1558049770301, 237645, 446, 563, 519
1558049770315, 237659, 427, 563, 506
1558049770327, 237671, 415, 558, 495
1558049770339, 237684, 402, 551, 491
1558049770353, 237698, 400, 546, 493
1558049770366, 237711, 399, 554, 494
1558049770379, 237723, 390, 569, 493
1558049770392, 237736, 392, 577, 495
1558049770405, 237750, 361, 573, 487
1558049770419, 237763, 372, 563, 481
1558049770431, 237775, 362, 555, 476
1558049770445, 237789, 362, 552, 479
1558049770458, 237802, 360, 547, 492
1558049770471, 237815, 346, 539, 481
1558049770483, 237828, 358, 534, 481
1558049770496, 237841, 350, 528, 476
1558049770510, 237854, 352, 520, 470
1558049770523, 237868, 349, 514, 462
1558049770536, 237881, 347, 508, 457
1558049770549, 237893, 347, 503, 454
1558049770562, 237906, 350, 495, 452
1558049770576, 237920, 357, 486, 450
1558049770588, 237933, 362, 477, 448
1558049770602, 237945, 366, 469, 444
1558049770615, 237959, 370, 461, 437
1558049770628, 237972, 368, 459, 428
1558049770641, 237985, 368, 460, 421
1558049770654, 237998, 371, 463, 420
1558049770666, 238011, 378, 465, 423
1558049770680, 238024, 386, 461, 428
1558049770693, 238038, 392, 449, 432
1558049770706, 238050, 397, 442, 432
1558049770719, 238063, 403, 431, 431
1558049770732, 238076, 405, 424, 431
1558049770745, 238090, 410, 425, 432
1558049770758, 238102, 415, 426, 435
1558049770771, 238115, 419, 425, 439
1558049770785, 238129, 424, 424, 443
1558049770798, 238142, 428, 423, 448
1558049770811, 238155, 429, 425, 450
1558049770823, 238168, 429, 427, 450
1558049770836, 238181, 431, 426, 449
1558049770850, 238194, 434, 423, 453
1558049770863, 238208, 437, 421, 459
1558049770875, 238220, 440, 424, 462
1558049770889, 238233, 440, 428, 466
1558049770903, 238246, 442, 430, 467
1558049770915, 238260, 444, 436, 468
1558049770928, 238272, 445, 443, 471
1558049770942, 238285, 446, 449, 477
1558049770954, 238299, 450, 453, 482
1558049770967, 238312, 450, 454, 487
1558049770980, 238324, 449, 459, 491
1558049770993, 238338, 449, 464, 495
1558049771006, 238351, 451, 465, 498
1558049771020, 238364, 452, 465, 503
1558049771032, 238376, 450, 469, 507
1558049771045, 238390, 448, 473, 512
1558049771058, 238403, 445, 477, 516
1558049771071, 238416, 445, 477, 516
1558049771085, 238429, 444, 479, 516
1558049771098, 238442, 440, 485, 518
1558049771111, 238455, 439, 492, 522
1558049771124, 238469, 439, 501, 528
1558049771137, 238482, 440, 509, 535
1558049771150, 238494, 441, 517, 543
1558049771164, 238508, 440, 523, 550
1558049771176, 238521, 439, 526, 555
1558049771189, 238534, 435, 528, 559
1558049771203, 238546, 431, 528, 558
1558049771216, 238560, 427, 526, 559
1558049771228, 238573, 424, 525, 560
1558049771241, 238586, 421, 526, 562
1558049771255, 238599, 419, 522, 561
1558049771268, 238612, 416, 516, 558
1558049771282, 238625, 412, 511, 555
1558049771294, 238639, 409, 506, 551
1558049771307, 238651, 406, 504, 549
1558049771320, 238664, 405, 501, 547
1558049771333, 238678, 405, 499, 545
1558049771347, 238691, 405, 496, 543
1558049771359, 238703, 404, 494, 542
1558049771373, 238716, 403, 494, 540
1558049771386, 238730, 404, 494, 539
1558049771399, 238743, 405, 493, 537
1558049771411, 238756, 405, 493, 538
1558049771425, 238769, 404, 492, 538
1558049771437, 238782, 404, 491, 538
1558049771450, 238795, 405, 489, 537
1558049771463, 238809, 405, 488, 536
1558049771476, 238821, 406, 488, 536
1558049771490, 238834, 406, 488, 537
1558049771504, 238848, 406, 488, 536
