Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1558050177170, 644504, 519, 600, 581
1558050177182, 644517, 520, 600, 580
1558050177197, 644531, 520, 601, 580
1558050177208, 644544, 520, 603, 580
1558050177222, 644556, 521, 607, 582
1558050177235, 644570, 522, 611, 583
1558050177249, 644583, 524, 612, 585
1558050177261, 644596, 523, 614, 585
1558050177275, 644609, 522, 612, 587
1558050177288, 644622, 520, 608, 586
1558050177301, 644635, 517, 602, 585
1558050177313, 644648, 514, 596, 582
1558050177326, 644662, 512, 590, 582
1558050177340, 644674, 508, 584, 582
1558050177352, 644687, 504, 573, 582
1558050177366, 644701, 501, 557, 580
1558050177379, 644714, 497, 544, 576
1558050177392, 644726, 493, 525, 572
1558050177406, 644740, 498, 507, 563
1558050177418, 644753, 502, 494, 552
1558050177431, 644766, 503, 496, 545
1558050177445, 644779, 505, 525, 543
1558050177457, 644792, 518, 564, 538
1558050177471, 644805, 535, 618, 544
1558050177484, 644818, 556, 684, 577
1558050177496, 644831, 575, 765, 632
1558050177509, 644844, 573, 798, 661
1558050177523, 644857, 569, 780, 655
1558050177536, 644871, 552, 723, 630
1558050177548, 644883, 529, 662, 606
1558050177562, 644896, 512, 602, 586
1558050177575, 644910, 503, 542, 563
1558050177588, 644923, 494, 491, 540
1558050177601, 644935, 483, 456, 525
1558050177614, 644948, 481, 441, 521
1558050177627, 644962, 485, 459, 528
1558050177641, 644975, 493, 494, 537
1558050177653, 644988, 499, 524, 544
1558050177666, 645001, 509, 562, 549
1558050177679, 645014, 521, 606, 553
1558050177693, 645027, 535, 666, 571
1558050177706, 645041, 545, 734, 610
1558050177717, 645053, 556, 775, 647
1558050177731, 645066, 559, 771, 657
1558050177744, 645080, 545, 721, 637
1558050177759, 645093, 525, 668, 615
1558050177770, 645105, 512, 604, 590
1558050177784, 645118, 504, 538, 565
1558050177797, 645132, 496, 487, 540
1558050177810, 645145, 487, 451, 524
1558050177823, 645157, 483, 445, 523
1558050177836, 645171, 487, 473, 532
1558050177849, 645184, 494, 503, 541
1558050177862, 645197, 499, 533, 550
1558050177876, 645210, 507, 570, 552
1558050177889, 645223, 518, 615, 561
1558050177901, 645236, 531, 668, 584
1558050177914, 645250, 543, 725, 616
1558050177927, 645263, 549, 761, 645
1558050177940, 645275, 554, 752, 648
1558050177953, 645288, 541, 704, 630
1558050177967, 645302, 528, 656, 607
1558050177980, 645315, 514, 595, 584
1558050177993, 645327, 504, 534, 560
1558050178007, 645341, 492, 482, 534
1558050178020, 645354, 481, 445, 520
1558050178033, 645367, 478, 444, 521
1558050178045, 645380, 487, 475, 529
1558050178058, 645393, 494, 510, 540
1558050178072, 645406, 505, 551, 545
1558050178085, 645420, 518, 601, 556
1558050178098, 645432, 532, 663, 578
1558050178112, 645445, 542, 723, 608
1558050178124, 645458, 550, 767, 637
1558050178137, 645472, 556, 772, 647
1558050178150, 645484, 551, 734, 632
1558050178163, 645497, 538, 692, 613
1558050178176, 645511, 529, 644, 593
1558050178190, 645524, 521, 599, 575
1558050178202, 645537, 511, 567, 563
1558050178216, 645550, 502, 545, 554
1558050178228, 645563, 494, 536, 552
1558050178241, 645576, 493, 532, 556
1558050178255, 645590, 494, 538, 565
1558050178268, 645602, 492, 544, 573
1558050178280, 645615, 489, 543, 577
1558050178293, 645628, 485, 536, 578
1558050178307, 645642, 487, 526, 574
1558050178321, 645654, 491, 519, 569
1558050178333, 645667, 494, 514, 563
1558050178346, 645681, 496, 515, 560
1558050178359, 645694, 497, 518, 558
1558050178372, 645706, 501, 520, 553
1558050178385, 645720, 502, 535, 550
1558050178398, 645733, 508, 562, 552
1558050178411, 645746, 517, 592, 558
1558050178425, 645758, 528, 624, 568
1558050178438, 645772, 538, 659, 584
1558050178451, 645785, 543, 690, 603
1558050178464, 645798, 545, 711, 618
1558050178477, 645811, 546, 716, 623
1558050178489, 645824, 545, 699, 615
1558050178503, 645837, 540, 674, 603
1558050178515, 645851, 531, 651, 592
1558050178529, 645864, 523, 626, 581
1558050178542, 645876, 519, 605, 574
1558050178554, 645890, 516, 583, 566
1558050178568, 645903, 513, 567, 561
1558050178581, 645916, 511, 557, 558
1558050178594, 645928, 509, 552, 556
1558050178607, 645942, 508, 553, 557
1558050178622, 645955, 507, 561, 560
1558050178633, 645968, 507, 572, 567
1558050178646, 645981, 509, 582, 570
1558050178659, 645994, 511, 592, 573
