Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1558049701112, 168458, 608, 557, 485
1558049701126, 168471, 606, 557, 482
1558049701138, 168483, 605, 558, 482
1558049701150, 168497, 605, 558, 482
1558049701163, 168510, 606, 557, 482
1558049701177, 168523, 606, 556, 482
1558049701189, 168537, 607, 556, 483
1558049701203, 168549, 607, 557, 484
1558049701216, 168562, 607, 557, 484
1558049701230, 168576, 606, 557, 484
1558049701243, 168589, 605, 556, 482
1558049701256, 168601, 604, 556, 482
1558049701269, 168614, 604, 556, 483
1558049701282, 168628, 605, 557, 482
1558049701295, 168641, 605, 556, 483
1558049701307, 168653, 606, 557, 483
1558049701322, 168667, 606, 557, 483
1558049701334, 168680, 607, 557, 484
1558049701347, 168693, 607, 557, 483
1558049701360, 168706, 605, 557, 483
1558049701374, 168719, 605, 556, 483
1558049701386, 168732, 605, 556, 482
1558049701399, 168745, 604, 556, 483
1558049701412, 168758, 605, 556, 484
1558049701425, 168771, 608, 557, 485
1558049701439, 168784, 608, 556, 486
1558049701452, 168798, 611, 558, 488
1558049701465, 168810, 612, 561, 490
1558049701477, 168823, 616, 565, 491
1558049701490, 168837, 627, 570, 497
1558049701504, 168850, 641, 577, 510
1558049701516, 168862, 660, 582, 525
1558049701530, 168876, 679, 588, 540
1558049701543, 168889, 689, 596, 552
1558049701556, 168902, 695, 599, 554
1558049701570, 168914, 700, 600, 562
1558049701582, 168928, 706, 603, 563
1558049701594, 168941, 711, 604, 565
1558049701608, 168954, 723, 604, 572
1558049701621, 168968, 736, 603, 567
1558049701635, 168980, 753, 604, 566
1558049701647, 168993, 773, 614, 577
1558049701660, 169007, 805, 622, 587
1558049701674, 169020, 849, 627, 574
1558049701688, 169032, 867, 638, 550
1558049701700, 169046, 843, 636, 532
1558049701713, 169059, 794, 624, 536
1558049701726, 169072, 750, 592, 533
1558049701740, 169084, 709, 569, 534
1558049701752, 169098, 662, 549, 530
1558049701765, 169111, 627, 539, 538
1558049701777, 169124, 601, 538, 536
1558049701791, 169137, 573, 530, 529
1558049701804, 169150, 551, 519, 518
1558049701817, 169163, 532, 504, 495
1558049701830, 169177, 516, 498, 479
1558049701843, 169189, 505, 496, 471
1558049701856, 169202, 494, 496, 465
1558049701870, 169216, 490, 507, 469
1558049701882, 169229, 487, 515, 478
1558049701896, 169241, 485, 523, 484
1558049701908, 169254, 480, 528, 489
1558049701923, 169268, 473, 532, 495
1558049701936, 169281, 463, 535, 501
1558049701948, 169293, 455, 537, 512
1558049701960, 169307, 448, 539, 526
1558049701974, 169320, 444, 538, 538
1558049701987, 169333, 440, 531, 547
1558049701999, 169347, 435, 524, 551
1558049702012, 169359, 429, 518, 554
1558049702027, 169372, 424, 512, 557
1558049702039, 169385, 419, 509, 561
1558049702052, 169399, 415, 510, 568
1558049702066, 169411, 412, 508, 574
1558049702079, 169424, 412, 505, 580
1558049702092, 169438, 414, 501, 585
1558049702104, 169451, 414, 497, 586
1558049702118, 169463, 412, 498, 586
1558049702131, 169477, 409, 500, 584
1558049702144, 169490, 407, 502, 581
