Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589325980224, 519543, -80, 3488, 7600
1589325980235, 519554, -128, 3664, 7904
1589325980246, 519565, -208, 3904, 8112
1589325980257, 519576, -240, 4016, 8080
1589325980269, 519587, -416, 4208, 8160
1589325980279, 519598, -432, 4416, 8080
1589325980290, 519609, -624, 4512, 8112
1589325980301, 519620, -624, 4608, 8048
1589325980313, 519631, -512, 4736, 7984
1589325980323, 519642, -608, 4528, 8048
1589325980334, 519653, -512, 4384, 8000
1589325980345, 519664, -480, 4320, 7856
1589325980358, 519675, -624, 4320, 7824
1589325980367, 519686, -752, 4368, 7664
1589325980378, 519697, -912, 4288, 7696
1589325980389, 519708, -1136, 4336, 7664
1589325980401, 519719, -1408, 4448, 7712
1589325980412, 519730, -1664, 4544, 7712
1589325980422, 519741, -1936, 4736, 7664
1589325980434, 519752, -2160, 4896, 7664
1589325980444, 519763, -2112, 5104, 7504
1589325980455, 519774, -2320, 5008, 7456
1589325980467, 519785, -2416, 4576, 7488
1589325980477, 519796, -2576, 4096, 7360
1589325980489, 519807, -2512, 3744, 7520
1589325980500, 519818, -2480, 3152, 7328
1589325980510, 519829, -2416, 2624, 7328
1589325980521, 519840, -2304, 2032, 7040
1589325980532, 519851, -2432, 1584, 6960
1589325980544, 519862, -2592, 1072, 6992
1589325980554, 519873, -2656, 896, 7232
1589325980567, 519884, -2944, 688, 7808
1589325980577, 519895, -2912, 640, 7856
1589325980588, 519906, -3232, 816, 8064
1589325980598, 519917, -3328, 1008, 8064
1589325980610, 519928, -4176, 1328, 8240
1589325980621, 519939, -4368, 1104, 8544
1589325980631, 519950, -4512, 1136, 9024
1589325980642, 519961, -4496, 864, 9536
1589325980653, 519972, -3792, 496, 9584
1589325980664, 519983, -2848, 448, 9296
1589325980676, 519994, -2768, 256, 8912
1589325980686, 520005, -2576, 320, 8352
1589325980697, 520016, -2720, 368, 8064
1589325980709, 520027, -3552, 192, 7984
1589325980719, 520038, -4240, 192, 8016
1589325980730, 520049, -5488, 208, 8288
1589325980741, 520060, -6464, 224, 8736
1589325980752, 520071, -7168, 80, 9360
1589325980763, 520082, -7312, -448, 9760
1589325980776, 520093, -7168, -1232, 9696
1589325980786, 520104, -6688, -1968, 9168
1589325980797, 520115, -6160, -2976, 8720
1589325980808, 520126, -5648, -3616, 8288
1589325980819, 520137, -5376, -4048, 8016
1589325980830, 520148, -5344, -4400, 7872
1589325980841, 520159, -5248, -4800, 7808
1589325980852, 520170, -5264, -5280, 7408
1589325980863, 520181, -5872, -5552, 7632
1589325980874, 520192, -5920, -6128, 7776
1589325980885, 520203, -6576, -6336, 8016
1589325980896, 520214, -6576, -6544, 8640
1589325980907, 520225, -6624, -6496, 9248
1589325980918, 520236, -6848, -6304, 10240
1589325980929, 520247, -7232, -6320, 10400
1589325980940, 520258, -7616, -5968, 10496
1589325980951, 520269, -8096, -6016, 10464
1589325980962, 520280, -9152, -5264, 10272
1589325980973, 520291, -10112, -4528, 10176
1589325980984, 520302, -11120, -3968, 10064
1589325980995, 520313, -11440, -3728, 10384
1589325981006, 520324, -11376, -3248, 10432
1589325981017, 520335, -11008, -2768, 10336
1589325981028, 520346, -10816, -2192, 10064
1589325981039, 520357, -10640, -2032, 9776
1589325981050, 520368, -10656, -1904, 9440
1589325981061, 520379, -10832, -1872, 9072
1589325981072, 520390, -10912, -1984, 8864
1589325981083, 520401, -10976, -1952, 9152
1589325981094, 520412, -10576, -1536, 9280
1589325981105, 520423, -10464, -912, 9456
1589325981115, 520434, -9520, -624, 9568
1589325981126, 520445, -9360, -816, 9360
1589325981138, 520456, -8256, -976, 9152
1589325981149, 520467, -8112, -1296, 8720
1589325981160, 520478, -6800, -1456, 8592
1589325981171, 520489, -6592, -1488, 8784
1589325981181, 520500, -7376, -832, 9120
1589325981192, 520511, -9216, -176, 9552
1589325981204, 520522, -11536, -240, 10256
1589325981215, 520533, -15232, -528, 10640
1589325981226, 520544, -18048, 656, 10384
1589325981237, 520555, -21840, 3264, 9472
1589325981248, 520566, -24224, 4336, 8064
1589325981259, 520577, -24416, 4640, 5872
1589325981270, 520588, -23424, 5792, 4368
1589325981281, 520599, -22496, 7632, 2864
1589325981292, 520610, -20448, 8320, 2224
1589325981303, 520621, -17872, 8224, 1760
