Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589326150151, 689471, 1968, 96, 7888
1589326150162, 689482, 1888, 48, 7840
1589326150173, 689493, 1920, 64, 7872
1589326150184, 689504, 1968, 32, 7808
1589326150195, 689515, 1904, 80, 7856
1589326150206, 689526, 2032, 48, 7840
1589326150217, 689537, 1888, 64, 7872
1589326150228, 689548, 1936, 96, 7904
1589326150239, 689559, 1872, 80, 7904
1589326150250, 689570, 1872, 96, 7920
1589326150261, 689581, 1872, 112, 7920
1589326150272, 689592, 1904, 80, 7840
1589326150283, 689603, 1872, 96, 7840
1589326150294, 689614, 1904, 16, 7824
1589326150305, 689625, 1888, 48, 7840
1589326150316, 689636, 1936, 0, 7840
1589326150327, 689647, 1872, 0, 7856
1589326150338, 689658, 1920, 0, 7856
1589326150349, 689669, 1824, 64, 7904
1589326150360, 689680, 1792, 32, 7904
1589326150371, 689691, 1888, 80, 7904
1589326150381, 689702, 1904, 32, 7760
1589326150393, 689713, 1824, 32, 7840
1589326150404, 689724, 1840, 32, 7680
1589326150415, 689735, 1904, 32, 7824
1589326150426, 689746, 1920, 16, 7840
1589326150437, 689757, 1856, 16, 7744
1589326150448, 689768, 1872, 96, 7888
1589326150459, 689779, 1888, 128, 7856
1589326150470, 689790, 1808, 96, 7808
1589326150481, 689801, 1808, 16, 7856
1589326150492, 689812, 1872, -16, 7776
1589326150503, 689823, 1872, -32, 7840
1589326150514, 689834, 1824, -48, 7904
1589326150525, 689845, 1840, -64, 7936
1589326150536, 689856, 2016, -64, 7984
1589326150547, 689867, 1968, -96, 8096
1589326150558, 689878, 2496, -128, 8288
1589326150569, 689889, 2720, -288, 8400
1589326150580, 689900, 3200, -528, 8432
1589326150591, 689911, 3584, -640, 8480
1589326150602, 689922, 4000, -752, 8608
1589326150613, 689933, 4464, -848, 9152
1589326150624, 689944, 4736, -704, 9488
1589326150635, 689955, 4928, -448, 10176
1589326150647, 689966, 4848, -336, 10752
1589326150657, 689977, 4784, -240, 11248
1589326150668, 689988, 4688, -240, 11232
1589326150679, 689999, 4656, -528, 11392
1589326150690, 690010, 4288, -816, 10912
1589326150701, 690021, 4032, -448, 10976
1589326150712, 690032, 4272, -256, 10864
1589326150723, 690043, 4512, -832, 11008
1589326150734, 690054, 4864, -1408, 10640
1589326150745, 690065, 5040, -1728, 9984
1589326150756, 690076, 5328, -1952, 9488
1589326150767, 690087, 5344, -2160, 8944
1589326150778, 690098, 5392, -2288, 8240
1589326150789, 690109, 4960, -2288, 7568
1589326150800, 690120, 4832, -2160, 6880
1589326150811, 690131, 4224, -1920, 6192
1589326150822, 690142, 4032, -1680, 5552
1589326150833, 690153, 3568, -1440, 5136
1589326150844, 690164, 3440, -1344, 4704
1589326150855, 690175, 3200, -1248, 4272
1589326150866, 690186, 3152, -1152, 3680
1589326150877, 690197, 3184, -1136, 3200
1589326150888, 690208, 3376, -1136, 2688
1589326150899, 690219, 3440, -1216, 2288
1589326150910, 690230, 3552, -1248, 2112
1589326150921, 690241, 3408, -1216, 2016
1589326150932, 690252, 3120, -1120, 2112
1589326150943, 690263, 3056, -1072, 2288
1589326150954, 690274, 2944, -928, 2576
1589326150965, 690285, 2816, -704, 2784
1589326150976, 690296, 2512, -448, 3072
1589326150987, 690307, 2192, -208, 3040
1589326150998, 690318, 1632, 160, 2608
1589326151009, 690329, 1296, 352, 2416
1589326151020, 690340, 1200, 544, 2096
1589326151031, 690351, 1184, 720, 2272
1589326151042, 690362, 1200, 352, 3200
1589326151053, 690373, 1008, 320, 3792
1589326151064, 690384, 864, 208, 4256
1589326151075, 690395, 832, 336, 4304
1589326151086, 690406, -160, 688, 4064
1589326151097, 690417, -272, 704, 3760
1589326151108, 690428, -1104, 368, 3792
1589326151119, 690439, -1040, 160, 4016
1589326151130, 690450, -768, 224, 5392
1589326151141, 690461, -752, 256, 8176
1589326151152, 690472, -560, -16, 10112
1589326151163, 690483, -768, -608, 10816
1589326151174, 690494, -896, -224, 10400
1589326151185, 690505, -1552, 464, 8832
1589326151196, 690516, -2016, 560, 7920
1589326151207, 690527, -1440, -224, 7360
1589326151218, 690538, -320, -608, 6880
1589326151229, 690549, 624, -832, 5936
1589326151240, 690560, 1312, -1280, 6128
1589326151251, 690571, 976, -2336, 8480
1589326151262, 690582, 1168, -3712, 9360
1589326151273, 690593, 1040, -4496, 9296
1589326151284, 690604, 1040, -4384, 8816
1589326151295, 690615, 1296, -4080, 8592
1589326151306, 690626, 1328, -4080, 8000
1589326151317, 690637, 1200, -4144, 7760
1589326151328, 690648, 1312, -4048, 8320
1589326151339, 690659, 1168, -4336, 9456
1589326151350, 690670, 1472, -5040, 10672
1589326151361, 690681, 1808, -5040, 11280
1589326151372, 690692, 2160, -4144, 11376
1589326151383, 690703, 2032, -4128, 11536
1589326151394, 690714, 1536, -3152, 11440
1589326151405, 690725, 752, -3168, 10736
1589326151416, 690736, 64, -3312, 10304
1589326151427, 690747, -224, -3280, 10192
1589326151438, 690758, -352, -3440, 9920
1589326151449, 690769, -208, -5712, 9632
1589326151459, 690780, 80, -2896, 10432
1589326151470, 690791, 448, -3952, 9616
1589326151481, 690802, 480, -4512, 9200
1589326151492, 690813, 448, -3936, 9136
1589326151504, 690824, 432, -4640, 8976
1589326151516, 690835, 432, -5136, 8960
1589326151526, 690846, -128, -5024, 8752
1589326151537, 690857, -80, -4384, 9248
1589326151549, 690868, -800, -3952, 10048
1589326151559, 690879, -880, -4080, 11024
1589326151570, 690890, -768, -4480, 11840
1589326151581, 690901, -432, -4768, 12896
1589326151592, 690912, -64, -4912, 13008
1589326151603, 690923, 224, -4416, 13008
1589326151614, 690934, 800, -4112, 12768
1589326151625, 690945, 1520, -3520, 12640
1589326151636, 690956, 1488, -3456, 11920
1589326151647, 690967, 880, -2976, 10816
1589326151657, 690978, 64, -2832, 9680
1589326151669, 690989, -304, -2864, 8880
1589326151680, 691000, -240, -2992, 8256
1589326151690, 691011, 240, -3184, 8048
1589326151702, 691022, 496, -3440, 8640
1589326151713, 691033, 960, -4112, 9456
1589326151724, 691044, 1088, -4496, 10240
1589326151735, 691055, 1136, -4784, 10928
1589326151746, 691066, 1168, -5008, 11296
1589326151757, 691077, 1408, -5376, 11360
1589326151768, 691088, 1440, -5568, 11488
1589326151779, 691099, 1248, -5648, 11456
1589326151790, 691110, 1200, -5872, 11280
1589326151801, 691121, 1328, -5792, 11200
1589326151812, 691132, 1376, -5888, 11056
1589326151823, 691143, 2096, -5808, 11040
1589326151834, 691154, 2176, -5776, 10976
1589326151845, 691165, 2464, -5792, 10816
1589326151856, 691176, 2464, -5952, 10592
1589326151867, 691187, 2480, -6096, 10400
1589326151878, 691198, 2560, -5936, 10032
1589326151889, 691209, 2592, -5664, 9488
1589326151900, 691220, 2544, -5520, 8784
1589326151911, 691231, 2640, -5600, 8672
1589326151922, 691242, 2816, -5808, 8704
1589326151932, 691253, 2336, -5600, 9216
1589326151944, 691264, 1856, -5216, 9632
1589326151955, 691275, 1568, -4768, 9856
1589326151966, 691286, 1536, -4560, 10000
1589326151976, 691297, 1904, -4688, 9920
1589326151988, 691308, 2336, -4928, 10128
1589326151998, 691319, 2512, -5088, 9984
1589326152009, 691330, 3536, -4992, 9872
1589326152021, 691341, 3648, -4816, 9568
1589326152031, 691352, 3536, -4624, 9296
1589326152042, 691363, 3520, -4288, 8592
1589326152054, 691374, 3232, -4000, 7920
1589326152064, 691385, 3136, -3680, 7024
1589326152076, 691396, 2992, -3616, 6448
1589326152086, 691407, 2880, -3408, 6000
1589326152098, 691418, 2880, -3248, 5616
1589326152109, 691429, 2912, -3104, 5440
1589326152120, 691440, 2912, -3088, 5264
1589326152131, 691451, 2912, -2880, 5184
1589326152142, 691462, 2928, -2784, 5392
1589326152153, 691473, 3024, -2624, 5376
1589326152164, 691484, 3264, -2592, 5232
1589326152175, 691495, 3456, -2320, 4864
1589326152186, 691506, 3440, -2208, 4752
1589326152196, 691517, 3488, -2064, 4832
1589326152208, 691528, 3728, -2016, 4656
1589326152218, 691539, 3984, -1872, 4432
1589326152230, 691550, 3904, -1536, 3856
1589326152241, 691561, 4512, -1424, 2768
1589326152251, 691572, 4496, -1376, 1920
1589326152262, 691583, 4816, -1376, 1344
1589326152274, 691594, 4960, -1376, 1264
1589326152285, 691605, 5296, -1312, 1312
1589326152296, 691616, 5280, -1200, 1552
1589326152307, 691627, 5088, -896, 1696
1589326152318, 691638, 5024, -320, 1312
1589326152328, 691649, 4448, 304, 768
1589326152339, 691660, 3760, 864, 160
1589326152350, 691671, 2704, 1344, -496
1589326152361, 691682, 1440, 2272, -1424
1589326152373, 691693, -16, 3120, -2400
1589326152384, 691704, -2272, 4896, -3440
1589326152395, 691715, -3184, 5808, -4624
1589326152407, 691726, -4192, 7024, -5088
1589326152418, 691737, -4976, 7712, -4480
1589326152429, 691748, -7184, 10256, -2320
1589326152440, 691759, -8464, 11744, -624
1589326152451, 691770, -10352, 12848, 1056
1589326152462, 691781, -11680, 13488, 2448
1589326152473, 691792, -12176, 14992, 2656
1589326152484, 691803, -12176, 17664, 1472
1589326152495, 691814, -14368, 19744, 896
1589326152506, 691825, -14848, 20768, 1344
1589326152516, 691836, -19152, 20608, 2160
1589326152528, 691847, -19760, 19840, 3904
1589326152539, 691858, -25056, 18560, 5984
1589326152550, 691869, -28800, 15616, 8992
1589326152561, 691880, -31968, 11520, 10880
1589326152572, 691891, -32608, 5072, 11872
1589326152583, 691902, -32624, -96, 12016
1589326152593, 691913, -32624, -7456, 10976
1589326152604, 691924, -32624, -13248, 10576
1589326152616, 691935, -32624, -19632, 10192
1589326152627, 691946, -32624, -25552, 10752
1589326152637, 691957, -32624, -30224, 11600
1589326152649, 691968, -32624, -28864, 9056
1589326152659, 691979, -32624, -27168, 4336
1589326152670, 691990, -32624, -31904, 1856
1589326152682, 692001, -32624, -32592, -5264
1589326152693, 692012, -32624, -32624, -15872
1589326152703, 692023, -32624, -32624, -23632
1589326152715, 692034, -32624, -32624, -27600
1589326152726, 692045, -11248, -32624, -2512
1589326152736, 692056, 4000, -32624, 16224
1589326152747, 692067, 6896, -20144, 28432
1589326152758, 692078, -2656, -17920, 16160
1589326152769, 692089, -5888, -18272, 8368
1589326152780, 692100, -13008, -20896, -5984
1589326152792, 692111, -8416, -21888, -15600
1589326152802, 692122, -4272, -18400, -17360
1589326152813, 692133, -1712, -17072, -12976
1589326152824, 692144, -3696, -17152, -6176
1589326152835, 692155, -3088, -18464, -1824
1589326152846, 692166, -2368, -20240, 128
1589326152857, 692177, -2480, -21328, -112
1589326152868, 692188, -2304, -20896, -320
1589326152879, 692199, -2352, -19728, 48
1589326152890, 692210, -1168, -18448, 928
1589326152901, 692221, -1024, -16544, 1728
1589326152912, 692232, -1056, -14896, 1440
1589326152923, 692243, -1168, -13184, 0
1589326152934, 692254, -3280, -12320, -1120
1589326152945, 692265, -3504, -11104, -1440
1589326152956, 692276, -4736, -9904, -528
1589326152967, 692287, -4640, -8848, 640
1589326152978, 692298, -4240, -8320, 1376
1589326152989, 692309, -3904, -8640, 2048
1589326153000, 692320, -3296, -9184, 2112
