Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1589326295603, 834924, -1072, 960, 7776
1589326295614, 834935, -1024, 944, 7792
1589326295625, 834946, -912, 912, 7888
1589326295636, 834957, -880, 880, 7920
1589326295647, 834968, -864, 880, 8064
1589326295658, 834979, -960, 928, 8096
1589326295669, 834990, -992, 912, 8128
1589326295680, 835001, -1024, 928, 7920
1589326295691, 835012, -1024, 880, 7856
1589326295702, 835023, -1072, 944, 7680
1589326295713, 835034, -1088, 896, 7584
1589326295724, 835045, -960, 928, 7680
1589326295734, 835056, -1008, 912, 7840
1589326295745, 835067, -928, 864, 7984
1589326295756, 835078, -912, 944, 7968
1589326295767, 835089, -976, 1024, 7744
1589326295778, 835100, -944, 944, 8032
1589326295789, 835111, -1024, 960, 8032
1589326295800, 835122, -928, 960, 7952
1589326295811, 835133, -1104, 960, 7888
1589326295822, 835144, -1152, 912, 7712
1589326295833, 835155, -1136, 944, 7728
1589326295844, 835166, -960, 928, 7872
1589326295855, 835177, -912, 832, 8000
1589326295866, 835188, -864, 832, 8256
1589326295877, 835199, -944, 880, 8240
1589326295888, 835210, -1024, 896, 8112
1589326295899, 835221, -1056, 896, 7984
1589326295911, 835232, -1008, 864, 7952
1589326295921, 835243, -1008, 880, 7824
1589326295932, 835254, -1024, 880, 7584
1589326295943, 835265, -896, 976, 7808
1589326295954, 835276, -928, 976, 7840
1589326295965, 835287, -880, 960, 8032
1589326295976, 835298, -880, 928, 8032
1589326295987, 835309, -816, 992, 7952
1589326295998, 835320, -944, 976, 7824
1589326296009, 835331, -896, 976, 7632
1589326296020, 835342, -848, 1072, 7472
1589326296031, 835353, -720, 1040, 7424
1589326296042, 835364, -752, 1008, 7376
1589326296053, 835375, -800, 1024, 7264
1589326296064, 835386, -736, 1072, 7200
1589326296075, 835397, -640, 960, 7072
1589326296086, 835408, -608, 848, 6880
1589326296097, 835419, -432, 736, 6528
1589326296108, 835430, -192, 480, 6272
1589326296119, 835441, -96, 176, 6016
1589326296130, 835452, -96, -128, 5984
1589326296141, 835463, -352, -640, 6016
1589326296153, 835474, -528, -1040, 6384
1589326296164, 835485, -624, -1440, 6912
1589326296174, 835496, -656, -1888, 7088
1589326296186, 835507, -496, -2208, 7424
1589326296196, 835518, -608, -2320, 7696
1589326296208, 835529, -672, -2448, 7776
1589326296219, 835540, -704, -2576, 7904
1589326296230, 835551, -768, -2880, 7920
1589326296240, 835562, -768, -3056, 8016
1589326296252, 835573, -1056, -3248, 8656
1589326296263, 835584, -1168, -3632, 9072
1589326296274, 835595, -1392, -3696, 9600
1589326296285, 835606, -1456, -3440, 10048
1589326296296, 835617, -2352, -3248, 10416
1589326296307, 835628, -3312, -2832, 10736
1589326296318, 835639, -4000, -2400, 11200
1589326296329, 835650, -4656, -1632, 11840
1589326296340, 835661, -5104, -1024, 12400
1589326296351, 835672, -5536, -272, 13184
1589326296361, 835683, -5664, 336, 13568
1589326296373, 835694, -5856, 1168, 14048
1589326296384, 835705, -5936, 1376, 14256
1589326296395, 835716, -6224, 1808, 14384
1589326296406, 835727, -6544, 2304, 14240
1589326296417, 835738, -6752, 2640, 14064
1589326296428, 835749, -6768, 3056, 14464
1589326296439, 835760, -6720, 2944, 14848
1589326296450, 835771, -6976, 3024, 15360
1589326296461, 835782, -7424, 2928, 15360
1589326296472, 835793, -7632, 3072, 15632
1589326296483, 835804, -7504, 3360, 15024
1589326296494, 835815, -7488, 3632, 14352
1589326296505, 835826, -7216, 3712, 13040
1589326296516, 835837, -7360, 3952, 12016
1589326296527, 835848, -6432, 4272, 11312
1589326296538, 835859, -6272, 4496, 11008
1589326296549, 835870, -5088, 4768, 10816
1589326296560, 835881, -4880, 5072, 10048
1589326296571, 835892, -5152, 5024, 9232
1589326296582, 835903, -5232, 5136, 8656
1589326296593, 835914, -5728, 5168, 8832
1589326296604, 835925, -5424, 5088, 8816
1589326296615, 835936, -5152, 5088, 8768
1589326296626, 835947, -4688, 4736, 8608
1589326296637, 835958, -4096, 4224, 8864
1589326296648, 835969, -3216, 3728, 8784
1589326296659, 835980, -2864, 3488, 8080
1589326296670, 835991, -2960, 3696, 6480
1589326296681, 836002, -3056, 3968, 5200
1589326296692, 836013, -3376, 4336, 4368
1589326296703, 836024, -3360, 4640, 4112
1589326296714, 836035, -3632, 4848, 3664
1589326296725, 836046, -3792, 5120, 3056
1589326296736, 836057, -3872, 5456, 2304
1589326296746, 836068, -3808, 5696, 1568
1589326296758, 836079, -3760, 5904, 592
1589326296768, 836090, -3664, 6048, 240
1589326296779, 836101, -3408, 5776, -256
1589326296791, 836112, -3392, 5248, -848
1589326296802, 836123, -3136, 4848, -1424
1589326296813, 836134, -3040, 4688, -1888
1589326296824, 836145, -2240, 4480, -2368
1589326296835, 836156, -2128, 4208, -2544
1589326296846, 836167, -1488, 3888, -2496
1589326296857, 836178, -1440, 3392, -2752
1589326296868, 836189, -1232, 2896, -2864
1589326296879, 836200, -1552, 2272, -3024
1589326296890, 836211, -1616, 1760, -3232
1589326296901, 836222, -1808, 976, -3136
1589326296911, 836233, -1824, 400, -2976
1589326296923, 836244, -1648, -384, -2704
1589326296934, 836255, -1392, -1488, -2320
1589326296945, 836266, -656, -2912, -1360
1589326296955, 836277, -48, -3664, -560
1589326296966, 836288, 656, -4400, 144
1589326296977, 836299, 1136, -4992, 432
1589326296988, 836310, 1520, -5376, 832
1589326296999, 836321, 1600, -5424, 1264
1589326297011, 836332, 1600, -5568, 1712
1589326297022, 836343, 1504, -5280, 1904
1589326297032, 836354, 1232, -4864, 2256
1589326297043, 836365, 928, -4560, 2688
1589326297054, 836376, 560, -4304, 3184
1589326297065, 836387, 448, -4240, 3520
1589326297076, 836398, 48, -4240, 3808
1589326297088, 836409, 0, -4240, 4192
1589326297098, 836420, 32, -4144, 4944
1589326297109, 836431, 80, -4176, 5696
1589326297120, 836442, 80, -4160, 6304
1589326297131, 836453, 128, -3808, 6352
1589326297142, 836464, -880, -3488, 6240
1589326297154, 836475, -1104, -3200, 5888
1589326297165, 836486, -1968, -2928, 6016
1589326297176, 836497, -2448, -2800, 6768
1589326297187, 836508, -2880, -3008, 7776
1589326297198, 836519, -3424, -3296, 9264
1589326297209, 836530, -3680, -3760, 10752
1589326297220, 836541, -3232, -4688, 12608
1589326297231, 836552, -2560, -4832, 13648
1589326297242, 836563, -2160, -4272, 14000
1589326297253, 836574, -2448, -3840, 13984
1589326297264, 836585, -3072, -2992, 13632
1589326297275, 836596, -3680, -2144, 13328
1589326297286, 836607, -4016, -1248, 13168
1589326297296, 836618, -4112, -864, 13184
1589326297308, 836629, -4064, -864, 14336
1589326297319, 836640, -4064, -1040, 15264
1589326297330, 836651, -3936, -1184, 16192
1589326297341, 836662, -3888, -1312, 16464
1589326297352, 836673, -4064, -1344, 16736
1589326297363, 836684, -4080, -1136, 16480
1589326297374, 836695, -3808, -1088, 16240
1589326297385, 836706, -3904, -1088, 15856
1589326297396, 836717, -3744, -1184, 15552
1589326297407, 836728, -3840, -1216, 14976
1589326297418, 836739, -3600, -1152, 14256
1589326297429, 836750, -3328, -752, 13376
1589326297439, 836761, -3296, -400, 12736
1589326297450, 836772, -3424, -64, 12272
1589326297462, 836783, -3360, 288, 12096
1589326297472, 836794, -3280, 976, 11968
1589326297484, 836805, -3536, 1504, 11952
1589326297495, 836816, -3648, 2496, 11536
1589326297506, 836827, -3616, 3296, 11216
1589326297516, 836838, -3696, 4144, 10544
1589326297527, 836849, -3856, 4720, 10080
1589326297539, 836860, -3664, 5168, 9408
1589326297549, 836871, -3664, 5408, 8752
1589326297560, 836882, -3344, 5408, 8352
1589326297571, 836893, -2848, 5168, 7952
1589326297582, 836904, -2368, 4816, 7824
1589326297593, 836915, -1856, 4400, 7536
1589326297605, 836926, -1712, 3872, 7296
1589326297615, 836937, -1600, 3552, 6976
1589326297626, 836948, -1200, 3280, 6720
1589326297638, 836959, -1072, 3008, 6768
1589326297648, 836970, -976, 2800, 6720
1589326297660, 836981, -1056, 2640, 6912
1589326297671, 836992, -1072, 2464, 7232
1589326297681, 837003, -1072, 2288, 7344
1589326297693, 837014, -944, 2272, 7280
1589326297704, 837025, -880, 2320, 7248
1589326297714, 837036, -880, 2272, 7136
1589326297725, 837047, -960, 2320, 7056
1589326297736, 837058, -944, 2432, 6992
1589326297747, 837069, -1072, 2304, 6848
1589326297759, 837080, -1136, 2224, 6704
1589326297769, 837091, -1040, 2112, 6768
1589326297780, 837102, -944, 1840, 6752
1589326297791, 837113, -880, 1504, 6832
1589326297803, 837124, -720, 1248, 7200
1589326297813, 837135, -480, 1008, 7728
1589326297824, 837146, -352, 896, 7744
1589326297836, 837157, -352, 832, 7936
1589326297846, 837168, -512, 896, 7840
1589326297857, 837179, -800, 1008, 7888
1589326297868, 837190, -576, 1184, 7840
1589326297879, 837201, -560, 1232, 7744
1589326297890, 837212, -560, 1264, 7616
1589326297901, 837223, -512, 1264, 7568
1589326297912, 837234, -464, 1184, 7520
1589326297923, 837245, -320, 1184, 7600
1589326297934, 837256, -320, 1184, 7648
