Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557893015095, 24541, 341, 343, 407
1557893015115, 24561, 340, 345, 407
1557893015136, 24581, 340, 343, 410
1557893015156, 24600, 341, 337, 411
1557893015173, 24620, 340, 339, 405
1557893015192, 24640, 341, 346, 402
1557893015214, 24659, 342, 356, 407
1557893015234, 24679, 342, 361, 410
1557893015253, 24699, 341, 360, 419
1557893015276, 24719, 339, 363, 418
1557893015295, 24738, 336, 366, 411
1557893015311, 24759, 335, 366, 411
1557893015332, 24778, 334, 364, 406
1557893015355, 24798, 334, 369, 403
1557893015373, 24817, 331, 376, 400
1557893015390, 24838, 329, 376, 406
1557893015409, 24857, 326, 372, 413
1557893015431, 24877, 325, 370, 413
1557893015451, 24897, 324, 368, 406
1557893015471, 24916, 322, 363, 404
1557893015492, 24936, 319, 358, 408
1557893015508, 24955, 317, 355, 413
1557893015529, 24976, 310, 350, 412
1557893015549, 24995, 310, 335, 416
1557893015572, 25015, 311, 322, 416
1557893015591, 25035, 313, 320, 409
1557893015612, 25055, 313, 321, 403
1557893015628, 25074, 315, 325, 405
1557893015648, 25095, 315, 317, 410
1557893015668, 25114, 318, 311, 410
1557893015689, 25134, 320, 311, 405
1557893015708, 25153, 320, 318, 405
1557893015730, 25174, 319, 321, 406
1557893015746, 25193, 320, 320, 401
1557893015767, 25212, 323, 307, 403
1557893015788, 25233, 320, 300, 415
1557893015807, 25252, 326, 294, 410
1557893015828, 25272, 326, 296, 399
1557893015845, 25292, 329, 291, 400
1557893015865, 25312, 327, 289, 409
1557893015885, 25331, 325, 290, 413
1557893015907, 25351, 323, 282, 417
1557893015925, 25371, 323, 270, 416
1557893015947, 25391, 317, 281, 404
1557893015962, 25410, 311, 302, 394
1557893015984, 25431, 305, 305, 402
1557893016004, 25450, 302, 299, 411
1557893016025, 25469, 300, 288, 409
1557893016044, 25489, 298, 281, 405
1557893016066, 25509, 292, 280, 403
1557893016082, 25529, 287, 276, 411
1557893016101, 25548, 280, 271, 429
1557893016123, 25569, 272, 271, 440
1557893016143, 25588, 270, 263, 445
1557893016165, 25608, 262, 252, 449
1557893016184, 25628, 248, 266, 455
1557893016201, 25648, 237, 289, 468
1557893016222, 25667, 236, 287, 467
1557893016242, 25687, 233, 286, 456
1557893016262, 25707, 227, 300, 440
1557893016283, 25726, 221, 339, 432
1557893016299, 25746, 225, 363, 441
1557893016319, 25766, 233, 342, 432
1557893016340, 25786, 235, 333, 420
1557893016361, 25805, 234, 361, 418
1557893016381, 25826, 243, 388, 412
1557893016402, 25845, 259, 397, 397
1557893016417, 25865, 277, 399, 383
1557893016438, 25884, 287, 400, 375
1557893016459, 25905, 301, 419, 372
1557893016479, 25924, 316, 434, 368
1557893016500, 25944, 328, 434, 364
1557893016519, 25964, 335, 430, 360
1557893016539, 25984, 337, 426, 361
1557893016557, 26003, 342, 406, 378
1557893016577, 26023, 344, 386, 393
1557893016598, 26043, 347, 366, 398
1557893016619, 26062, 348, 357, 397
1557893016639, 26082, 351, 360, 394
1557893016654, 26102, 350, 358, 397
1557893016675, 26122, 351, 360, 396
1557893016697, 26141, 351, 358, 397
1557893016716, 26162, 349, 360, 389
1557893016737, 26181, 348, 362, 396
1557893016754, 26201, 347, 365, 405
1557893016774, 26220, 344, 363, 402
1557893016795, 26241, 343, 359, 406
1557893016815, 26260, 343, 348, 408
1557893016836, 26279, 343, 340, 410
1557893016857, 26300, 342, 345, 408
1557893016873, 26319, 342, 344, 407
1557893016905, 26339, 340, 338, 410
1557893016913, 26359, 335, 348, 408
1557893016934, 26379, 331, 364, 406
1557893016954, 26398, 328, 336, 422
1557893016977, 26418, 332, 311, 421
1557893016992, 26438, 332, 316, 410
1557893017011, 26458, 329, 346, 410
1557893017032, 26477, 323, 350, 416
1557893017053, 26498, 320, 328, 425
1557893017073, 26517, 323, 317, 419
1557893017093, 26536, 323, 327, 413
1557893017116, 26557, 325, 310, 418
1557893017130, 26576, 330, 288, 418
1557893017167, 26596, 333, 302, 410
1557893017172, 26615, 326, 332, 407
1557893017192, 26636, 321, 331, 423
1557893017212, 26655, 324, 310, 424
1557893017228, 26675, 332, 295, 418
1557893017249, 26695, 333, 303, 418
1557893017269, 26715, 331, 309, 415
1557893017290, 26734, 335, 304, 412
1557893017310, 26754, 337, 309, 412
1557893017330, 26774, 337, 311, 418
1557893017349, 26793, 338, 304, 416
1557893017368, 26813, 339, 297, 410
1557893017389, 26833, 341, 295, 400
1557893017409, 26853, 339, 306, 413
1557893017429, 26872, 339, 310, 411
1557893017446, 26893, 338, 310, 394
1557893017466, 26912, 336, 313, 396
1557893017486, 26932, 336, 317, 403
1557893017507, 26951, 337, 318, 408
1557893017527, 26972, 335, 318, 416
1557893017549, 26991, 337, 316, 418
1557893017564, 27011, 337, 321, 414
1557893017584, 27031, 337, 331, 406
1557893017606, 27051, 336, 335, 404
1557893017626, 27070, 334, 339, 405
1557893017646, 27090, 333, 340, 411
1557893017667, 27110, 335, 334, 413
1557893017684, 27129, 337, 331, 411
1557893017703, 27149, 339, 329, 406
1557893017724, 27169, 340, 332, 404
1557893017745, 27189, 339, 340, 407
1557893017766, 27208, 338, 346, 408
1557893017781, 27229, 339, 349, 407
1557893017802, 27248, 339, 348, 405
1557893017822, 27268, 341, 345, 403
1557893017843, 27288, 341, 341, 406
1557893017863, 27308, 341, 340, 409
1557893017884, 27327, 340, 342, 408
1557893017900, 27346, 340, 346, 408
1557893017921, 27367, 340, 346, 407
