Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557893136350, 145741, 337, 299, 416
1557893136370, 145762, 336, 303, 418
1557893136391, 145783, 335, 297, 424
1557893136413, 145804, 335, 293, 426
1557893136431, 145824, 333, 292, 423
1557893136452, 145846, 330, 292, 426
1557893136473, 145866, 326, 298, 427
1557893136494, 145887, 324, 311, 423
1557893136514, 145908, 323, 309, 423
1557893136535, 145929, 323, 304, 422
1557893136555, 145949, 322, 306, 419
1557893136576, 145971, 322, 310, 419
1557893136597, 145991, 321, 310, 419
1557893136620, 146012, 320, 317, 415
1557893136640, 146033, 320, 324, 412
1557893136661, 146054, 321, 319, 417
1557893136683, 146074, 321, 319, 414
1557893136702, 146095, 320, 323, 415
1557893136723, 146116, 320, 326, 417
1557893136743, 146137, 320, 335, 404
1557893136764, 146157, 324, 350, 393
1557893136784, 146179, 329, 355, 387
1557893136806, 146199, 330, 370, 387
1557893136825, 146220, 334, 370, 390
1557893136845, 146241, 337, 363, 392
1557893136871, 146262, 337, 356, 387
1557893136890, 146282, 335, 365, 374
1557893136911, 146304, 334, 382, 372
1557893136931, 146324, 336, 385, 378
1557893136954, 146344, 334, 380, 382
1557893136973, 146366, 330, 376, 383
1557893136993, 146386, 324, 386, 372
1557893137014, 146407, 321, 396, 369
1557893137034, 146427, 320, 409, 368
1557893137055, 146449, 315, 421, 369
1557893137075, 146469, 312, 425, 361
1557893137095, 146490, 311, 428, 351
1557893137116, 146511, 308, 435, 356
1557893137142, 146532, 305, 447, 349
1557893137160, 146552, 308, 464, 343
1557893137181, 146574, 311, 472, 336
1557893137203, 146594, 311, 470, 337
1557893137223, 146615, 314, 464, 343
1557893137243, 146636, 315, 459, 354
1557893137265, 146657, 320, 461, 362
1557893137284, 146677, 324, 458, 360
1557893137304, 146699, 320, 457, 352
1557893137324, 146719, 316, 471, 362
1557893137346, 146740, 314, 488, 381
1557893137366, 146760, 306, 474, 386
1557893137391, 146782, 296, 460, 392
1557893137410, 146802, 292, 465, 395
1557893137431, 146823, 286, 452, 383
1557893137452, 146844, 278, 437, 368
1557893137473, 146865, 263, 426, 351
1557893137494, 146885, 244, 428, 358
1557893137513, 146907, 223, 418, 363
1557893137535, 146927, 198, 391, 342
1557893137554, 146948, 176, 338, 308
1557893137575, 146969, 172, 320, 316
1557893137596, 146990, 166, 322, 369
1557893137616, 147010, 165, 295, 406
1557893137637, 147032, 192, 275, 342
1557893137660, 147052, 209, 239, 282
1557893137681, 147073, 215, 231, 306
1557893137702, 147093, 222, 209, 389
1557893137723, 147115, 247, 181, 415
1557893137744, 147135, 264, 162, 401
1557893137763, 147155, 275, 161, 392
1557893137784, 147177, 281, 195, 398
1557893137805, 147197, 276, 222, 402
1557893137825, 147218, 281, 233, 409
1557893137845, 147239, 283, 238, 405
1557893137866, 147260, 287, 243, 392
1557893137885, 147280, 292, 247, 392
1557893137911, 147302, 293, 256, 391
1557893137931, 147322, 289, 260, 395
1557893137951, 147343, 284, 264, 404
1557893137971, 147364, 294, 262, 403
1557893137993, 147385, 302, 260, 390
1557893138013, 147405, 303, 266, 384
1557893138033, 147426, 308, 270, 374
1557893138054, 147447, 317, 275, 367
1557893138074, 147468, 325, 281, 357
1557893138095, 147488, 324, 282, 361
1557893138115, 147510, 325, 287, 375
1557893138136, 147530, 328, 289, 375
1557893138156, 147551, 336, 288, 363
1557893138180, 147572, 335, 284, 355
1557893138201, 147593, 335, 284, 357
1557893138222, 147613, 339, 283, 365
1557893138242, 147635, 342, 290, 370
1557893138262, 147655, 342, 293, 367
1557893138283, 147676, 338, 288, 361
1557893138304, 147697, 345, 283, 367
1557893138324, 147718, 352, 286, 371
1557893138346, 147738, 354, 293, 369
1557893138366, 147759, 346, 300, 365
1557893138385, 147780, 346, 300, 373
1557893138407, 147801, 357, 289, 381
1557893138431, 147821, 356, 296, 375
1557893138451, 147843, 351, 299, 368
1557893138472, 147863, 350, 291, 375
1557893138492, 147884, 357, 284, 395
1557893138513, 147905, 359, 288, 395
1557893138534, 147926, 356, 290, 382
1557893138553, 147946, 351, 292, 382
1557893138573, 147968, 357, 282, 395
1557893138594, 147988, 358, 279, 395
1557893138615, 148008, 356, 297, 395
1557893138636, 148030, 353, 307, 397
1557893138657, 148050, 358, 282, 408
1557893138680, 148071, 361, 279, 406
1557893138701, 148091, 357, 304, 390
1557893138722, 148113, 353, 313, 391
1557893138742, 148133, 357, 297, 408
1557893138763, 148154, 355, 327, 402
1557893138783, 148175, 348, 347, 389
1557893138803, 148196, 350, 342, 391
1557893138823, 148216, 352, 333, 406
1557893138844, 148238, 354, 324, 414
1557893138865, 148258, 355, 328, 412
1557893138886, 148279, 349, 335, 416
1557893138906, 148300, 347, 338, 419
1557893138926, 148321, 347, 326, 416
1557893138951, 148341, 349, 317, 406
1557893138971, 148363, 344, 330, 402
1557893138991, 148383, 339, 343, 410
1557893139012, 148404, 338, 348, 420
1557893139032, 148424, 338, 342, 416
1557893139054, 148446, 340, 335, 404
1557893139074, 148466, 340, 333, 402
1557893139095, 148487, 338, 336, 412
1557893139115, 148508, 336, 341, 418
1557893139135, 148529, 336, 341, 416
1557893139155, 148549, 336, 335, 408
1557893139177, 148571, 337, 324, 403
